Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
19,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,5,5,397,4.4,0,0,0,0,0,0,0,1,0.7,0.7,0.3,0.9,9,17,39,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.21,0.15,0.21,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,5,3,286,3.2,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,7,25,3,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,6,4,377,4.2,1,0,1,1,0,0,1,0,0.4,0.4,0.3,0.7,2,25,2,0.24,0.00,0.24,0.24,0.24,0.09,0.08,0.17,0.09,0.17,Matches
22,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,4,2,238,2.6,0,0,0,0,0,0,0,1,0.4,0.4,0.7,1.1,9,16,14,0.00,0.00,0.00,0.00,0.00,0.14,0.26,0.41,0.14,0.41,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,6,4,392,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,0,11,0,0.23,0.00,0.23,0.23,0.23,0.08,0.02,0.10,0.08,0.10,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,3,2,162,1.8,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,5,1,8,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.48,0.48,Matches
26,Benjamin André,fr FRA,MF,fr Lille,28,1990,5,5,403,4.5,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,3,27,8,0.00,0.45,0.45,0.00,0.45,0.12,0.35,0.46,0.12,0.46,Matches
27,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,6,3,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,4,2,16,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Matches
28,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4,4,360,4.0,0,2,2,0,0,0,0,0,0.1,0.1,0.5,0.6,9,18,37,0.00,0.50,0.50,0.00,0.50,0.04,0.12,0.15,0.04,0.15,Matches
29,Angeliño,es ESP,DF,eng Manchester City,22,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,5,2,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches
30,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,21,1998,8,8,711,7.9,1,4,5,1,0,0,1,0,0.5,0.5,2.3,2.9,33,38,35,0.13,0.51,0.63,0.13,0.63,0.06,0.30,0.36,0.06,0.36,Matches
32,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,6,3,278,3.1,3,0,3,2,1,1,1,0,1.4,0.6,0.0,0.6,1,3,13,0.97,0.00,0.97,0.65,0.65,0.44,0.01,0.45,0.18,0.19,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,5,5,413,4.6,0,1,1,0,0,0,2,0,0.8,0.8,0.3,1.1,4,42,7,0.00,0.22,0.22,0.00,0.22,0.18,0.07,0.25,0.18,0.25,Matches
34,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,6,3,277,3.1,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,7,7,7,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,Matches
35,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,25,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,Matches
37,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Kwadwo Asamoah,gh GHA,"FW,DF",it Inter,30,1988,3,3,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
39,Marco Asensio,es ESP,FW,es Real Madrid,23,1996,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
40,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,4,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
41,Iyayi Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Serge Aurier,ci CIV,DF,eng Tottenham,26,1992,5,5,449,5.0,1,2,3,1,0,0,0,0,0.1,0.1,1.3,1.3,13,14,34,0.20,0.40,0.60,0.20,0.60,0.01,0.25,0.27,0.01,0.27,Matches
43,Sardar Azmoun,ir IRN,FW,ru Zenit,24,1995,6,6,462,5.1,2,0,2,2,0,0,1,0,3.1,3.1,0.1,3.2,11,4,26,0.39,0.00,0.39,0.39,0.39,0.60,0.01,0.61,0.60,0.61,Matches
44,César Azpilicueta,es ESP,DF,eng Chelsea,29,1989,7,7,612,6.8,2,0,2,2,0,0,2,0,1.5,1.5,1.0,2.5,17,34,48,0.29,0.00,0.29,0.29,0.29,0.22,0.15,0.36,0.22,0.36,Matches
45,Ryan Babel,nl NED,FW,tr Galatasaray,32,1986,4,4,333,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,7,8,18,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
46,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,21,1997,3,2,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,3,14,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.21,0.04,0.21,Matches
47,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,30,1989,3,1,116,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,2,15,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches
48,Leonardo Balerdi,ar ARG,MF,de Dortmund,20,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Jonathan Bamba,ci CIV,"FW,MF",fr Lille,23,1996,6,3,282,3.1,0,2,2,0,0,0,0,0,1.0,1.0,1.4,2.4,9,10,29,0.00,0.64,0.64,0.00,0.64,0.32,0.45,0.77,0.32,0.77,Matches
50,Nicolò Barella,it ITA,MF,it Inter,22,1997,4,3,290,3.2,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.4,3,13,12,0.31,0.00,0.31,0.31,0.31,0.08,0.04,0.11,0.08,0.11,Matches
51,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5,5,450,5.0,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,1,6,7,0.20,0.00,0.20,0.20,0.20,0.06,0.02,0.08,0.06,0.08,Matches
52,Ross Barkley,eng ENG,"FW,MF",eng Chelsea,25,1993,3,2,161,1.8,0,0,0,0,0,1,0,0,0.9,0.1,0.1,0.2,5,7,8,0.00,0.00,0.00,0.00,0.00,0.50,0.04,0.54,0.08,0.12,Matches
53,Wílmar Barrios,co COL,MF,ru Zenit,25,1993,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,15,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
54,Musa Barrow,gm GAM,MF,it Atalanta,20,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Michy Batshuayi,be BEL,FW,eng Chelsea,25,1993,4,0,88,1.0,1,0,1,1,0,0,0,0,1.7,1.7,0.1,1.8,1,1,10,1.02,0.00,1.02,1.02,1.02,1.77,0.11,1.88,1.77,1.88,Matches
56,Julian Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,6,3,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,24,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
57,Ömer Bayram,tr TUR,"FW,MF",tr Galatasaray,28,1991,5,2,252,2.8,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,9,6,17,0.00,0.36,0.36,0.00,0.36,0.08,0.31,0.39,0.08,0.39,Matches
58,Donny van de Beek,nl NED,MF,nl Ajax,22,1997,5,5,447,5.0,2,1,3,2,0,0,1,0,1.3,1.3,1.2,2.5,2,13,22,0.40,0.20,0.60,0.40,0.60,0.26,0.25,0.51,0.26,0.51,Matches
59,Younès Belhanda,ma MAR,"MF,FW",tr Galatasaray,29,1990,4,4,303,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,4,7,18,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches
60,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,29,1990,5,5,411,4.6,0,1,1,0,0,0,2,0,0.4,0.4,1.7,2.1,25,18,62,0.00,0.22,0.22,0.00,0.22,0.09,0.37,0.45,0.09,0.45,Matches
61,Lars Bender,de GER,DF,de Leverkusen,30,1989,4,3,271,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,10,15,18,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
62,Sven Bender,de GER,DF,de Leverkusen,30,1989,6,6,539,6.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,14,2,0.17,0.00,0.17,0.17,0.17,0.03,0.00,0.03,0.03,0.03,Matches
63,Rodrigo Bentancur,uy URU,MF,it Juventus,22,1997,7,4,421,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,6,26,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches
64,Karim Benzema,fr FRA,FW,es Real Madrid,31,1987,8,7,644,7.2,5,2,7,5,0,0,0,0,6.5,6.5,2.8,9.3,27,35,65,0.70,0.28,0.98,0.70,0.98,0.91,0.39,1.30,0.91,1.30,Matches
65,Yassine Benzia,dz ALG,MF,gr Olympiacos,24,1994,3,1,79,0.9,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.1,0,6,6,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.12,0.06,0.12,Matches
66,Sander Berge,no NOR,MF,be Genk,21,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,5,28,6,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
67,Steven Bergwijn,nl NED,"MF,FW",eng Tottenham,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,5,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
68,Federico Bernardeschi,it ITA,MF,it Juventus,25,1994,6,3,263,2.9,1,1,2,1,0,0,0,0,0.8,0.8,0.4,1.2,9,8,18,0.34,0.34,0.68,0.34,0.68,0.27,0.13,0.40,0.27,0.40,Matches
69,Juan Bernat,es ESP,DF,fr Paris S-G,26,1993,10,10,873,9.7,2,2,4,2,0,0,3,0,0.8,0.8,2.1,2.9,11,29,47,0.21,0.21,0.41,0.21,0.41,0.08,0.22,0.30,0.08,0.30,Matches
70,Antoine Bernede,fr FRA,MF,at RB Salzburg,20,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
71,Cristiano Biraghi,it ITA,"DF,FW",it Inter,26,1992,4,3,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,4,1,8,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
72,Daley Blind,nl NED,DF,nl Ajax,29,1990,5,5,427,4.7,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,7,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
73,Richmond Boakye,gh GHA,FW,rs Red Star,26,1993,5,1,190,2.1,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,0,4,13,0.47,0.00,0.47,0.47,0.47,0.15,0.10,0.25,0.15,0.25,Matches
74,Jérôme Boateng,de GER,DF,de Bayern Munich,30,1988,9,8,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Serhiy Bolbat,ua UKR,DF,ua Shakhtar,26,1993,3,3,244,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,3,8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
76,Theo Bongonda,cd COD,"MF,FW",be Genk,23,1995,6,2,258,2.9,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.8,16,9,15,0.00,0.35,0.35,0.00,0.35,0.18,0.11,0.29,0.18,0.29,Matches
77,Leonardo Bonucci,it ITA,DF,it Juventus,32,1987,7,7,630,7.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,3,48,0,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
78,Neto Borges,br BRA,DF,be Genk,22,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Jan Bořil,cz CZE,DF,cz Slavia Prague,28,1991,6,6,540,6.0,1,0,1,1,0,0,2,0,0.3,0.3,0.6,0.9,12,34,22,0.17,0.00,0.17,0.17,0.17,0.04,0.10,0.14,0.04,0.14,Matches
80,Milan Borjan,ca CAN,GK,rs Red Star,31,1987,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,26,1993,6,6,481,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,3,30,7,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches
82,Domagoj Bradarić,hr CRO,"MF,DF",fr Lille,19,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,11,10,15,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
83,Julian Brandt,de GER,"MF,FW",de Dortmund,23,1996,7,5,490,5.4,2,3,5,2,0,0,1,0,1.5,1.5,1.9,3.5,17,40,51,0.37,0.55,0.92,0.37,0.92,0.28,0.35,0.64,0.28,0.64,Matches
84,Claudio Bravo,cl CHI,GK,eng Manchester City,36,1983,2,1,125,1.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,26,1992,6,6,520,5.8,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,6,29,7,0.00,0.17,0.17,0.00,0.17,0.04,0.12,0.16,0.04,0.16,Matches
86,Jacob Bruun Larsen,dk DEN,FW,de Dortmund,20,1998,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Gianluigi Buffon,it ITA,GK,it Juventus,41,1978,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Mick van Buren,nl NED,FW,cz Slavia Prague,26,1992,2,0,47,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.16,0.21,0.37,0.16,0.37,Matches
89,Roman Bürki,ch SUI,GK,de Dortmund,28,1990,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Sergio Busquets,es ESP,MF,es Barcelona,31,1988,7,7,504,5.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,2,31,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
91,Adem Büyük,tr TUR,FW,tr Galatasaray,31,1987,2,1,93,1.0,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,0,0,1,0.97,0.00,0.97,0.97,0.97,0.76,0.00,0.76,0.76,0.76,Matches
92,Willy Caballero,ar ARG,GK,eng Chelsea,37,1981,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
93,Mattia Caldara,it ITA,DF,it Atalanta,25,1994,3,3,254,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
94,José Callejón,es ESP,"MF,FW",it Napoli,32,1987,7,7,569,6.3,0,1,1,0,0,0,0,0,1.4,1.4,2.3,3.6,8,25,32,0.00,0.16,0.16,0.00,0.16,0.22,0.36,0.58,0.22,0.58,Matches
95,Mohamed Camara,gn GUI,MF,gr Olympiacos,22,1997,5,5,415,4.6,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,6,27,6,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.17,0.07,0.17,Matches
96,Emre Can,de GER,MF,de Dortmund,25,1994,2,2,178,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.1,3,11,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
97,José Cañas,es ESP,MF,rs Red Star,32,1987,5,4,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
98,João Cancelo,pt POR,DF,eng Manchester City,25,1994,8,6,570,6.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,28,53,40,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
99,Antonio Candreva,it ITA,"FW,DF",it Inter,32,1987,5,5,388,4.3,1,1,2,1,0,0,2,0,0.7,0.7,1.0,1.7,13,10,21,0.23,0.23,0.46,0.23,0.46,0.16,0.24,0.40,0.16,0.40,Matches
100,Maxence Caqueret,fr FRA,MF,fr Lyon,19,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,2,6,6,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.19,0.02,0.19,Matches
101,Yannick Carrasco,be BEL,"MF,FW",es Atlético Madrid,25,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,3,8,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
102,Dani Carvajal,es ESP,DF,es Real Madrid,27,1992,7,7,622,6.9,0,1,1,0,0,0,1,0,0.2,0.2,1.3,1.5,20,41,38,0.00,0.14,0.14,0.00,0.14,0.02,0.19,0.21,0.02,0.21,Matches
103,Casemiro,br BRA,MF,es Real Madrid,27,1992,8,8,689,7.7,1,1,2,1,0,0,1,0,0.4,0.4,0.4,0.8,7,37,2,0.13,0.13,0.26,0.13,0.26,0.05,0.05,0.10,0.05,0.10,Matches
104,Timothy Castagne,be BEL,DF,it Atalanta,23,1995,6,4,394,4.4,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.9,7,12,24,0.23,0.00,0.23,0.23,0.23,0.33,0.10,0.43,0.33,0.43,Matches
105,Edinson Cavani,uy URU,FW,fr Paris S-G,32,1987,3,1,132,1.5,1,0,1,0,1,1,0,0,1.2,0.4,0.0,0.4,0,0,6,0.68,0.00,0.68,0.00,0.00,0.78,0.00,0.78,0.25,0.25,Matches
106,Zeki Çelik,tr TUR,"DF,MF",fr Lille,22,1997,6,6,540,6.0,0,0,0,0,0,0,2,0,0.3,0.3,1.1,1.4,17,23,46,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.23,0.05,0.23,Matches
