Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
33,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Marco Asensio,es ESP,"FW,MF",fr Paris S-G,27,1996,6,1,124,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0,9,8,0.00,0.00,0.00,0.00,0.00,0.30,0.11,0.41,0.30,0.41,Matches
35,Kristjan Asllani,al ALB,MF,it Inter,21,2002,6,2,205,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,0,14,4,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
36,Otavio Ataide,br BRA,DF,pt Porto,21,2002,2,2,210,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.43,0.43,0.00,0.43,0.00,0.01,0.01,0.00,0.01,Matches
37,Emil Audero,id IDN,GK,it Inter,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Carlos Augusto,br BRA,"DF,FW",it Inter,24,1999,7,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,13,15,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,22,2000,3,2,172,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,5,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11,Matches
40,Fredrik Aursnes,no NOR,"DF,MF",pt Benfica,27,1995,6,6,540,6.0,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,10,24,37,0.00,0.17,0.17,0.00,0.17,0.01,0.14,0.15,0.01,0.15,Matches
41,Kaan Ayhan,tr TUR,"MF,DF",tr Galatasaray,28,1994,5,5,380,4.2,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,3,18,7,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches
42,Neil El Aynaoui,fr FRA,MF,fr Lens,22,2001,3,0,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
43,Irakli Azarov,ge GEO,DF,ua Shakhtar,21,2002,4,3,296,3.3,0,1,1,0,0,0,0,0,0.1,0.1,0.9,0.9,4,15,11,0.00,0.30,0.30,0.00,0.30,0.02,0.26,0.28,0.02,0.28,Matches
44,César Azpilicueta,es ESP,DF,es Atlético Madrid,33,1989,6,3,290,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Isaac Babadi,nl NED,"FW,MF",nl PSV Eindhoven,18,2005,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Loïc Bade,fr FRA,DF,es Sevilla,23,2000,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,Alexander Bah,dk DEN,DF,pt Benfica,25,1997,3,3,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
48,Samson Baidoo,at AUT,DF,at RB Salzburg,19,2004,5,3,303,3.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,11,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
49,Cédric Bakambu,cd COD,FW,tr Galatasaray,32,1991,2,0,38,0.4,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.6,1,0,4,2.37,0.00,2.37,2.37,2.37,1.25,0.09,1.34,1.25,1.34,Matches
50,Johan Bakayoko,be BEL,FW,nl PSV Eindhoven,20,2003,8,8,649,7.2,1,1,2,1,0,0,0,0,1.2,1.2,1.8,3.0,35,11,82,0.14,0.14,0.28,0.14,0.28,0.17,0.25,0.42,0.17,0.42,Matches
