Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
36.0,Fri,2023-05-19,20:45,Sassuolo,1.6,1–2,1.6,Monza,11745.0,Mapei Stadium - Città del Tricolore,Alberto Santoro,Match Report,
36.0,Sat,2023-05-20,15:00,Cremonese,1.3,1–5,2.6,Bologna,11140.0,Stadio Giovanni Zini,Paolo Valeri,Match Report,
36.0,Sat,2023-05-20,18:00,Atalanta,1.4,3–1,0.9,Hellas Verona,9297.0,Gewiss Stadium,Simone Sozza,Match Report,
36.0,Sat,2023-05-20,20:45,Milan,3.8,5–1,0.6,Sampdoria,72105.0,Stadio Giuseppe Meazza,Francesco Fourneau,Match Report,
36.0,Sun,2023-05-21,12:30,Lecce,0.3,0–0,0.8,Spezia,26022.0,Stadio Comunale Via Del Mare,Maurizio Mariani,Match Report,
36.0,Sun,2023-05-21,15:00,Torino,1.1,1–1,0.8,Fiorentina,20403.0,Stadio Olimpico di Torino,Luca Massimi,Match Report,
36.0,Sun,2023-05-21,18:00,Napoli,1.7,3–1,0.6,Inter,50000.0,Stadio Diego Armando Maradona,Livio Marinelli,Match Report,
36.0,Sun,2023-05-21,20:45,Udinese,0.5,0–1,2.0,Lazio,21834.0,Dacia Arena,Luca Pairetto,Match Report,
36.0,Mon,2023-05-22,18:30,Roma,1.4,2–2,1.1,Salernitana,64286.0,Stadio Olimpico,Andrea Colombo,Match Report,
36.0,Mon,2023-05-22,20:45,Empoli,2.7,4–1,1.8,Juventus,15519.0,Stadio Carlo Castellani,Giovanni Ayroldi,Match Report,
,,,,,,,,,,,,,
37.0,Fri,2023-05-26,20:45,Sampdoria,2.2,2–2,2.9,Sassuolo,18430.0,Stadio Comunale Luigi Ferraris,Francesco Meraviglia,Match Report,
37.0,Sat,2023-05-27,15:00,Salernitana,1.2,3–2,2.3,Udinese,27035.0,Stadio Arechi,Niccolò Baroni,Match Report,
37.0,Sat,2023-05-27,15:00,Spezia,0.9,0–4,1.0,Torino,10776.0,Stadio Alberto Picco,Marco Guida,Match Report,
37.0,Sat,2023-05-27,18:00,Fiorentina,2.3,2–1,1.2,Roma,32829.0,Stadio Artemio Franchi,Giovanni Ayroldi,Match Report,
37.0,Sat,2023-05-27,20:45,Inter,2.8,3–2,1.0,Atalanta,72192.0,Stadio Giuseppe Meazza,Daniele Orsato,Match Report,
37.0,Sun,2023-05-28,12:30,Hellas Verona,1.0,1–1,1.2,Empoli,22831.0,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,
37.0,Sun,2023-05-28,15:00,Monza,1.1,0–1,1.2,Lecce,15039.0,U-Power Stadium,Daniele Doveri,Match Report,
37.0,Sun,2023-05-28,15:00,Bologna,1.9,2–2,1.4,Napoli,27209.0,Stadio Renato Dall'Ara,Matteo Marcenaro,Match Report,
37.0,Sun,2023-05-28,18:00,Lazio,1.9,3–2,0.6,Cremonese,64171.0,Stadio Olimpico,Antonio Giua,Match Report,
37.0,Sun,2023-05-28,20:45,Juventus,0.9,0–1,0.5,Milan,40231.0,Allianz Stadium,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
38.0,Fri,2023-06-02,20:30,Sassuolo,1.1,1–3,1.6,Fiorentina,12456.0,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Match Report,
38.0,Sat,2023-06-03,18:30,Torino,1.1,0–1,1.0,Inter,24528.0,Stadio Olimpico di Torino,Michael Fabbri,Match Report,
38.0,Sat,2023-06-03,21:00,Cremonese,1.4,2–0,0.7,Salernitana,10308.0,Stadio Giovanni Zini,Daniele Perenzoni,Match Report,
38.0,Sat,2023-06-03,21:00,Empoli,0.2,0–2,1.6,Lazio,11545.0,Stadio Carlo Castellani,Luca Massimi,Match Report,
38.0,Sun,2023-06-04,18:30,Napoli,2.0,2–0,0.6,Sampdoria,55000.0,Stadio Diego Armando Maradona,Ermanno Feliciani,Match Report,
38.0,Sun,2023-06-04,21:00,Atalanta,4.0,5–2,1.2,Monza,19389.0,Gewiss Stadium,Marco Di Bello,Match Report,
38.0,Sun,2023-06-04,21:00,Lecce,1.4,2–3,1.1,Bologna,25816.0,Stadio Comunale Via Del Mare,Marco Piccinini,Match Report,
38.0,Sun,2023-06-04,21:00,Milan,2.4,3–1,0.8,Hellas Verona,72102.0,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
38.0,Sun,2023-06-04,21:00,Udinese,0.8,0–1,1.3,Juventus,23266.0,Dacia Arena,Marco Guida,Match Report,
38.0,Sun,2023-06-04,21:00,Roma,2.2,2–1,1.0,Spezia,62242.0,Stadio Olimpico,Fabio Maresca,Match Report,
