Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
7.0,Sat,2022-09-17,20:45,Torino,0.7,0–1,0.4,Sassuolo,14822.0,Stadio Olimpico di Torino,Niccolò Baroni,Match Report,
7.0,Sun,2022-09-18,12:30,Udinese,1.6,3–1,1.1,Inter,22475.0,Dacia Arena,Paolo Valeri,Match Report,
7.0,Sun,2022-09-18,15:00,Cremonese,1.3,0–4,3.1,Lazio,12991.0,Stadio Giovanni Zini,Daniele Orsato,Match Report,
7.0,Sun,2022-09-18,15:00,Monza,2.5,1–0,0.9,Juventus,12878.0,U-Power Stadium,Fabio Maresca,Match Report,
7.0,Sun,2022-09-18,15:00,Fiorentina,2.4,2–0,0.6,Hellas Verona,32216.0,Stadio Artemio Franchi,Antonio Rapuano,Match Report,
7.0,Sun,2022-09-18,18:00,Roma,2.4,0–1,0.2,Atalanta,61335.0,Stadio Olimpico,Daniele Chiffi,Match Report,
7.0,Sun,2022-09-18,20:45,Milan,2.6,1–2,1.4,Napoli,72573.0,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
8.0,Sat,2022-10-01,15:00,Napoli,1.6,3–1,1.0,Torino,35953.0,Stadio Diego Armando Maradona,Luca Massimi,Match Report,
8.0,Sat,2022-10-01,18:00,Inter,1.0,1–2,1.0,Roma,75389.0,Stadio Giuseppe Meazza,Davide Massa,Match Report,
8.0,Sat,2022-10-01,20:45,Empoli,1.1,1–3,2.3,Milan,15497.0,Stadio Carlo Castellani,Gianluca Aureliano,Match Report,
8.0,Sun,2022-10-02,12:30,Lazio,2.3,4–0,1.1,Spezia,41000.0,Stadio Olimpico,Juan Sacchi,Match Report,
8.0,Sun,2022-10-02,15:00,Sassuolo,3.2,5–0,0.5,Salernitana,15786.0,Mapei Stadium - Città del Tricolore,Maria Sole Ferrieri Caputi,Match Report,
8.0,Sun,2022-10-02,15:00,Sampdoria,0.1,0–3,1.4,Monza,19806.0,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
8.0,Sun,2022-10-02,15:00,Lecce,1.0,1–1,1.6,Cremonese,23377.0,Stadio Comunale Via Del Mare,Livio Marinelli,Match Report,
8.0,Sun,2022-10-02,18:00,Atalanta,1.3,1–0,0.7,Fiorentina,18265.0,Gewiss Stadium,Massimiliano Irrati,Match Report,
8.0,Sun,2022-10-02,20:45,Juventus,1.8,3–0,0.4,Bologna,34662.0,Allianz Stadium,Rosario Abisso,Match Report,
8.0,Mon,2022-10-03,20:45,Hellas Verona,0.3,1–2,1.8,Udinese,15352.0,Stadio Marc'Antonio Bentegodi,Daniele Minelli,Match Report,
,,,,,,,,,,,,,
9.0,Sat,2022-10-08,15:00,Sassuolo,1.2,1–2,2.3,Inter,17574.0,Mapei Stadium - Città del Tricolore,Simone Sozza,Match Report,
9.0,Sat,2022-10-08,18:00,Milan,2.2,2–0,0.8,Juventus,75530.0,Stadio Giuseppe Meazza,Daniele Orsato,Match Report,
9.0,Sat,2022-10-08,20:45,Bologna,0.8,1–1,0.6,Sampdoria,20871.0,Stadio Renato Dall'Ara,Marco Piccinini,Match Report,
9.0,Sun,2022-10-09,12:30,Torino,2.4,1–1,0.2,Empoli,16793.0,Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
9.0,Sun,2022-10-09,15:00,Monza,0.7,2–0,0.5,Spezia,12094.0,U-Power Stadium,Daniele Perenzoni,Match Report,
9.0,Sun,2022-10-09,15:00,Salernitana,1.1,2–1,0.9,Hellas Verona,15922.0,Stadio Arechi,Davide Ghersini,Match Report,
9.0,Sun,2022-10-09,15:00,Udinese,1.0,2–2,2.1,Atalanta,24671.0,Dacia Arena,Daniele Doveri,Match Report,
9.0,Sun,2022-10-09,18:00,Cremonese,0.8,1–4,4.1,Napoli,14238.0,Stadio Giovanni Zini,Rosario Abisso,Match Report,
9.0,Sun,2022-10-09,20:45,Roma,3.2,2–1,0.3,Lecce,64018.0,Stadio Olimpico,Alessandro Prontera,Match Report,
9.0,Mon,2022-10-10,20:45,Fiorentina,2.2,0–4,1.6,Lazio,30574.0,Stadio Artemio Franchi,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
10.0,Sat,2022-10-15,15:00,Empoli,1.8,1–0,1.3,Monza,7258.0,Stadio Carlo Castellani,Antonio Rapuano,Match Report,
10.0,Sat,2022-10-15,18:00,Torino,0.6,0–1,2.1,Juventus,22269.0,Stadio Olimpico di Torino,Maurizio Mariani,Match Report,
10.0,Sat,2022-10-15,20:45,Atalanta,2.5,2–1,0.8,Sassuolo,17772.0,Gewiss Stadium,Matteo Marcenaro,Match Report,
10.0,Sun,2022-10-16,12:30,Inter,1.7,2–0,0.4,Salernitana,75452.0,Stadio Giuseppe Meazza,Juan Sacchi,Match Report,
10.0,Sun,2022-10-16,15:00,Spezia,1.5,2–2,2.1,Cremonese,8400.0,Stadio Alberto Picco,Gianluca Manganiello,Match Report,
10.0,Sun,2022-10-16,15:00,Lazio,0.8,0–0,0.9,Udinese,45000.0,Stadio Olimpico,Andrea Colombo,Match Report,
10.0,Sun,2022-10-16,18:00,Napoli,2.6,3–2,1.3,Bologna,50000.0,Stadio Diego Armando Maradona,Francesco Cosso,Match Report,
10.0,Sun,2022-10-16,20:45,Hellas Verona,2.1,1–2,1.9,Milan,22904.0,Stadio Marc'Antonio Bentegodi,Davide Massa,Match Report,
10.0,Mon,2022-10-17,18:30,Sampdoria,0.2,0–1,1.8,Roma,20803.0,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
10.0,Mon,2022-10-17,20:45,Lecce,1.1,1–1,0.5,Fiorentina,24925.0,Stadio Comunale Via Del Mare,Luca Massimi,Match Report,
,,,,,,,,,,,,,
11.0,Fri,2022-10-21,20:45,Juventus,3.5,4–0,0.7,Empoli,37771.0,Allianz Stadium,Michael Fabbri,Match Report,
11.0,Sat,2022-10-22,15:00,Salernitana,1.6,1–0,0.9,Spezia,17260.0,Stadio Arechi,Daniele Chiffi,Match Report,
11.0,Sat,2022-10-22,18:00,Milan,1.1,4–1,1.2,Monza,72938.0,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
11.0,Sat,2022-10-22,20:45,Fiorentina,1.3,3–4,2.4,Inter,36699.0,Stadio Artemio Franchi,Paolo Valeri,Match Report,
11.0,Sun,2022-10-23,12:30,Udinese,2.0,1–2,1.5,Torino,20711.0,Dacia Arena,Matteo Marchetti,Match Report,
11.0,Sun,2022-10-23,15:00,Bologna,1.8,2–0,0.4,Lecce,24206.0,Stadio Renato Dall'Ara,Simone Sozza,Match Report,
11.0,Sun,2022-10-23,18:00,Atalanta,0.8,0–2,0.9,Lazio,18988.0,Gewiss Stadium,Rosario Abisso,Match Report,
11.0,Sun,2022-10-23,20:45,Roma,0.3,0–1,0.9,Napoli,61633.0,Stadio Olimpico,Massimiliano Irrati,Match Report,
11.0,Mon,2022-10-24,18:30,Cremonese,2.0,0–1,1.3,Sampdoria,13021.0,Stadio Giovanni Zini,Fabio Maresca,Match Report,
11.0,Mon,2022-10-24,20:45,Sassuolo,1.5,2–1,1.4,Hellas Verona,11368.0,Mapei Stadium - Città del Tricolore,Alberto Santoro,Match Report,
,,,,,,,,,,,,,
12.0,Sat,2022-10-29,15:00,Napoli,2.1,4–0,1.0,Sassuolo,45000.0,Stadio Diego Armando Maradona,Antonio Rapuano,Match Report,
12.0,Sat,2022-10-29,18:00,Lecce,0.2,0–1,0.6,Juventus,25860.0,Stadio Comunale Via Del Mare,Daniele Chiffi,Match Report,
12.0,Sat,2022-10-29,20:45,Inter,2.0,3–0,0.5,Sampdoria,73311.0,Stadio Giuseppe Meazza,Luca Massimi,Match Report,
12.0,Sun,2022-10-30,12:30 (13:30),Empoli,0.8,0–2,3.0,Atalanta,8740.0,Stadio Carlo Castellani,Giovanni Ayroldi,Match Report,
12.0,Sun,2022-10-30,15:00 (16:00),Cremonese,0.7,0–0,1.0,Udinese,12810.0,Stadio Giovanni Zini,Massimiliano Irrati,Match Report,
12.0,Sun,2022-10-30,15:00 (16:00),Spezia,1.2,1–2,2.1,Fiorentina,10500.0,Stadio Alberto Picco,Davide Massa,Match Report,
12.0,Sun,2022-10-30,18:00 (19:00),Lazio,1.9,1–3,1.5,Salernitana,40000.0,Stadio Olimpico,Gianluca Manganiello,Match Report,
12.0,Sun,2022-10-30,20:45 (21:45),Torino,0.6,2–1,1.1,Milan,26133.0,Stadio Olimpico di Torino,Rosario Abisso,Match Report,
12.0,Mon,2022-10-31,18:30 (19:30),Hellas Verona,0.3,1–3,3.1,Roma,24000.0,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
12.0,Mon,2022-10-31,20:45 (21:45),Monza,1.2,1–2,1.3,Bologna,11388.0,U-Power Stadium,Luca Pairetto,Match Report,
,,,,,,,,,,,,,
13.0,Fri,2022-11-04,20:45 (21:45),Udinese,1.7,1–1,0.7,Lecce,21834.0,Dacia Arena,Francesco Fourneau,Match Report,
