Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
475,Marios Oikonomou,gr GRE,DF,gr AEK Athens,25,1992,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
476,Sérgio Oliveira,pt POR,MF,pt Porto,26,1992,1.1,1,1,1,100.0,0.91,0.91,1.00,1.00,10.0,0,0,0,0.5,0.5,0.53,+0.5,+0.5,Matches
477,Robin Olsen,se SWE,GK,it Roma,28,1990,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
478,André Onana,cm CMR,GK,nl Ajax,22,1996,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
479,Henry Onyekuru,ng NGA,"FW,MF",tr Galatasaray,21,1997,3.6,0,6,1,16.7,1.67,0.28,0.00,0.00,13.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
480,Loïs Openda,be BEL,"FW,MF",be Club Brugge,18,2000,1.2,0,4,1,25.0,3.24,0.81,0.00,0.00,9.5,0,0,0,0.7,0.7,0.16,-0.7,-0.7,Matches
481,Divock Origi,be BEL,FW,eng Liverpool,23,1995,2.5,3,3,3,100.0,1.22,1.22,1.00,1.00,10.4,0,0,0,0.9,0.9,0.29,+2.1,+2.1,Matches
482,David Ospina,co COL,GK,it Napoli,29,1988,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
483,Nicolás Otamendi,ar ARG,DF,eng Manchester City,30,1988,4.4,0,4,0,0.0,0.90,0.00,0.00,,10.1,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
484,Otávio,pt POR,"MF,FW",pt Porto,23,1995,5.7,2,6,3,50.0,1.05,0.53,0.17,0.33,23.2,0,1,1,1.0,0.3,0.04,+1.0,+0.7,Matches
485,Adam Ounas,dz ALG,"MF,FW",it Napoli,21,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
486,Leandro Paredes,ar ARG,MF,fr Paris S-G,24,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
487,Daniel Parejo,es ESP,MF,es Valencia,29,1989,5.0,0,5,0,0.0,1.00,0.00,0.00,,27.3,1,0,1,1.0,0.2,0.05,-1.0,-0.2,Matches
488,Thomas Partey,gh GHA,MF,es Atlético Madrid,25,1993,4.6,0,8,3,37.5,1.73,0.65,0.00,0.00,28.3,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
489,Javier Pastore,ar ARG,MF,it Roma,29,1989,0.6,0,3,1,33.3,4.66,1.55,0.00,0.00,22.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
490,Alan Patrick,br BRA,MF,ua Shakhtar,27,1991,2.3,0,2,0,0.0,0.87,0.00,0.00,,22.4,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
491,Gabriel Paulista,br BRA,DF,es Valencia,27,1990,5.0,0,2,0,0.0,0.40,0.00,0.00,,23.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
492,Milan Pavkov,rs SRB,FW,rs Red Star,24,1994,2.4,2,2,2,100.0,0.83,0.83,1.00,1.00,20.0,0,0,0,0.4,0.4,0.18,+1.6,+1.6,Matches
493,Lorenzo Pellegrini,it ITA,MF,it Roma,22,1996,4.3,1,9,5,55.6,2.07,1.15,0.11,0.20,21.4,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
494,Luca Pellegrini,it ITA,DF,it Roma,19,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
495,Pepe,pt POR,DF,pt Porto,35,1983,3.3,0,2,0,0.0,0.60,0.00,0.00,,15.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
