Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
341,Bozhidar Kraev,bg BUL,"MF,FW",dk Midtjylland,23,1997,0.6,0,0,0,1,3,0,1,1,0,0,0,0,0,4,1,80.0,Matches
342,Christoph Kramer,de GER,MF,de Gladbach,29,1991,6.9,1,0,0,12,4,0,1,11,5,0,0,0,51,5,4,55.6,Matches
343,Rasmus Kristensen,dk DEN,DF,at RB Salzburg,23,1997,5.0,0,0,0,5,2,1,6,13,7,0,0,1,40,8,8,50.0,Matches
344,Michal Krmenčík,cz CZE,FW,be Club Brugge,27,1993,0.8,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,33.3,Matches
345,Toni Kroos,de GER,MF,es Real Madrid,30,1990,10.7,3,0,0,12,8,1,52,19,6,0,0,0,70,8,5,61.5,Matches
346,Danil Krugovoy,ru RUS,"DF,MF",ru Zenit,22,1998,1.8,1,0,0,1,3,1,11,4,0,0,0,0,12,4,2,66.7,Matches
347,Grzegorz Krychowiak,pl POL,MF,ru Loko Moscow,30,1990,4.0,1,0,0,4,8,0,1,7,0,0,0,0,25,6,2,75.0,Matches
348,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,29,1991,1.0,0,0,0,3,2,0,0,3,2,0,1,0,2,0,0,,Matches
349,Mohammed Kudus,gh GHA,FW,nl Ajax,19,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
350,Daniil Kulikov,ru RUS,MF,ru Loko Moscow,22,1998,4.0,1,0,0,8,4,0,3,8,4,0,0,0,17,1,3,25.0,Matches
351,Dejan Kulusevski,se SWE,"FW,MF",it Juventus,20,2000,3.0,1,0,0,10,4,0,8,5,1,0,0,0,13,0,1,0.0,Matches
352,Layvin Kurzawa,fr FRA,DF,fr Paris S-G,27,1992,4.2,2,0,0,12,2,0,11,8,10,0,2,0,26,11,5,68.8,Matches
353,Daler Kuzyaev,ru RUS,"MF,FW",ru Zenit,27,1993,4.9,2,0,0,9,1,3,8,9,8,0,1,0,26,3,10,23.1,Matches
354,Zakaria Labyad,ma MAR,MF,nl Ajax,27,1993,2.0,0,0,0,3,3,0,8,1,0,0,0,0,13,1,3,25.0,Matches
355,Aïssa Laïdouni,tn TUN,MF,hu Ferencváros,23,1996,2.5,3,0,0,9,13,0,0,5,4,0,0,0,13,2,2,50.0,Matches
356,Stefan Lainer,at AUT,DF,de Gladbach,27,1992,7.6,3,0,0,14,4,0,19,11,12,0,0,0,33,3,7,30.0,Matches
357,Sam Lammers,nl NED,FW,it Atalanta,23,1997,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
358,Michael Lang,ch SUI,DF,de Gladbach,29,1991,0.1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,,Matches
359,Noa Lang,nl NED,"MF,FW",be Club Brugge,21,1999,3.3,0,0,0,5,3,1,4,1,4,0,0,0,21,0,1,0.0,Matches
360,Aymeric Laporte,es ESP,DF,eng Manchester City,26,1994,3.1,1,0,0,4,0,0,0,4,1,0,0,0,20,3,1,75.0,Matches
361,Valentino Lazaro,at AUT,"FW,DF",de Gladbach,24,1996,2.7,1,0,0,3,1,0,7,2,3,0,0,0,15,2,3,40.0,Matches
362,Manuel Lazzari,it ITA,DF,it Lazio,26,1993,3.6,0,0,0,1,7,0,15,2,2,0,0,0,14,1,5,16.7,Matches
363,James Lea Siliki,cm CMR,"MF,FW",fr Rennes,24,1996,2.4,2,0,0,9,4,0,2,1,2,0,0,0,12,3,1,75.0,Matches
364,Diogo Leite,pt POR,DF,pt Porto,21,1999,2.0,0,0,0,2,1,0,0,2,0,0,0,0,6,4,1,80.0,Matches
365,Lucas Leiva,br BRA,MF,it Lazio,33,1987,3.9,1,0,0,3,3,0,0,10,4,0,0,0,30,5,4,55.6,Matches
366,Thomas Lemar,fr FRA,"DF,MF",es Atlético Madrid,24,1995,2.1,1,0,0,4,3,0,19,0,2,0,0,0,8,1,3,25.0,Matches
367,Clément Lenglet,fr FRA,DF,es Barcelona,25,1995,6.2,2,0,0,9,7,0,0,11,3,0,2,0,29,6,9,40.0,Matches
368,Robert Lewandowski,pl POL,FW,de Bayern Munich,31,1988,5.7,0,0,0,5,7,3,3,2,1,0,0,0,17,9,18,33.3,Matches
369,Bohdan Liedniev,ua UKR,MF,ua Dynamo Kyiv,22,1998,0.4,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,,Matches
370,Matthijs de Ligt,nl NED,DF,it Juventus,20,1999,4.5,1,0,0,5,3,0,1,7,6,0,0,0,24,10,2,83.3,Matches
371,Victor Lindelöf,se SWE,DF,eng Manchester Utd,26,1994,4.4,1,0,0,6,1,0,0,3,2,0,0,0,15,4,5,44.4,Matches
372,Vitaly Lisakovich,by BLR,"MF,FW",ru Loko Moscow,22,1998,0.8,0,0,0,2,0,0,5,0,0,0,0,0,4,0,1,0.0,Matches
373,Marcos Llorente,es ESP,"MF,DF",es Atlético Madrid,25,1995,7.3,2,0,0,7,9,2,12,11,9,0,0,0,51,1,7,12.5,Matches
374,Renan Lodi,br BRA,DF,es Atlético Madrid,22,1998,4.2,3,0,0,10,11,0,28,8,8,0,0,0,24,1,5,16.7,Matches
375,Mamadou Loum,sn SEN,MF,pt Porto,23,1996,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,33.3,Matches
376,Dejan Lovren,hr CRO,DF,ru Zenit,31,1989,4.3,3,0,0,4,1,0,3,11,0,0,0,0,22,9,7,56.3,Matches
377,Gergő Lovrencsics,hu HUN,DF,hu Ferencváros,31,1988,4.1,0,0,0,6,1,0,24,7,6,0,0,0,32,7,1,87.5,Matches
378,José Luis Palomino,ar ARG,DF,it Atalanta,30,1990,2.3,0,0,0,4,3,0,1,6,3,0,0,0,11,3,1,75.0,Matches
379,Zé Luís,cv CPV,FW,ru Loko Moscow,29,1991,4.2,0,0,0,3,9,2,3,1,0,1,0,0,8,34,9,79.1,Matches
380,Romelu Lukaku,be BEL,FW,it Inter,27,1993,4.9,1,0,0,4,3,5,3,0,0,0,0,0,5,9,15,37.5,Matches
