Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
22,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,2.6,8,5,4,3,1,1,5,20.0,4,2,0,2,1,9,1,0,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2.0,4,1,4,0,0,2,4,50.0,2,3,2,1,4,8,10,0,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,3,2,2,1,0,1,3,33.3,2,6,4,2,7,10,36,0,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,1,1,0,1,0,1,2,50.0,1,3,0,3,0,1,1,0,Matches
26,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,18,12,8,8,2,3,18,16.7,15,7,3,4,11,29,6,0,Matches
27,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,3,1,0,3,0,0,1,0.0,1,1,1,0,0,3,4,0,Matches
28,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4.0,2,2,1,1,0,0,2,0.0,2,3,0,3,5,7,8,0,Matches
29,Angeliño,es ESP,DF,eng Manchester City,22,1997,1.0,3,2,3,0,0,1,2,50.0,1,0,0,0,1,4,1,0,Matches
30,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,0.3,1,1,0,1,0,0,0,,0,0,0,0,2,3,0,0,Matches
31,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,21,1998,7.9,14,6,4,8,2,5,19,26.3,14,12,2,10,5,19,2,0,Matches
32,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,1,1,0,0,1,1,4,25.0,3,2,0,2,0,1,1,0,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,5,0,1,4,0,2,12,16.7,10,6,1,5,1,6,7,0,Matches
34,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,3.1,4,2,0,1,3,0,7,0.0,7,3,1,2,5,9,0,0,Matches
35,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
36,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,5,4,5,0,0,2,2,100.0,0,0,0,0,3,8,4,0,Matches
37,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
38,Kwadwo Asamoah,gh GHA,"FW,DF",it Inter,30,1988,2.9,3,1,1,1,1,1,4,25.0,3,5,0,5,1,4,2,0,Matches
39,Marco Asensio,es ESP,FW,es Real Madrid,23,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
40,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,0.7,3,1,1,1,1,1,5,20.0,4,0,0,0,0,3,0,0,Matches
41,Iyayi Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
42,Serge Aurier,ci CIV,DF,eng Tottenham,26,1992,5.0,8,7,2,4,2,4,9,44.4,5,7,3,4,2,10,9,0,Matches
43,Sardar Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,3,1,1,2,0,0,6,0.0,6,2,2,0,3,6,5,0,Matches
44,César Azpilicueta,es ESP,DF,eng Chelsea,29,1989,6.8,13,5,6,3,4,7,11,63.6,4,10,2,8,11,24,15,0,Matches
45,Ryan Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,2,1,0,2,0,0,3,0.0,3,2,0,2,0,2,4,0,Matches
46,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,21,1997,1.3,1,0,0,0,1,0,1,0.0,1,3,0,3,0,1,1,1,Matches
47,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,30,1989,1.3,0,0,0,0,0,0,1,0.0,1,1,0,1,4,4,1,0,Matches
48,Leonardo Balerdi,ar ARG,MF,de Dortmund,20,1999,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
49,Jonathan Bamba,ci CIV,"FW,MF",fr Lille,23,1996,3.1,4,3,2,2,0,2,5,40.0,3,2,0,2,3,7,2,0,Matches
50,Nicolò Barella,it ITA,MF,it Inter,22,1997,3.2,11,6,3,6,2,2,9,22.2,7,3,0,3,7,18,4,0,Matches
51,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5.0,8,3,3,4,1,4,16,25.0,12,6,3,3,5,13,7,0,Matches
52,Ross Barkley,eng ENG,"FW,MF",eng Chelsea,25,1993,1.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,1,Matches
53,Wílmar Barrios,co COL,MF,ru Zenit,25,1993,6.0,20,12,12,8,0,6,22,27.3,16,8,5,3,23,43,2,0,Matches
54,Musa Barrow,gm GAM,MF,it Atalanta,20,1998,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
55,Michy Batshuayi,be BEL,FW,eng Chelsea,25,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
56,Julian Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,3.8,11,10,6,3,2,6,14,42.9,8,0,0,0,4,15,4,1,Matches
57,Ömer Bayram,tr TUR,"FW,MF",tr Galatasaray,28,1991,2.8,5,1,5,0,0,1,2,50.0,1,3,0,3,2,7,1,0,Matches
58,Donny van de Beek,nl NED,MF,nl Ajax,22,1997,5.0,11,3,1,6,4,5,14,35.7,9,7,0,7,10,21,2,0,Matches
59,Younès Belhanda,ma MAR,"MF,FW",tr Galatasaray,29,1990,3.4,6,3,3,3,0,3,4,75.0,1,3,0,3,3,9,0,0,Matches
60,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,29,1990,4.6,3,2,0,3,0,2,10,20.0,8,6,1,5,2,5,1,0,Matches
61,Lars Bender,de GER,DF,de Leverkusen,30,1989,3.0,7,6,4,3,0,3,7,42.9,4,4,0,4,5,12,5,0,Matches
62,Sven Bender,de GER,DF,de Leverkusen,30,1989,6.0,14,6,11,2,1,5,11,45.5,6,8,1,7,19,33,18,0,Matches
63,Rodrigo Bentancur,uy URU,MF,it Juventus,22,1997,4.7,17,14,5,8,4,6,13,46.2,7,6,1,5,6,23,3,0,Matches
64,Karim Benzema,fr FRA,FW,es Real Madrid,31,1987,7.2,4,3,1,3,0,1,2,50.0,1,6,0,6,2,6,4,0,Matches
65,Yassine Benzia,dz ALG,MF,gr Olympiacos,24,1994,0.9,9,6,2,6,1,5,8,62.5,3,0,0,0,0,9,2,0,Matches
66,Sander Berge,no NOR,MF,be Genk,21,1998,6.0,9,7,5,4,0,5,11,45.5,6,7,4,3,7,16,14,1,Matches
67,Steven Bergwijn,nl NED,"MF,FW",eng Tottenham,21,1997,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
68,Federico Bernardeschi,it ITA,MF,it Juventus,25,1994,2.9,1,1,0,1,0,0,2,0.0,2,3,0,3,0,1,2,0,Matches
69,Juan Bernat,es ESP,DF,fr Paris S-G,26,1993,9.7,17,11,12,1,4,8,21,38.1,13,10,1,9,12,29,25,0,Matches
70,Antoine Bernede,fr FRA,MF,at RB Salzburg,20,1999,1.0,3,1,1,2,0,2,4,50.0,2,0,0,0,2,5,0,0,Matches
71,Cristiano Biraghi,it ITA,"DF,FW",it Inter,26,1992,2.4,4,1,1,1,2,1,3,33.3,2,6,2,4,2,6,5,0,Matches
72,Daley Blind,nl NED,DF,nl Ajax,29,1990,4.7,9,6,4,3,2,2,5,40.0,3,3,3,0,4,13,13,0,Matches
73,Richmond Boakye,gh GHA,FW,rs Red Star,26,1993,2.1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,5,0,Matches
74,Jérôme Boateng,de GER,DF,de Bayern Munich,30,1988,6.4,6,4,4,2,0,5,8,62.5,3,3,1,2,9,15,9,0,Matches
75,Serhiy Bolbat,ua UKR,DF,ua Shakhtar,26,1993,2.7,7,3,3,2,2,1,5,20.0,4,3,2,1,4,11,8,0,Matches
76,Theo Bongonda,cd COD,"MF,FW",be Genk,23,1995,2.9,5,1,1,4,0,1,4,25.0,3,1,0,1,0,5,3,0,Matches
77,Leonardo Bonucci,it ITA,DF,it Juventus,32,1987,7.0,5,3,3,1,1,2,3,66.7,1,7,4,3,9,14,27,0,Matches
78,Neto Borges,br BRA,DF,be Genk,22,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
79,Jan Bořil,cz CZE,DF,cz Slavia Prague,28,1991,6.0,5,2,3,1,1,4,16,25.0,12,4,1,3,7,12,8,0,Matches
80,Milan Borjan,ca CAN,GK,rs Red Star,31,1987,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
81,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,26,1993,5.3,5,3,0,4,1,1,7,14.3,6,5,4,1,9,14,6,0,Matches
82,Domagoj Bradarić,hr CRO,"MF,DF",fr Lille,19,1999,3.0,4,3,2,1,1,0,8,0.0,8,5,1,4,1,5,4,0,Matches
83,Julian Brandt,de GER,"MF,FW",de Dortmund,23,1996,5.4,6,1,4,2,0,2,13,15.4,11,7,1,6,2,8,2,0,Matches
84,Claudio Bravo,cl CHI,GK,eng Manchester City,36,1983,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,26,1992,5.8,16,8,8,7,1,6,18,33.3,12,8,1,7,10,26,12,0,Matches
86,Jacob Bruun Larsen,dk DEN,FW,de Dortmund,20,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
87,Gianluigi Buffon,it ITA,GK,it Juventus,41,1978,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
88,Mick van Buren,nl NED,FW,cz Slavia Prague,26,1992,0.5,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,Matches
89,Roman Bürki,ch SUI,GK,de Dortmund,28,1990,8.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,1,Matches
90,Sergio Busquets,es ESP,MF,es Barcelona,31,1988,5.6,8,6,2,5,1,6,15,40.0,9,7,1,6,15,23,6,1,Matches
91,Adem Büyük,tr TUR,FW,tr Galatasaray,31,1987,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
92,Willy Caballero,ar ARG,GK,eng Chelsea,37,1981,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
93,Mattia Caldara,it ITA,DF,it Atalanta,25,1994,2.8,2,1,1,1,0,1,9,11.1,8,1,1,0,5,7,11,0,Matches
94,José Callejón,es ESP,"MF,FW",it Napoli,32,1987,6.3,6,4,2,3,1,4,9,44.4,5,4,0,4,4,10,5,0,Matches
95,Mohamed Camara,gn GUI,MF,gr Olympiacos,22,1997,4.6,8,5,4,3,1,5,11,45.5,6,5,2,3,5,13,4,0,Matches
96,Emre Can,de GER,MF,de Dortmund,25,1994,2.0,1,1,0,1,0,1,5,20.0,4,2,0,2,1,2,1,0,Matches
97,José Cañas,es ESP,MF,rs Red Star,32,1987,3.5,4,2,2,2,0,3,15,20.0,12,3,0,3,4,8,3,1,Matches
98,João Cancelo,pt POR,DF,eng Manchester City,25,1994,6.3,17,14,7,5,5,10,17,58.8,7,4,0,4,13,30,5,0,Matches
99,Antonio Candreva,it ITA,"FW,DF",it Inter,32,1987,4.3,3,3,3,0,0,3,6,50.0,3,6,1,5,4,7,7,0,Matches
100,Maxence Caqueret,fr FRA,MF,fr Lyon,19,2000,3.0,7,3,3,3,1,2,10,20.0,8,10,2,8,6,13,4,0,Matches
101,Yannick Carrasco,be BEL,"MF,FW",es Atlético Madrid,25,1993,1.0,1,1,0,1,0,0,4,0.0,4,3,0,3,0,1,0,0,Matches
102,Dani Carvajal,es ESP,DF,es Real Madrid,27,1992,6.9,15,10,7,6,2,9,18,50.0,9,14,7,7,6,21,15,0,Matches
103,Casemiro,br BRA,MF,es Real Madrid,27,1992,7.7,23,12,13,10,0,9,21,42.9,12,7,1,6,8,31,9,0,Matches
104,Timothy Castagne,be BEL,DF,it Atalanta,23,1995,4.4,3,1,0,3,0,2,7,28.6,5,10,2,8,1,4,5,0,Matches
105,Edinson Cavani,uy URU,FW,fr Paris S-G,32,1987,1.5,2,1,0,1,1,0,2,0.0,2,2,0,2,0,2,0,0,Matches
106,Zeki Çelik,tr TUR,"DF,MF",fr Lille,22,1997,6.0,11,6,6,3,2,3,11,27.3,8,8,0,8,11,22,18,3,Matches
107,Murilo Cerqueira,br BRA,"MF,DF",ru Loko Moscow,22,1997,4.1,7,6,3,2,2,3,16,18.8,13,7,5,2,15,22,12,0,Matches
108,Franco Cervi,ar ARG,MF,pt Benfica,25,1994,4.4,17,12,4,11,2,6,14,42.9,8,9,2,7,3,20,2,0,Matches
109,Rayan Cherki,fr FRA,"DF,MF",fr Lyon,15,2003,0.4,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,Matches
110,Denis Cheryshev,ru RUS,"MF,FW",es Valencia,28,1990,2.9,3,1,0,2,1,1,9,11.1,8,2,0,2,1,4,1,0,Matches
111,Chiquinho,pt POR,FW,pt Benfica,24,1995,3.0,3,3,2,1,0,1,8,12.5,7,1,0,1,3,6,1,0,Matches
112,Andreas Christensen,dk DEN,DF,eng Chelsea,23,1996,4.0,3,1,2,1,0,1,3,33.3,2,1,0,1,3,6,18,1,Matches
113,Jasper Cillessen,nl NED,GK,es Valencia,30,1989,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
114,Kingsley Coman,fr FRA,FW,de Bayern Munich,23,1996,6.1,7,2,2,2,3,2,11,18.2,9,8,0,8,0,7,1,0,Matches
115,Dion Cools,my MAS,MF,be Club Brugge,23,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
116,Francis Coquelin,fr FRA,"MF,DF",es Valencia,28,1991,4.8,9,7,5,2,2,3,5,60.0,2,1,1,0,11,20,12,0,Matches
117,Vedran Ćorluka,hr CRO,DF,ru Loko Moscow,33,1986,5.8,7,5,5,2,0,3,4,75.0,1,7,6,1,12,19,43,0,Matches
118,Maxwel Cornet,ci CIV,"DF,MF",fr Lyon,22,1996,6.1,8,6,3,3,2,5,13,38.5,8,5,2,3,8,16,8,0,Matches
119,Carlos Coronel,py PAR,GK,at RB Salzburg,22,1996,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
120,Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,24,1995,4.9,11,3,4,4,3,5,14,35.7,9,5,1,4,5,16,4,0,Matches
121,Thierry Correia,pt POR,DF,es Valencia,20,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
122,Diego Costa,es ESP,FW,es Atlético Madrid,30,1988,5.1,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,8,0,Matches
123,Douglas Costa,br BRA,MF,it Juventus,28,1990,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
124,Jaume Costa,es ESP,DF,es Valencia,31,1988,2.7,6,4,3,3,0,4,9,44.4,5,5,1,4,5,11,7,0,Matches
125,Gaëtan Coucke,be BEL,GK,be Genk,20,1998,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
126,Vladimír Coufal,cz CZE,DF,cz Slavia Prague,26,1992,6.0,11,4,5,5,1,5,9,55.6,4,6,3,3,6,17,12,0,Matches
127,Thibaut Courtois,be BEL,GK,es Real Madrid,27,1992,6.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,1,Matches
128,Philippe Coutinho,br BRA,"MF,FW",de Bayern Munich,27,1992,5.8,6,3,0,1,5,2,12,16.7,10,6,0,6,1,7,0,0,Matches
129,Juan Cuadrado,co COL,"DF,FW",it Juventus,31,1988,5.5,8,3,5,2,1,1,11,9.1,10,5,0,5,11,19,10,0,Matches
130,Carlos Cuesta,co COL,"DF,MF",be Genk,20,1999,4.0,9,4,4,4,1,5,8,62.5,3,12,9,3,7,16,15,0,Matches
131,Matheus Cunha,br BRA,FW,de RB Leipzig,20,1999,0.9,2,2,0,0,2,0,3,0.0,3,0,0,0,3,5,0,0,Matches
132,Danilo D'Ambrosio,it ITA,"DF,FW",it Inter,30,1988,2.0,6,3,2,4,0,2,6,33.3,4,0,0,0,4,10,1,0,Matches
133,Jacopo Da Riva,it ITA,MF,it Atalanta,18,2000,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
134,Colin Dagba,fr FRA,DF,fr Paris S-G,20,1998,1.0,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,0,0,Matches
135,Mahmoud Dahoud,de GER,MF,de Dortmund,23,1996,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
136,Patson Daka,zm ZAM,FW,at RB Salzburg,20,1998,2.7,4,4,0,1,3,1,3,33.3,2,4,0,4,1,5,1,0,Matches
137,Danilo,br BRA,DF,it Juventus,28,1991,5.2,13,5,6,5,2,6,7,85.7,1,1,1,0,8,21,14,0,Matches
138,Alphonso Davies,ca CAN,DF,de Bayern Munich,18,2000,7.9,18,12,8,8,2,12,21,57.1,9,7,0,7,10,28,11,0,Matches
139,Ben Davies,wls WAL,DF,eng Tottenham,26,1993,3.0,3,1,2,1,0,2,2,100.0,0,2,2,0,2,5,6,0,Matches
140,Kevin De Bruyne,be BEL,"MF,FW",eng Manchester City,28,1991,6.3,8,5,1,4,3,5,17,29.4,12,6,0,6,6,14,5,0,Matches
141,Charles De Ketelaere,be BEL,"MF,FW",be Club Brugge,18,2001,1.4,4,3,0,4,0,2,3,66.7,1,0,0,0,1,5,0,0,Matches
142,Mattia De Sciglio,it ITA,DF,it Juventus,26,1992,2.0,3,3,0,3,0,3,5,60.0,2,3,0,3,1,4,9,0,Matches
143,Miloš Degenek,au AUS,DF,rs Red Star,25,1994,6.0,11,6,10,1,0,7,11,63.6,4,12,6,6,13,24,33,0,Matches
144,Thomas Delaney,dk DEN,MF,de Dortmund,27,1991,2.7,7,2,7,0,0,3,4,75.0,1,6,1,5,4,11,7,0,Matches
145,Simon Deli,ci CIV,DF,be Club Brugge,27,1991,6.0,7,3,5,2,0,1,3,33.3,2,4,3,1,12,19,24,0,Matches
146,Moussa Dembélé,fr FRA,FW,fr Lyon,23,1996,6.9,3,1,0,2,1,0,3,0.0,3,9,4,5,4,7,8,0,Matches
147,Ousmane Dembélé,fr FRA,FW,es Barcelona,22,1997,1.5,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,0,0,Matches
148,Merih Demiral,tr TUR,DF,it Juventus,21,1998,1.0,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,4,0,Matches
149,Kerem Demirbay,de GER,MF,de Leverkusen,26,1993,4.1,11,7,3,7,1,4,10,40.0,6,2,0,2,2,13,4,0,Matches
150,Diego Demme,de GER,MF,de RB Leipzig,27,1991,4.1,11,8,6,5,0,4,10,40.0,6,5,0,5,3,14,6,0,Matches
151,Diego Demme,de GER,MF,it Napoli,27,1991,1.4,0,0,0,0,0,0,5,0.0,5,0,0,0,4,4,1,0,Matches
152,Jason Denayer,be BEL,"DF,MF",fr Lyon,24,1995,8.7,9,7,6,3,0,2,5,40.0,3,12,10,2,7,16,33,0,Matches
153,Emmanuel Dennis,ng NGA,"FW,MF",be Club Brugge,21,1997,5.0,13,8,6,2,5,6,14,42.9,8,12,0,12,3,16,0,0,Matches
154,Dentinho,br BRA,"FW,DF",ua Shakhtar,30,1989,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
155,Sergiño Dest,us USA,DF,nl Ajax,18,2000,4.5,9,5,6,3,0,4,5,80.0,1,2,2,0,3,12,3,0,Matches
156,Sébastien Dewaest,be BEL,DF,be Genk,28,1991,4.0,6,5,4,1,1,4,6,66.7,2,2,2,0,2,8,28,0,Matches
157,Giovanni Di Lorenzo,it ITA,"DF,MF",it Napoli,25,1993,8.0,14,11,9,5,0,9,14,64.3,5,8,2,6,2,16,14,0,Matches
158,Ángel Di María,ar ARG,"FW,MF",fr Paris S-G,31,1988,8.3,9,7,4,3,2,3,18,16.7,15,11,0,11,4,13,7,0,Matches
159,Moussa Diaby,fr FRA,"MF,FW",de Leverkusen,20,1999,2.0,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,Matches
160,Mbaye Diagne,sn SEN,FW,be Club Brugge,27,1991,0.5,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
161,Mouctar Diakhaby,gn GUI,DF,es Valencia,22,1996,3.4,7,2,5,2,0,3,4,75.0,1,7,6,1,5,12,22,0,Matches
162,Abdou Diallo,sn SEN,DF,fr Paris S-G,23,1996,1.2,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,1,0,Matches
163,Rúben Dias,pt POR,DF,pt Benfica,22,1997,6.0,5,3,4,1,0,4,4,100.0,0,8,6,2,5,10,33,0,Matches
164,Krépin Diatta,sn SEN,"FW,MF",be Club Brugge,20,1999,4.8,9,5,5,2,2,6,9,66.7,3,2,0,2,5,14,3,0,Matches
165,Brahim Díaz,ma MAR,FW,es Real Madrid,19,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
166,Eric Dier,eng ENG,"DF,MF",eng Tottenham,25,1994,3.5,2,2,1,1,0,1,5,20.0,4,4,1,3,4,6,8,0,Matches
167,Emir Dilaver,at AUT,DF,hr Dinamo Zagreb,28,1991,6.0,5,2,5,0,0,2,5,40.0,3,9,6,3,12,17,33,0,Matches
168,Tiago Djaló,pt POR,DF,fr Lille,19,2000,3.0,4,4,4,0,0,3,4,75.0,1,4,4,0,2,6,17,1,Matches
169,Berat Djimsiti,al ALB,DF,it Atalanta,26,1993,5.7,10,6,6,4,0,6,13,46.2,7,4,2,2,6,16,19,0,Matches
170,Dodô,br BRA,DF,ua Shakhtar,20,1998,3.1,3,3,3,0,0,2,8,25.0,6,0,0,0,1,4,8,0,Matches
171,Jaume Doménech,es ESP,GK,es Valencia,28,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
172,Ryan Donk,sr SUR,DF,tr Galatasaray,33,1986,4.0,5,2,2,3,0,3,4,75.0,1,3,3,0,6,11,15,0,Matches
173,Aleksandar Dragović,at AUT,DF,de Leverkusen,28,1991,1.0,2,2,1,1,0,1,1,100.0,0,0,0,0,2,4,2,0,Matches
174,Julian Draxler,de GER,"MF,FW",fr Paris S-G,25,1993,0.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
175,Sebastián Driussi,ar ARG,MF,ru Zenit,23,1996,4.0,13,8,4,7,2,6,11,54.5,5,6,1,5,3,16,5,0,Matches
176,Leo Dubois,fr FRA,DF,fr Lyon,24,1994,8.4,6,6,5,1,0,6,12,50.0,6,7,0,7,5,11,19,0,Matches
177,Paulo Dybala,ar ARG,"FW,MF",it Juventus,25,1993,3.5,1,1,1,0,0,0,3,0.0,3,4,1,3,1,2,0,0,Matches
178,Artem Dzyuba,ru RUS,FW,ru Zenit,30,1988,6.0,5,4,3,1,1,2,6,33.3,4,2,0,2,1,6,2,0,Matches
179,Éder,pt POR,FW,ru Loko Moscow,31,1987,3.8,1,1,0,0,1,0,0,,0,6,3,3,3,4,7,0,Matches
180,Ederson,br BRA,GK,eng Manchester City,25,1993,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,3,Matches
181,Jurgen Ekkelenkamp,nl NED,MF,nl Ajax,19,2000,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
182,Omar Elabdellaoui,no NOR,DF,gr Olympiacos,27,1991,5.1,5,2,3,2,0,1,2,50.0,1,1,0,1,6,11,13,0,Matches
183,Elif Elmas,mk MKD,MF,it Napoli,19,1999,1.2,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,1,0,Matches
