Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
135,Mahmoud Dahoud,de GER,MF,de Dortmund,23,1996,0.3,22,22,0,0,0,0,0,0,0,0,0,0,21,0,0,Matches
136,Patson Daka,zm ZAM,FW,at RB Salzburg,20,1998,2.7,58,56,1,0,1,0,0,0,0,0,0,0,40,1,1,Matches
137,Danilo,br BRA,DF,it Juventus,28,1991,5.2,416,376,38,5,0,4,12,33,0,0,0,0,353,2,2,Matches
138,Alphonso Davies,ca CAN,DF,de Bayern Munich,18,2000,7.9,528,464,63,6,1,2,18,57,0,0,0,0,462,1,6,Matches
139,Ben Davies,wls WAL,DF,eng Tottenham,26,1993,3.0,192,171,20,1,0,0,6,18,1,0,1,0,161,1,2,Matches
140,Kevin De Bruyne,be BEL,"MF,FW",eng Manchester City,28,1991,6.3,360,301,57,13,8,4,61,4,40,15,8,0,244,2,16,Matches
141,Charles De Ketelaere,be BEL,"MF,FW",be Club Brugge,18,2001,1.4,60,53,6,2,0,0,2,4,0,0,0,0,42,1,1,Matches
142,Mattia De Sciglio,it ITA,DF,it Juventus,26,1992,2.0,108,97,11,3,0,1,3,8,0,0,0,0,86,0,2,Matches
143,Miloš Degenek,au AUS,DF,rs Red Star,25,1994,6.0,214,199,14,14,0,1,0,0,0,0,0,0,180,1,1,Matches
144,Thomas Delaney,dk DEN,MF,de Dortmund,27,1991,2.7,179,176,1,1,0,1,1,0,0,0,0,0,149,2,5,Matches
145,Simon Deli,ci CIV,DF,be Club Brugge,27,1991,6.0,288,279,8,7,1,7,0,1,0,0,0,0,226,1,1,Matches
146,Moussa Dembélé,fr FRA,FW,fr Lyon,23,1996,6.9,130,122,6,0,0,1,1,0,0,0,0,0,86,2,0,Matches
147,Ousmane Dembélé,fr FRA,FW,es Barcelona,22,1997,1.5,68,60,7,0,1,0,5,0,7,0,3,1,48,1,1,Matches
148,Merih Demiral,tr TUR,DF,it Juventus,21,1998,1.0,56,56,0,0,0,0,0,0,0,0,0,0,46,0,1,Matches
149,Kerem Demirbay,de GER,MF,de Leverkusen,26,1993,4.1,281,240,40,12,1,7,34,2,26,16,8,1,206,1,6,Matches
150,Diego Demme,de GER,MF,de RB Leipzig,27,1991,4.1,359,355,3,3,1,2,3,0,0,0,0,0,314,1,3,Matches
151,Diego Demme,de GER,MF,it Napoli,27,1991,1.4,75,75,0,0,0,0,0,0,0,0,0,0,66,0,0,Matches
