Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
83,Oscar Bobb,no NOR,"FW,MF",eng Manchester City,20,2003,2.4,0,0,0,2,5,1,1,0,1,0,0,0,8,0,2,0.0,Matches
84,Sacha Boey,fr FRA,DF,tr Galatasaray,22,2000,6.0,2,0,0,11,11,0,16,6,12,0,0,0,48,12,8,60.0,Matches
85,Nicolai Boilesen,dk DEN,"DF,FW",dk FC Copenhagen,31,1992,1.0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,0,100.0,Matches
86,Valerii Bondar,ua UKR,DF,ua Shakhtar,24,1999,4.0,2,0,0,8,1,0,0,5,4,0,0,0,6,3,6,33.3,Matches
87,Artem Bondarenko,ua UKR,MF,ua Shakhtar,22,2000,2.5,0,0,0,2,5,0,2,2,4,0,0,0,16,1,1,50.0,Matches
88,Leonardo Bonucci,it ITA,DF,de Union Berlin,36,1987,2.9,3,0,0,4,0,0,0,2,0,0,0,0,9,5,7,41.7,Matches
89,Gonçalo Borges,pt POR,FW,pt Porto,22,2001,0.4,0,0,0,1,2,0,1,1,1,0,0,0,4,0,1,0.0,Matches
90,Cristian Borja,co COL,DF,pt Braga,30,1993,5.7,1,0,0,3,6,1,17,3,7,1,0,0,28,3,6,33.3,Matches
91,Olivier Boscagli,fr FRA,DF,nl PSV Eindhoven,25,1997,6.8,2,0,0,4,2,1,1,11,7,0,0,0,51,9,10,47.4,Matches
92,Sven Botman,nl NED,DF,eng Newcastle Utd,23,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,33.3,Matches
93,Julian Brandt,de GER,"MF,FW",de Dortmund,27,1996,8.7,0,0,0,1,2,1,61,4,9,0,0,0,45,7,9,43.8,Matches
94,Bruma,pt POR,FW,pt Braga,28,1994,4.1,0,0,0,1,5,1,6,1,4,0,0,0,18,0,0,,Matches
95,Osman Bukari,gh GHA,FW,rs Red Star,24,1998,5.4,1,0,0,11,6,5,12,2,3,0,0,0,32,6,3,66.7,Matches
96,Dan Burn,eng ENG,DF,eng Newcastle Utd,31,1992,3.1,0,0,0,4,0,0,1,1,3,0,0,0,3,14,2,87.5,Matches
97,Jean Butez,fr FRA,GK,be Antwerp,28,1995,5.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,100.0,Matches
98,Arthur Cabral,br BRA,"FW,DF",pt Benfica,25,1998,1.3,0,0,0,0,0,1,1,0,2,0,0,0,4,5,7,41.7,Matches
99,Jens Cajuste,se SWE,MF,it Napoli,23,1999,1.8,1,0,0,3,5,0,0,2,4,0,0,0,10,1,4,20.0,Matches
100,Davide Calabria,it ITA,DF,it Milan,26,1996,4.8,1,0,0,8,5,1,10,3,14,0,1,0,30,3,3,50.0,Matches
101,Hakan Çalhanoğlu,tr TUR,MF,it Inter,29,1994,5.7,2,0,0,5,6,0,23,6,5,0,0,0,38,3,2,60.0,Matches
102,Eduardo Camavinga,fr FRA,MF,es Real Madrid,20,2002,8.8,3,0,0,22,18,0,1,9,13,0,0,0,47,12,5,70.6,Matches
103,Emre Can,de GER,"MF,DF",de Dortmund,29,1994,10.1,4,0,0,17,10,0,2,12,12,0,0,0,49,2,7,22.2,Matches
104,João Cancelo,pt POR,DF,es Barcelona,29,1994,9.0,1,0,0,12,7,0,26,19,22,0,1,0,47,8,10,44.4,Matches
105,Nicolás Capaldo,ar ARG,"MF,DF",at RB Salzburg,25,1997,2.4,0,0,0,2,3,0,2,6,3,0,0,0,21,1,1,50.0,Matches
106,Fábio Cardoso,pt POR,DF,pt Porto,29,1994,3.0,2,0,0,2,1,0,0,3,2,0,0,0,9,4,6,40.0,Matches
107,David Carmo,ao ANG,DF,pt Porto,24,1999,4.0,3,0,0,3,0,0,0,4,2,0,0,0,17,12,2,85.7,Matches
108,Cameron Carter-Vickers,us USA,DF,sct Celtic,25,1997,3.3,1,0,0,2,2,0,0,4,2,0,0,0,25,9,5,64.3,Matches
109,Dani Carvajal,es ESP,DF,es Real Madrid,31,1992,9.4,3,0,0,17,9,1,7,9,13,0,0,0,23,16,10,61.5,Matches
110,Fabio Carvalho,pt POR,MF,de RB Leipzig,20,2002,1.4,0,0,0,1,4,1,1,1,2,0,0,0,5,1,1,50.0,Matches
111,Vitor Carvalho,br BRA,MF,pt Braga,26,1997,2.9,0,0,0,5,0,0,1,1,3,0,0,0,14,4,1,80.0,Matches
112,Marc Casado,es ESP,MF,es Barcelona,19,2003,0.3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,,Matches
113,Nicolò Casale,it ITA,DF,it Lazio,25,1998,2.0,1,0,0,1,2,0,0,0,1,0,0,0,11,0,0,,Matches
114,Casemiro,br BRA,MF,eng Manchester Utd,31,1992,1.8,2,1,1,4,2,0,0,1,3,0,1,0,18,0,1,0.0,Matches
115,Valentín Castellanos,ar ARG,FW,it Lazio,24,1998,2.4,2,0,0,11,5,1,2,0,0,1,0,0,4,10,8,55.6,Matches
116,André Castro,pt POR,MF,pt Braga,35,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
117,Danilo Cataldi,it ITA,MF,it Lazio,28,1994,1.8,1,0,0,2,1,0,3,1,1,0,0,0,5,0,0,,Matches
118,Dani Ceballos,es ESP,MF,es Real Madrid,26,1996,1.7,0,0,0,2,1,0,4,3,1,0,0,0,7,0,1,0.0,Matches
119,Miguel Chaiwa,zm ZAM,MF,ch Young Boys,19,2004,0.7,0,0,0,1,1,0,0,1,1,0,0,0,9,1,1,50.0,Matches
120,Chiquinho,pt POR,MF,pt Benfica,28,1995,0.6,0,0,0,0,1,0,4,0,1,0,0,0,2,0,2,0.0,Matches
121,Andreas Christensen,dk DEN,"DF,MF",es Barcelona,27,1996,4.9,3,0,0,7,4,0,0,7,7,0,0,0,20,12,9,57.1,Matches
122,Samuel Chukwueze,ng NGA,FW,it Milan,24,1999,1.8,0,0,0,3,2,2,3,0,2,0,0,0,6,1,1,50.0,Matches
123,Viktor Claesson,se SWE,"FW,MF",dk FC Copenhagen,31,1992,5.3,0,0,0,9,2,1,0,4,4,0,0,0,25,11,29,27.5,Matches
124,William Clem,dk DEN,MF,dk FC Copenhagen,19,2004,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
125,Ebrima Colley,gm GAM,"MF,FW",ch Young Boys,23,2000,1.4,1,0,0,2,0,0,3,1,2,0,0,0,10,0,1,0.0,Matches
126,Kingsley Coman,fr FRA,FW,de Bayern Munich,27,1996,5.0,0,0,0,3,11,2,23,0,2,0,0,0,21,6,1,85.7,Matches
127,Francisco Conceição,pt POR,"FW,MF",pt Porto,20,2002,2.7,2,0,0,7,5,0,12,1,1,0,0,0,10,0,2,0.0,Matches
128,Kobe Corbanie,be BEL,"DF,FW",be Antwerp,18,2005,0.4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
129,Andreas Cornelius,dk DEN,"FW,MF",dk FC Copenhagen,30,1993,0.9,1,0,0,2,0,0,1,0,1,0,0,0,1,6,3,66.7,Matches
130,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,28,1995,3.6,1,0,0,5,3,2,6,0,1,0,0,0,13,2,5,28.6,Matches
131,David Costa,pt POR,"MF,FW",fr Lens,22,2001,1.3,0,0,0,0,1,0,2,2,2,0,0,0,4,0,0,,Matches
132,Diogo Costa,pt POR,GK,pt Porto,23,1999,8.3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,100.0,Matches
133,Soumaïla Coulibaly,fr FRA,DF,be Antwerp,19,2003,6.0,1,0,0,3,4,0,0,7,3,0,0,0,31,5,3,62.5,Matches
134,Thibaut Courtois,be BEL,GK,es Real Madrid,31,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
135,Juan Cuadrado,co COL,"DF,FW",it Inter,35,1988,1.3,1,0,0,2,6,0,4,1,0,0,0,0,2,0,0,,Matches
136,Pau Cubarsí,es ESP,DF,es Barcelona,16,2007,3.0,1,0,0,1,0,0,0,1,5,0,0,0,14,5,2,71.4,Matches
137,Diogo Dalot,pt POR,DF,eng Manchester Utd,24,1999,5.1,1,0,0,7,0,0,13,3,5,0,0,0,39,7,4,63.6,Matches
138,Kevin Danso,at AUT,DF,fr Lens,24,1998,6.0,2,0,0,3,12,1,1,4,2,0,0,0,41,17,12,58.6,Matches
139,Matteo Darmian,it ITA,"DF,FW",it Inter,33,1989,4.5,0,0,0,2,4,0,7,2,3,0,0,0,11,5,2,71.4,Matches
140,David Datro Fofana,ci CIV,FW,de Union Berlin,20,2002,2.2,0,0,0,6,4,1,2,0,1,0,0,0,6,8,18,30.8,Matches
141,Alphonso Davies,ca CAN,DF,de Bayern Munich,22,2000,7.8,3,0,0,7,13,3,4,5,9,0,0,0,49,3,5,37.5,Matches
142,Kevin De Bruyne,be BEL,MF,eng Manchester City,32,1991,2.2,0,0,0,3,2,0,31,0,3,0,0,0,7,1,0,100.0,Matches
143,Ritchie De Laet,be BEL,DF,be Antwerp,34,1988,2.5,1,0,0,1,2,0,6,3,2,0,0,0,5,4,1,80.0,Matches
144,Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,29,1994,6.8,2,1,1,8,14,0,8,4,4,0,0,0,45,0,0,,Matches
145,Amar Dedić,ba BIH,DF,at RB Salzburg,20,2002,6.0,1,0,0,2,5,0,13,6,4,0,0,0,32,4,3,57.1,Matches
146,Miloš Degenek,au AUS,FW,rs Red Star,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
147,Ousmane Dembélé,fr FRA,"FW,MF",fr Paris S-G,26,1997,10.6,5,0,0,10,13,1,86,6,10,1,0,0,34,3,6,33.3,Matches
148,Kerem Demirbay,de GER,MF,tr Galatasaray,30,1993,0.7,0,0,0,2,1,0,2,0,1,0,0,0,7,2,0,100.0,Matches
149,Thomas van den Belt,nl NED,MF,nl Feyenoord,22,2001,0.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
150,Sergiño Dest,us USA,DF,nl PSV Eindhoven,22,2000,7.2,0,0,0,4,11,0,19,4,7,0,0,0,34,2,5,28.6,Matches
151,Giovanni Di Lorenzo,it ITA,DF,it Napoli,29,1993,8.0,0,0,0,7,9,1,19,6,12,0,0,0,35,12,14,46.2,Matches
152,Ángel Di María,ar ARG,FW,pt Benfica,35,1988,4.6,0,0,0,1,10,1,26,1,3,0,0,0,17,0,0,,Matches
153,Rúben Dias,pt POR,DF,eng Manchester City,26,1997,8.5,2,0,0,8,7,0,1,9,8,0,0,1,40,19,11,63.3,Matches
154,Brahim Díaz,ma MAR,"MF,FW",es Real Madrid,23,1999,3.6,0,0,0,5,10,1,13,0,4,0,0,0,14,0,4,0.0,Matches
155,Eric Dier,eng ENG,DF,de Bayern Munich,29,1994,5.0,0,0,0,1,0,0,0,6,5,0,0,0,23,5,5,50.0,Matches
156,Kevin Diks,id IDN,DF,dk FC Copenhagen,26,1996,7.9,2,0,0,4,5,0,0,7,5,0,0,0,25,7,13,35.0,Matches
157,Javairô Dilrosun,nl NED,DF,nl Feyenoord,25,1998,0.1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0.0,Matches
158,Federico Dimarco,it ITA,DF,it Inter,25,1997,4.0,0,0,0,2,5,1,28,3,0,0,0,0,24,1,3,25.0,Matches
159,Andy Diouf,fr FRA,MF,fr Lens,20,2003,0.4,0,0,0,1,0,0,3,0,1,0,0,0,6,0,0,,Matches
160,Novatus Dismas,tz TAN,DF,ua Shakhtar,20,2002,1.0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,,Matches
161,Álvaro djaló,es ESP,FW,pt Braga,23,1999,4.5,1,0,0,12,11,2,7,3,7,0,0,0,14,2,11,15.4,Matches
162,Nasser Djiga,bf BFA,DF,rs Red Star,20,2002,6.0,2,0,0,7,3,1,0,12,4,0,2,0,33,6,9,40.0,Matches
163,Marko Dmitrović,rs SRB,GK,es Sevilla,31,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
164,Danilho Doekhi,nl NED,DF,de Union Berlin,25,1998,2.9,0,0,0,1,4,0,1,1,2,0,0,0,14,7,6,53.8,Matches
165,Jeremy Doku,be BEL,"FW,MF",eng Manchester City,21,2002,3.4,0,0,0,3,10,0,13,0,3,0,0,0,19,0,0,,Matches
166,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,12.0,2,0,0,0,1,0,0,0,1,0,0,0,22,3,1,75.0,Matches
167,Nene Dorgeles,ml MLI,"FW,MF",at RB Salzburg,20,2002,1.5,0,0,0,2,3,1,2,1,2,0,0,0,7,2,3,40.0,Matches
168,Aleksandar Dragović,at AUT,DF,rs Red Star,32,1991,6.0,1,0,0,1,2,0,1,6,2,0,0,0,28,10,9,52.6,Matches
169,Martin Dúbravka,sk SVK,GK,eng Newcastle Utd,34,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
170,Denzel Dumfries,nl NED,DF,it Inter,27,1996,3.6,1,0,0,7,0,0,10,0,2,0,0,0,11,4,5,44.4,Matches
171,Ederson,br BRA,GK,eng Manchester City,29,1993,7.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
172,Jorge Eduardo Sánchez,mx MEX,DF,pt Porto,25,1997,2.1,0,0,0,2,2,0,4,1,4,0,0,0,7,4,3,57.1,Matches
173,Eguinaldo,br BRA,"MF,FW",ua Shakhtar,18,2004,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
174,Chidera Ejuke,ng NGA,FW,be Antwerp,25,1998,1.7,0,0,0,0,5,0,7,3,1,0,0,0,10,1,1,50.0,Matches
175,Jurgen Ekkelenkamp,nl NED,MF,be Antwerp,23,2000,3.0,0,1,0,1,2,0,2,1,0,0,0,0,11,2,6,25.0,Matches
176,Meschak Elia,cd COD,"FW,MF",ch Young Boys,25,1997,5.5,0,0,0,5,7,9,9,0,2,0,0,0,9,1,4,20.0,Matches
177,Elif Elmas,mk MKD,MF,de RB Leipzig,23,1999,0.2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,,Matches
178,Elif Elmas,mk MKD,"FW,MF",it Napoli,23,1999,1.6,0,0,0,3,2,0,6,2,0,0,0,0,7,0,0,,Matches
179,Mohamed Elneny,eg EGY,MF,eng Arsenal,31,1992,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
180,Aritz Elustondo,es ESP,DF,es Real Sociedad,29,1994,1.9,3,0,0,3,1,0,0,1,4,0,0,0,12,4,1,80.0,Matches
181,Mohamed Elyounoussi,no NOR,"FW,MF",dk FC Copenhagen,28,1994,7.6,0,0,0,6,6,1,11,11,9,1,0,0,45,7,10,41.2,Matches
