Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
15.0,Sat,2014-12-13,15:30 (16:30),Hertha BSC,1–0,Dortmund,75254.0,Olympiastadion Berlin,Günter Perl,Match Report,
15.0,Sat,2014-12-13,15:30 (16:30),Werder Bremen,3–3,Hannover 96,40932.0,Weserstadion,Tobias Welz,Match Report,
15.0,Sat,2014-12-13,15:30 (16:30),Augsburg,0–4,Bayern Munich,30660.0,WWK Arena,Tobias Stieler,Match Report,
15.0,Sat,2014-12-13,15:30 (16:30),Schalke 04,1–2,Köln,61516.0,Veltins-Arena,Felix Brych,Match Report,
15.0,Sat,2014-12-13,15:30 (16:30),Freiburg,0–0,Hamburger SV,24000.0,Schwarzwald-Stadion,Wolfgang Stark,Match Report,
15.0,Sat,2014-12-13,18:30 (19:30),Mainz 05,1–1,Stuttgart,29279.0,Opel Arena,Bastian Dankert,Match Report,
15.0,Sun,2014-12-14,15:30 (16:30),Leverkusen,1–1,Gladbach,30210.0,BayArena,Peter Gagelmann,Match Report,
15.0,Sun,2014-12-14,17:30 (18:30),Wolfsburg,1–1,Paderborn 07,26044.0,Volkswagen Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,
16.0,Tue,2014-12-16,20:00 (21:00),Köln,0–0,Mainz 05,42900.0,RheinEnergieSTADION,Florian Meyer,Match Report,
16.0,Tue,2014-12-16,20:00 (21:00),Hannover 96,2–0,Augsburg,30800.0,HDI-Arena,Christian Dingert,Match Report,
16.0,Tue,2014-12-16,20:00 (21:00),Hamburger SV,0–1,Stuttgart,48223.0,Volksparkstadion,Felix Brych,Match Report,
16.0,Tue,2014-12-16,20:00 (21:00),Bayern Munich,2–0,Freiburg,71000.0,Allianz Arena,Jochen Drees,Match Report,
16.0,Wed,2014-12-17,20:00 (21:00),Gladbach,4–1,Werder Bremen,44513.0,Stadion im Borussia-Park,Robert Hartmann,Match Report,
16.0,Wed,2014-12-17,20:00 (21:00),Eint Frankfurt,4–4,Hertha BSC,40200.0,Commerzbank-Arena,Guido Winkmann,Match Report,
16.0,Wed,2014-12-17,20:00 (21:00),Hoffenheim,0–1,Leverkusen,24731.0,PreZero Arena,Daniel Siebert,Match Report,
16.0,Wed,2014-12-17,20:00 (21:00),Dortmund,2–2,Wolfsburg,80467.0,Signal Iduna Park,Tobias Welz,Match Report,
16.0,Wed,2014-12-17,20:00 (21:00),Paderborn 07,1–2,Schalke 04,15000.0,Benteler-Arena,Marco Fritz,Match Report,
,,,,,,,,,,,
17.0,Fri,2014-12-19,20:30 (21:30),Mainz 05,1–2,Bayern Munich,34000.0,Opel Arena,Felix Zwayer,Match Report,
