Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
207,Manolo Gabbiadini,it ITA,FW,it Napoli,24,1991,2.0,,0,,,,,,,,,,,1,,,,Matches
208,Omar Gaber,eg EGY,"DF,MF",ch Basel,24,1992,0.8,,2,,,,,,,,,,,1,,,,Matches
209,Gabi,es ESP,MF,es Atlético Madrid,33,1983,11.0,,19,,,,,,,,,,,20,,,,Matches
210,Nicolás Gaitán,ar ARG,"FW,MF",es Atlético Madrid,28,1988,2.1,,4,,,,,,,,,,,7,,,,Matches
211,Cristian Gamboa,cr CRC,"DF,MF",sct Celtic,26,1989,1.9,,3,,,,,,,,,,,5,,,,Matches
212,Kévin Gameiro,fr FRA,FW,es Atlético Madrid,29,1987,4.8,,2,,,,,,,,,,,3,,,,Matches
213,Ganso,br BRA,MF,es Sevilla,26,1989,0.8,,3,,,,,,,,,,,1,,,,Matches
214,Jordy Gaspar,ao ANG,"DF,MF",fr Lyon,19,1997,0.9,,0,,,,,,,,,,,1,,,,Matches
215,Alexandru Gațcan,md MDA,MF,ru Rostov,32,1984,6.0,,17,,,,,,,,,,,27,,,,Matches
216,Felipe Gedoz,br BRA,"FW,MF",be Club Brugge,23,1993,1.4,,1,,,,,,,,,,,1,,,,Matches
217,Valère Germain,fr FRA,FW,fr Monaco,26,1990,5.5,,2,,,,,,,,,,,2,,,,Matches
218,Rachid Ghezzal,dz ALG,"FW,MF",fr Lyon,24,1992,2.1,,2,,,,,,,,,,,3,,,,Matches
219,Faouzi Ghoulam,dz ALG,DF,it Napoli,25,1991,8.0,,8,,,,,,,,,,,17,,,,Matches
220,Emanuele Giaccherini,it ITA,"FW,MF",it Napoli,31,1985,0.1,,0,,,,,,,,,,,0,,,,Matches
221,Kieran Gibbs,eng ENG,"DF,MF",eng Arsenal,26,1989,5.2,,12,,,,,,,,,,,8,,,,Matches
