Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
166,Ismael Diawara,ml MLI,GK,se Malmö,26,1994,2.5,84,79,84,0,0,0,84,0,0,,0,,36,148,89,0,0,0,1,0,26,0,Matches
167,Brahim Díaz,ma MAR,MF,it Milan,21,1999,3.9,161,2,8,97,59,5,161,24,12,50.0,12,50.0,104,887,394,11,12,1,9,7,117,13,Matches
168,Luis Díaz,co COL,"MF,FW",pt Porto,24,1997,5.8,257,3,24,93,146,26,257,31,19,61.3,12,38.7,169,1384,628,22,15,8,29,11,179,46,Matches
169,Luis Díaz,co COL,FW,eng Liverpool,24,1997,4.3,251,0,13,95,148,31,251,26,17,65.4,9,34.6,168,1217,543,19,8,9,19,5,209,55,Matches
170,Federico Dimarco,it ITA,DF,it Inter,23,1997,3.1,225,12,56,84,88,6,225,3,0,0.0,3,100.0,129,616,405,7,3,1,5,1,129,20,Matches
171,Junior Dina Ebimbe,fr FRA,MF,fr Paris S-G,20,2000,0.1,11,0,0,6,5,1,11,0,0,,0,,8,53,16,1,0,1,0,0,9,1,Matches
172,Tiago Djaló,pt POR,DF,fr Lille,21,2000,5.9,367,34,158,176,37,2,367,12,6,50.0,6,50.0,204,1008,489,8,4,1,6,1,218,5,Matches
173,Berat Djimsiti,al ALB,DF,it Atalanta,28,1993,2.9,225,8,85,115,26,3,225,0,0,,0,,122,587,302,4,3,0,2,0,132,3,Matches
174,Dodô,br BRA,DF,ua Shakhtar,22,1998,6.0,392,20,117,168,113,15,392,13,6,46.2,7,53.8,246,1233,586,12,11,2,8,8,257,53,Matches
175,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,22,1999,5.0,171,151,171,0,0,0,171,0,0,,0,,89,486,275,0,0,0,0,0,72,0,Matches
176,Bas Dost,nl NED,FW,be Club Brugge,32,1989,0.8,33,3,6,18,9,5,33,0,0,,0,,7,7,3,0,0,0,0,0,20,1,Matches
177,Julian Draxler,de GER,"MF,FW",fr Paris S-G,27,1993,1.6,94,1,18,58,21,3,94,2,1,50.0,1,50.0,48,215,121,2,1,2,2,3,74,8,Matches
178,Gustavo Dulanto,pe PER,DF,md Sheriff Tiraspol,25,1995,6.0,278,91,203,69,9,5,278,1,1,100.0,0,0.0,164,723,391,1,1,0,2,0,159,0,Matches
179,Denzel Dumfries,nl NED,DF,it Inter,25,1996,5.2,207,6,47,71,91,26,207,4,3,75.0,1,25.0,111,522,183,9,2,5,14,6,122,40,Matches
180,Paulo Dybala,ar ARG,"FW,MF",it Juventus,27,1993,2.8,215,0,12,106,99,18,213,11,10,90.9,1,9.1,128,650,265,8,8,6,9,2,172,28,Matches
181,Edin Džeko,ba BIH,FW,it Inter,35,1986,6.0,225,10,19,102,109,38,225,11,5,45.5,6,54.5,135,620,271,9,3,2,8,8,176,51,Matches
182,Artem Dzyuba,ru RUS,FW,ru Zenit,32,1988,3.1,100,9,11,38,51,22,100,2,1,50.0,1,50.0,53,142,40,0,2,0,11,1,72,15,Matches
183,Ederson,br BRA,GK,eng Manchester City,27,1993,11.1,342,273,340,3,0,0,342,0,0,,0,,221,931,603,0,0,0,0,0,198,0,Matches
184,Marcus Edwards,eng ENG,MF,pt Sporting CP,22,1998,0.4,17,1,4,5,10,1,17,1,1,100.0,0,0.0,14,173,129,4,5,0,0,2,13,2,Matches
185,CJ Egan-Riley,eng ENG,DF,eng Manchester City,18,2003,1.0,72,3,8,42,22,0,72,3,3,100.0,0,0.0,54,187,65,2,2,0,2,0,56,6,Matches
186,Noah Eile,se SWE,DF,se Malmö,19,2002,0.0,2,1,2,0,0,0,2,0,0,,0,,1,1,1,0,0,0,0,0,1,0,Matches
187,Anthony Elanga,se SWE,"FW,MF",eng Manchester Utd,19,2002,1.9,64,0,9,26,29,5,64,1,1,100.0,0,0.0,36,198,83,3,2,2,7,0,48,6,Matches
188,Meschak Elia,cd COD,FW,ch Young Boys,23,1997,5.4,187,1,13,69,107,17,187,10,5,50.0,5,50.0,130,892,396,18,7,7,20,6,132,44,Matches
189,Harvey Elliott,eng ENG,MF,eng Liverpool,18,2003,0.6,35,0,5,17,14,3,35,1,0,0.0,1,100.0,17,81,50,1,1,0,0,0,29,4,Matches
190,Youssef En-Nesyri,ma MAR,FW,es Sevilla,24,1997,0.9,19,0,2,6,11,5,19,1,0,0.0,1,100.0,13,19,10,0,0,0,4,2,16,5,Matches
191,Aleksandr Erokhin,ru RUS,MF,ru Zenit,31,1989,1.2,46,2,6,20,20,7,46,0,0,,0,,20,62,21,1,1,0,6,2,28,2,Matches
192,Ricardo Esgaio,pt POR,DF,pt Sporting CP,28,1993,4.3,261,13,109,116,37,2,261,1,1,100.0,0,0.0,126,479,227,3,4,2,5,3,144,14,Matches
193,Dario Essugo,pt POR,MF,pt Sporting CP,16,2005,0.1,13,3,6,6,1,0,13,0,0,,0,,9,23,1,0,1,0,0,0,8,0,Matches
194,Gonçalo Esteves,pt POR,DF,pt Sporting CP,17,2004,0.8,44,0,18,17,10,3,44,2,1,50.0,1,50.0,35,173,107,4,1,3,1,3,30,3,Matches
195,Pervis Estupiñán,ec ECU,DF,es Villarreal,23,1998,7.2,453,42,193,151,112,1,453,10,5,50.0,5,50.0,200,853,422,10,8,1,7,3,217,16,Matches
196,Evanilson,br BRA,FW,pt Porto,21,1999,3.4,107,4,7,41,59,15,107,8,3,37.5,5,62.5,53,272,79,5,1,4,12,3,81,18,Matches
197,Fabinho,br BRA,MF,eng Liverpool,27,1993,9.4,713,14,118,484,114,6,713,6,5,83.3,1,16.7,387,1716,829,6,22,0,7,4,499,16,Matches
198,Guillaume Faivre,ch SUI,GK,ch Young Boys,34,1987,3.0,142,91,141,1,0,0,142,0,0,,0,,108,455,290,0,0,0,0,0,102,0,Matches
199,Christian Fassnacht,ch SUI,"MF,FW",ch Young Boys,27,1993,3.0,135,2,19,69,48,11,135,5,0,0.0,5,100.0,90,337,120,3,1,0,9,2,88,20,Matches
200,Ansu Fati,es ESP,FW,es Barcelona,18,2002,1.7,96,1,9,29,59,11,96,5,2,40.0,3,60.0,64,332,143,2,3,0,5,10,83,15,Matches
201,Zouhair Feddal,ma MAR,DF,pt Sporting CP,32,1989,5.0,326,59,184,133,12,6,326,6,4,66.7,2,33.3,183,838,504,4,1,1,3,0,228,0,Matches
202,Felipe,br BRA,DF,es Atlético Madrid,32,1989,5.2,261,38,138,121,4,1,261,4,2,50.0,2,50.0,152,799,321,1,1,0,4,2,142,0,Matches
203,João Félix,pt POR,"FW,MF",es Atlético Madrid,21,1999,6.3,234,7,26,117,93,15,234,16,5,31.3,11,68.8,165,1073,551,19,19,4,15,9,199,33,Matches
204,Bruno Fernandes,pt POR,MF,eng Manchester Utd,26,1994,5.8,421,13,50,202,173,22,421,11,5,45.5,6,54.5,207,973,496,8,11,2,18,7,314,42,Matches
