Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
51,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,28,1987,36.3,38,,,,,,,,,,,,,,,,,,,,,,,,,Matches
52,Ferdinando Coppola,it ITA,GK,Hellas Verona,it Serie A,37,1978,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
53,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,31,1983,5.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
54,Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,28,1987,31.0,45,,,,,,,,,,,,,,,,,,,,,,,,,Matches
55,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,23,1992,22.4,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
56,Iván Cuéllar,es ESP,GK,Sporting Gijón,es La Liga,31,1984,32.0,49,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
57,Karl Darlow,wls WAL,GK,Newcastle Utd,eng Premier League,24,1990,9.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
58,Kelvin Davis,eng ENG,GK,Southampton,eng Premier League,38,1976,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
59,Morgan De Sanctis,it ITA,GK,Roma,it Serie A,38,1977,4.0,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
60,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,23,1992,7.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
61,Néstor Díaz,es ESP,GK,Celta Vigo,es La Liga,23,1992,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
62,Jaume Doménech,es ESP,GK,Valencia,es La Liga,24,1990,17.0,18,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
63,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,16,1999,29.2,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
64,Nicolas Douchez,fr FRA,GK,Paris S-G,fr Ligue 1,35,1980,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
65,Matthieu Dreyer,fr FRA,GK,Troyes,fr Ligue 1,26,1989,15.0,38,,,,,,,,,,,,,,,,,,,,,,,,,Matches
66,Jaroslav Drobný,cz CZE,GK,Hamburger SV,de Bundesliga,35,1979,9.4,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
67,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,22,1993,7.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
68,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,29,1986,21.0,37,,,,,,,,,,,,,,,,,,,,,,,,,Matches
69,Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,32,1982,34.8,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
70,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,30,1985,37.0,51,,,,,,,,,,,,,,,,,,,,,,,,,Matches
71,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,26,1988,34.0,49,,,,,,,,,,,,,,,,,,,,,,,,,Matches
72,Adam Federici,au AUS,GK,Bournemouth,eng Premier League,30,1985,5.5,15,,,,,,,,,,,,,,,,,,,,,,,,,Matches
73,Andrés Fernández,es ESP,GK,Granada,es La Liga,28,1986,37.0,67,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
74,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,27,1988,18.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
75,Ben Foster,eng ENG,GK,West Brom,eng Premier League,32,1983,15.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
76,Gabriel,br BRA,GK,Napoli,it Serie A,22,1992,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
77,Alberto García,es ESP,GK,Sporting Gijón,es La Liga,30,1985,6.0,13,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
78,Paulo Gazzaniga,ar ARG,GK,Southampton,eng Premier League,23,1992,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
79,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,24,1990,34.0,33,,,,,,,,,,,,,,,,,,,,,,,,,Matches
80,Dani Giménez,es ESP,GK,Betis,es La Liga,32,1983,2.3,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
81,Shay Given,ie IRL,GK,Stoke City,eng Premier League,39,1976,2.5,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
82,Jules Goda,cm CMR,GK,Gazélec Ajaccio,fr Ligue 1,26,1989,2.4,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
83,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,27,1988,8.2,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
84,Pierluigi Gollini,it ITA,GK,Hellas Verona,it Serie A,20,1995,25.8,44,,,,,,,,,,,,,,,,,,,,,,,,,Matches
85,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,34,1981,37.7,49,,,,,,,,,,,,,,,,,,,,,,,,,Matches
86,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,24,1990,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
87,Jens Grahl,de GER,GK,Hoffenheim,de Bundesliga,26,1988,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
88,Vicente Guaita,es ESP,GK,Getafe,es La Liga,28,1987,38.0,67,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
89,Paul-André Guérin,fr FRA,GK,Gazélec Ajaccio,fr Ligue 1,17,1997,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
90,Brad Guzan,us USA,GK,Aston Villa,eng Premier League,30,1984,28.0,58,,,,,,,,,,,,,,,,,,,,,,,,,Matches
91,Samir Handanović,si SVN,GK,Inter,it Serie A,31,1984,36.0,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
92,Jesper Hansen,dk DEN,GK,Bastia,fr Ligue 1,30,1985,3.5,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
93,Joe Hart,eng ENG,GK,Manchester City,eng Premier League,28,1987,34.5,36,,,,,,,,,,,,,,,,,,,,,,,,,Matches
94,Mouez Hassen,tn TUN,GK,Nice,fr Ligue 1,20,1995,12.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
95,Jakob Haugaard,dk DEN,GK,Stoke City,eng Premier League,23,1992,4.5,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
96,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,28,1987,29.0,36,,,,,,,,,,,,,,,,,,,,,,,,,Matches
97,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,27,1988,1.9,8,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
98,Andreas Hirzel,ch SUI,GK,Hamburger SV,de Bundesliga,22,1993,0.6,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
99,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,27,1987,33.0,49,,,,,,,,,,,,,,,,,,,,,,,,,Matches
100,Timo Horn,de GER,GK,Köln,de Bundesliga,22,1993,33.0,40,,,,,,,,,,,,,,,,,,,,,,,,,Matches
101,Tim Howard,us USA,GK,Everton,eng Premier League,36,1979,25.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
102,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,25,1989,34.0,52,,,,,,,,,,,,,,,,,,,,,,,,,Matches
103,Salvador Ichazo,uy URU,GK,Torino,it Serie A,23,1992,3.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
104,Gorka Iraizoz,es ESP,GK,Athletic Club,es La Liga,34,1981,36.0,37,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
105,Xabi Irureta,es ESP,GK,Eibar,es La Liga,29,1986,5.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
106,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,30,1984,28.5,36,,,,,,,,,,,,,,,,,,,,,,,,,Matches
107,Jesús,es ESP,GK,Granada,es La Liga,27,1988,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
108,Geoffrey Jourdren,fr FRA,GK,Montpellier,fr Ligue 1,29,1986,7.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
109,Carlos Kameni,cm CMR,GK,Málaga,es La Liga,31,1984,27.4,25,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
110,Loris Karius,de GER,GK,Mainz 05,de Bundesliga,22,1993,34.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
111,Orestis Karnezis,gr GRE,GK,Udinese,it Serie A,30,1985,38.0,60,,,,,,,,,,,,,,,,,,,,,,,,,Matches
112,Thomas Kessler,de GER,GK,Köln,de Bundesliga,29,1986,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
113,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,27,1988,5.5,7,,,,,,,,,,,,,,,,,,,,,,,,,Matches
114,Dario Krešić,hr CRO,GK,Leverkusen,de Bundesliga,31,1984,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
