Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
176,Rafael,br BRA,GK,Hellas Verona,it Serie A,33,1982,11.2,18,,,,,,,,,,,,,,,,,,,,,,,,,Matches
177,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,28,1987,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
178,Pepe Reina,es ESP,GK,Napoli,it Serie A,32,1982,37.0,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
179,Sergio Rico,es ESP,GK,Sevilla,es La Liga,21,1993,34.0,42,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
180,Asier Riesgo,es ESP,GK,Eibar,es La Liga,31,1983,34.0,54,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
181,Rémy Riou,fr FRA,GK,Nantes,fr Ligue 1,27,1987,31.0,32,,,,,,,,,,,,,,,,,,,,,,,,,Matches
182,Joel Robles,es ESP,GK,Everton,eng Premier League,25,1990,13.0,20,,,,,,,,,,,,,,,,,,,,,,,,,Matches
183,Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,28,1987,4.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
184,Rubén,es ESP,GK,Levante,es La Liga,31,1984,15.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
185,Declan Rudd,eng ENG,GK,Norwich City,eng Premier League,24,1991,11.0,23,,,,,,,,,,,,,,,,,,,,,,,,,Matches
186,John Ruddy,eng ENG,GK,Norwich City,eng Premier League,28,1986,27.0,44,,,,,,,,,,,,,,,,,,,,,,,,,Matches
187,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,28,1986,38.0,37,,,,,,,,,,,,,,,,,,,,,,,,,Matches
188,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,23,1992,35.5,43,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
189,Mathew Ryan,au AUS,GK,Valencia,es La Liga,23,1992,8.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
190,Mamadou Samassa,ml MLI,GK,Guingamp,fr Ligue 1,25,1990,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
191,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,28,1986,38.0,36,,,,,,,,,,,,,,,,,,,,,,,,,Matches
192,Andrea Seculin,it ITA,GK,Chievo,it Serie A,25,1990,3.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
193,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,27,1988,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
194,Salvatore Sirigu,it ITA,GK,Paris S-G,fr Ligue 1,28,1987,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
195,Łukasz Skorupski,pl POL,GK,Empoli,it Serie A,24,1991,31.0,43,,,,,,,,,,,,,,,,,,,,,,,,,Matches
196,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,26,1988,32.0,50,,,,,,,,,,,,,,,,,,,,,,,,,Matches
197,Stefano Sorrentino,it ITA,GK,Palermo,it Serie A,36,1979,34.4,58,,,,,,,,,,,,,,,,,,,,,,,,,Matches
198,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,36,1979,2.0,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
199,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,23,1992,36.0,43,,,,,,,,,,,,,,,,,,,,,,,,,Matches
200,Maarten Stekelenburg,nl NED,GK,Southampton,eng Premier League,32,1982,17.0,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
201,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,30,1984,36.0,50,,,,,,,,,,,,,,,,,,,,,,,,,Matches
202,Wojciech Szczęsny,pl POL,GK,Roma,it Serie A,25,1990,34.0,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
203,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,it Serie A,29,1986,36.8,39,,,,,,,,,,,,,,,,,,,,,,,,,Matches
204,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,23,1992,6.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
205,Toño,es ESP,GK,Rayo Vallecano,es La Liga,35,1979,9.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
206,Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,25,1990,34.5,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
207,Przemysław Tytoń,pl POL,GK,Stuttgart,de Bundesliga,28,1987,29.7,61,,,,,,,,,,,,,,,,,,,,,,,,,Matches
208,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,26,1988,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
209,Javi Varas,es ESP,GK,Las Palmas,es La Liga,32,1982,30.1,40,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
210,Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,35,1980,38.0,52,,,,,,,,,,,,,,,,,,,,,,,,,Matches
211,Thomas Vincensini,fr FRA,GK,Bastia,fr Ligue 1,21,1993,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
212,Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,29,1985,37.0,56,,,,,,,,,,,,,,,,,,,,,,,,,Matches
213,Odisseas Vlachodimos,gr GRE,GK,Stuttgart,de Bundesliga,21,1994,2.3,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
214,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,31,1983,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
215,Danny Ward,wls WAL,GK,Liverpool,eng Premier League,22,1993,2.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
216,Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,34,1980,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
217,Felix Wiedwald,de GER,GK,Werder Bremen,de Bundesliga,25,1990,34.0,40,,,,,,,,,,,,,,,,,,,,,,,,,Matches
218,David Yelldell,us USA,GK,Leverkusen,de Bundesliga,33,1981,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
219,Yoel,es ESP,GK,Rayo Vallecano,es La Liga,26,1988,9.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
220,Massimo Zappino,br BRA,GK,Frosinone,it Serie A,34,1981,3.7,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
221,Łukasz Załuska,pl POL,GK,Darmstadt 98,de Bundesliga,33,1982,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
222,Ron-Robert Zieler,de GER,GK,Hannover 96,de Bundesliga,26,1989,34.0,62,,,,,,,,,,,,,,,,,,,,,,,,,Matches
