Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1453,Mohamed Larbi,tn TUN,MF,Gazélec Ajaccio,fr Ligue 1,27,1987,25.3,,,,,,,,,,,,,,,3,,,,,,Matches
1454,Karim Laribi,tn TUN,"FW,MF",Sassuolo,it Serie A,24,1991,5.4,,,,,,,,,,,,,,,0,,,,,,Matches
1455,Sebastian Larsson,se SWE,MF,Sunderland,eng Premier League,30,1985,6.2,,,,,,,,,,,,,,,1,,,,,,Matches
1456,Kevin Lasagna,it ITA,"FW,MF",Carpi,it Serie A,22,1992,16.7,,,,,,,,,,,,,,,2,,,,,,Matches
1457,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,21,1993,12.8,,,,,,,,,,,,,,,0,,,,,,Matches
1458,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,26,1989,5.7,,,,,,,,,,,,,,,0,,,,,,Matches
1459,Pierre-Michel Lasogga,de GER,FW,Hamburger SV,de Bundesliga,23,1991,19.5,,,,,,,,,,,,,,,2,,,,,,Matches
1460,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,25,1989,20.6,,,,,,,,,,,,,,,2,,,,,,Matches
1461,Laure,es ESP,DF,La Coruña,es La Liga,30,1985,17.2,,,,,,,,,,,,,,,0,,,,,,Matches
1462,Vincent Laurini,fr FRA,DF,Empoli,it Serie A,26,1989,21.7,,,,,,,,,,,,,,,0,,,,,,Matches
1463,Wesley Lautoa,nc NCL,"DF,MF",Lorient,fr Ligue 1,27,1987,11.2,,,,,,,,,,,,,,,0,,,,,,Matches
1464,Ezequiel Lavezzi,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,30,1985,4.9,,,,,,,,,,,,,,,0,,,,,,Matches
1465,Valentin Lavigne,fr FRA,"FW,MF",Lorient,fr Ligue 1,21,1994,1.7,,,,,,,,,,,,,,,0,,,,,,Matches
1466,Diego Laxalt,uy URU,"DF,MF",Genoa,it Serie A,22,1993,34.1,,,,,,,,,,,,,,,4,,,,,,Matches
1467,Miguel Layún,mx MEX,"DF,MF",Watford,eng Premier League,27,1988,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
1468,Achraf Lazaar,ma MAR,"DF,MF",Palermo,it Serie A,23,1992,25.5,,,,,,,,,,,,,,,2,,,,,,Matches
1469,Darko Lazović,rs SRB,"DF,FW",Genoa,it Serie A,24,1990,7.2,,,,,,,,,,,,,,,2,,,,,,Matches
1470,Andrea Lazzari,it ITA,MF,Carpi,it Serie A,30,1984,3.8,,,,,,,,,,,,,,,0,,,,,,Matches
1471,Mickaël Le Bihan,fr FRA,"DF,FW",Nice,fr Ligue 1,25,1990,1.5,,,,,,,,,,,,,,,1,,,,,,Matches
1472,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,25,1989,19.8,,,,,,,,,,,,,,,0,,,,,,Matches
1473,Maxime Le Marchand,fr FRA,"DF,MF",Nice,fr Ligue 1,25,1989,24.4,,,,,,,,,,,,,,,0,,,,,,Matches
1474,Nicola Leali,it ITA,GK,Frosinone,it Serie A,22,1993,33.0,,,,,,,,,,,,,,,0,,,,,,Matches
1475,Jordan Leborgne,gp GLP,MF,Caen,fr Ligue 1,19,1995,7.4,,,,,,,,,,,,,,,1,,,,,,Matches
1476,Jean-Louis Leca,fr FRA,GK,Bastia,fr Ligue 1,29,1985,33.2,,,,,,,,,,,,,,,0,,,,,,Matches
1477,Mathew Leckie,au AUS,"FW,MF",Ingolstadt 04,de Bundesliga,24,1991,27.5,,,,,,,,,,,,,,,0,,,,,,Matches
