Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
342,Celso Borges,cr CRC,"FW,MF",La Coruña,es La Liga,27,1988,24,21,1908,21.2,3,2,5,3,0,0,5,1,0.14,0.09,0.24,0.14,0.24,Matches
343,Fabio Borini,it ITA,"FW,MF",Sunderland,eng Premier League,24,1991,26,22,1891,21.0,5,2,7,4,1,1,6,0,0.24,0.10,0.33,0.19,0.29,Matches
344,Marco Borriello,it ITA,FW,Carpi,it Serie A,33,1982,12,8,744,8.3,4,4,8,4,0,0,1,1,0.48,0.48,0.97,0.48,0.97,Matches
345,Marco Borriello,it ITA,FW,Atalanta,it Serie A,33,1982,15,8,855,9.5,4,0,4,3,1,1,3,0,0.42,0.00,0.42,0.32,0.32,Matches
346,Cameron Borthwick-Jackson,eng ENG,"DF,MF",Manchester Utd,eng Premier League,18,1997,10,6,695,7.7,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
347,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,35,1980,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
348,Olivier Boscagli,fr FRA,DF,Nice,fr Ligue 1,17,1997,11,8,775,8.6,1,0,1,1,0,0,5,1,0.12,0.00,0.12,0.12,0.12,Matches
349,Gabriel Boschilia,br BRA,MF,Monaco,fr Ligue 1,19,1996,5,1,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
350,Denis Bouanga,ga GAB,"FW,MF",Lorient,fr Ligue 1,20,1994,4,3,194,2.2,1,0,1,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches
351,Ryad Boudebouz,dz ALG,"FW,MF",Montpellier,fr Ligue 1,25,1990,38,37,3242,36.0,2,11,13,2,0,0,3,0,0.06,0.31,0.36,0.06,0.36,Matches
352,Sofiane Boufal,ma MAR,"FW,MF",Lille,fr Ligue 1,21,1993,29,27,2329,25.9,11,4,15,9,2,2,12,2,0.43,0.15,0.58,0.35,0.50,Matches
353,Arnold Bouka Moutou,cg CGO,DF,Angers,fr Ligue 1,26,1988,23,12,1251,13.9,2,0,2,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
354,Grégory Bourillon,fr FRA,"DF,MF",Angers,fr Ligue 1,31,1984,8,6,511,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
355,Khalid Boutaïb,ma MAR,FW,Gazélec Ajaccio,fr Ligue 1,28,1987,31,22,1926,21.4,6,1,7,6,0,0,3,0,0.28,0.05,0.33,0.28,0.33,Matches
356,Eneko Bóveda,es ESP,DF,Athletic Club,es La Liga,26,1988,23,15,1468,16.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
357,Cesare Bovo,it ITA,DF,Torino,it Serie A,32,1983,21,20,1789,19.9,2,0,2,2,0,0,10,0,0.10,0.00,0.10,0.10,0.10,Matches
