Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
1360,Ricardo Kishna,nl NED,"FW,MF",Lazio,it Serie A,20,1995,11,7,558,6.2,2,0,2,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
1361,Sonny Kittel,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,22,1993,8,1,277,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1362,Hiroshi Kiyotake,jp JPN,"FW,MF",Hannover 96,de Bundesliga,25,1989,21,20,1759,19.5,5,6,11,3,2,2,0,0,0.26,0.31,0.56,0.15,0.46,Matches
1363,Felix Klaus,de GER,"FW,MF",Hannover 96,de Bundesliga,22,1992,18,9,796,8.8,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
1364,Ragnar Klavan,ee EST,DF,Augsburg,de Bundesliga,29,1985,31,31,2786,31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
1365,Florian Klein,at AUT,"DF,MF",Stuttgart,de Bundesliga,28,1986,22,17,1576,17.5,0,2,2,0,0,0,5,1,0.00,0.11,0.11,0.00,0.11,Matches
1366,László Kleinheisler,hu HUN,MF,Werder Bremen,de Bundesliga,21,1994,6,1,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1367,Philipp Klement,de GER,MF,Mainz 05,de Bundesliga,22,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1368,Jan Kliment,cz CZE,"FW,MF",Stuttgart,de Bundesliga,21,1993,8,0,159,1.8,1,0,1,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches
1369,Miroslav Klose,de GER,FW,Lazio,it Serie A,37,1978,24,14,1357,15.1,7,7,14,6,1,1,3,0,0.46,0.46,0.93,0.40,0.86,Matches
1370,Timm Klose,ch SUI,DF,Norwich City,eng Premier League,27,1988,10,10,848,9.4,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
1371,Timm Klose,ch SUI,DF,Wolfsburg,de Bundesliga,27,1988,8,7,634,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
1372,Lukas Klünter,de GER,"DF,MF",Köln,de Bundesliga,19,1996,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1373,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,23,1992,11,9,817,9.1,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
1374,Erwin Koffi,fr FRA,"DF,FW",Lorient,fr Ligue 1,20,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1375,Florian Kohls,de GER,MF,Hertha BSC,de Bundesliga,20,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1376,Dominik Kohr,de GER,"DF,MF",Augsburg,de Bundesliga,21,1994,31,30,2479,27.5,0,3,3,0,0,0,12,0,0.00,0.11,0.11,0.00,0.11,Matches
1377,Koke,es ESP,MF,Atlético Madrid,es La Liga,23,1992,35,34,2967,33.0,5,12,17,5,0,0,4,0,0.15,0.36,0.52,0.15,0.52,Matches
1378,Aleksandar Kolarov,rs SRB,DF,Manchester City,eng Premier League,29,1985,29,25,2283,25.4,3,3,6,3,0,1,3,0,0.12,0.12,0.24,0.12,0.24,Matches
1379,Sead Kolašinac,ba BIH,"DF,MF",Schalke 04,de Bundesliga,22,1993,23,18,1574,17.5,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches
1380,Timothée Kolodziejczak,fr FRA,DF,Sevilla,es La Liga,23,1991,29,26,2385,26.5,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
1381,Vincent Kompany,be BEL,DF,Manchester City,eng Premier League,29,1986,14,13,1179,13.1,2,0,2,2,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches
1382,Geoffrey Kondogbia,cf CTA,"DF,MF",Inter,it Serie A,22,1993,26,23,1988,22.1,1,0,1,1,0,0,6,1,0.05,0.00,0.05,0.05,0.05,Matches
1383,Arouna Koné,ci CIV,FW,Everton,eng Premier League,31,1983,25,16,1456,16.2,5,4,9,5,0,0,1,0,0.31,0.25,0.56,0.31,0.56,Matches
1384,Bakary Koné,bf BFA,DF,Lyon,fr Ligue 1,27,1988,6,4,432,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
1385,Lamine Koné,ci CIV,DF,Sunderland,eng Premier League,26,1989,15,15,1314,14.6,2,1,3,2,0,0,0,0,0.14,0.07,0.21,0.14,0.21,Matches
1386,Lamine Koné,ci CIV,DF,Lorient,fr Ligue 1,26,1989,18,17,1552,17.2,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
1387,Mory Koné,ci CIV,DF,Troyes,fr Ligue 1,21,1994,3,3,238,2.6,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches
1388,Panagiotis Kone,gr GRE,MF,Udinese,it Serie A,28,1987,5,2,232,2.6,0,1,1,0,0,0,2,1,0.00,0.39,0.39,0.00,0.39,Matches
1389,Panagiotis Kone,gr GRE,MF,Fiorentina,it Serie A,28,1987,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1390,Youssouf Koné,ml MLI,DF,Lille,fr Ligue 1,20,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1391,Abdoulay Konko,fr FRA,"DF,MF",Lazio,it Serie A,31,1984,18,17,1529,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
1392,Yevhen Konoplyanka,ua UKR,"FW,MF",Sevilla,es La Liga,25,1989,32,15,1620,18.0,4,2,6,3,1,1,4,0,0.22,0.11,0.33,0.17,0.28,Matches
1393,Julian Korb,de GER,"DF,MF",Gladbach,de Bundesliga,23,1992,17,14,1265,14.1,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
1394,Laurent Koscielny,fr FRA,DF,Arsenal,eng Premier League,29,1985,33,33,2845,31.6,4,0,4,4,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches
1395,Filip Kostić,rs SRB,"DF,FW",Stuttgart,de Bundesliga,22,1992,30,30,2592,28.8,5,5,10,4,1,1,5,0,0.17,0.17,0.35,0.14,0.31,Matches
1396,Christian Kouakou,ci CIV,FW,Caen,fr Ligue 1,24,1991,6,0,129,1.4,1,0,1,1,0,0,1,0,0.70,0.00,0.70,0.70,0.70,Matches
1397,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,24,1991,33,32,2888,32.1,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
1398,Cheikhou Kouyaté,sn SEN,"DF,MF",West Ham,eng Premier League,25,1989,34,34,3007,33.4,5,2,7,5,0,0,5,1,0.15,0.06,0.21,0.15,0.21,Matches
1399,Mateo Kovačić,hr CRO,MF,Real Madrid,es La Liga,21,1994,25,8,1037,11.5,0,2,2,0,0,0,4,1,0.00,0.17,0.17,0.00,0.17,Matches
1400,Libor Kozák,cz CZE,FW,Aston Villa,eng Premier League,26,1989,4,3,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1401,Vincent Koziello,fr FRA,MF,Nice,fr Ligue 1,19,1995,35,32,2701,30.0,3,6,9,3,0,0,9,0,0.10,0.20,0.30,0.10,0.30,Matches
1402,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,27,1988,6,6,495,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1403,Emil Krafth,se SWE,DF,Bologna,it Serie A,20,1994,4,2,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1404,Oliver Kragl,de GER,"DF,MF",Frosinone,it Serie A,25,1990,15,12,925,10.3,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
1405,Andrej Kramarić,hr CRO,"FW,MF",Leicester City,eng Premier League,24,1991,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1406,Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,24,1991,15,12,1085,12.1,5,2,7,4,1,2,2,1,0.41,0.17,0.58,0.33,0.50,Matches
1407,Christoph Kramer,de GER,MF,Leverkusen,de Bundesliga,24,1991,28,28,2397,26.6,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches
1408,Matías Kranevitter,ar ARG,MF,Atlético Madrid,es La Liga,22,1993,8,3,329,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
1409,Artem Kravets,ua UKR,FW,Stuttgart,de Bundesliga,26,1989,15,5,593,6.6,1,2,3,1,0,0,1,0,0.15,0.30,0.46,0.15,0.46,Matches
1410,Dario Krešić,hr CRO,GK,Leverkusen,de Bundesliga,31,1984,1,1,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1411,Rene Krhin,si SVN,"FW,MF",Granada,es La Liga,25,1990,24,16,1434,15.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
1412,Bojan Krkić,es ESP,"FW,MF",Stoke City,eng Premier League,24,1990,27,22,1697,18.9,7,1,8,5,2,2,2,0,0.37,0.05,0.42,0.27,0.32,Matches
1413,Michael Krohn-Dehli,dk DEN,"FW,MF",Sevilla,es La Liga,32,1983,27,16,1663,18.5,1,3,4,1,0,0,3,0,0.05,0.16,0.22,0.05,0.22,Matches
1414,Felix Kroos,de GER,"DF,FW",Werder Bremen,de Bundesliga,24,1991,8,2,257,2.9,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1415,Toni Kroos,de GER,MF,Real Madrid,es La Liga,25,1990,32,32,2738,30.4,1,10,11,1,0,0,3,0,0.03,0.33,0.36,0.03,0.36,Matches
1416,Nenad Krstičić,rs SRB,MF,Sampdoria,it Serie A,25,1990,10,6,544,6.0,0,1,1,0,0,0,5,0,0.00,0.17,0.17,0.00,0.17,Matches
1417,Tim Krul,nl NED,GK,Newcastle Utd,eng Premier League,27,1988,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1418,Rade Krunić,ba BIH,MF,Empoli,it Serie A,21,1993,15,5,499,5.5,1,0,1,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches
1419,Max Kruse,de GER,"FW,MF",Wolfsburg,de Bundesliga,27,1988,32,28,2420,26.9,6,6,12,6,0,0,3,0,0.22,0.22,0.45,0.22,0.45,Matches
1420,Robbie Kruse,au AUS,"FW,MF",Stuttgart,de Bundesliga,26,1988,3,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1421,Robbie Kruse,au AUS,"FW,MF",Leverkusen,de Bundesliga,26,1988,9,2,348,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
1422,Grzegorz Krychowiak,pl POL,MF,Sevilla,es La Liga,25,1990,26,25,2270,25.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
1423,Juraj Kucka,sk SVK,MF,Genoa,it Serie A,28,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1424,Juraj Kucka,sk SVK,MF,Milan,it Serie A,28,1987,29,24,2077,23.1,1,3,4,1,0,0,11,0,0.04,0.13,0.17,0.04,0.17,Matches
1425,Kevin Kurányi,de GER,FW,Hoffenheim,de Bundesliga,33,1982,14,5,527,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1426,Jasmin Kurtić,si SVN,MF,Atalanta,it Serie A,26,1989,32,30,2404,26.7,2,0,2,2,0,0,7,1,0.07,0.00,0.07,0.07,0.07,Matches
1427,Layvin Kurzawa,fr FRA,DF,Monaco,fr Ligue 1,22,1992,3,3,228,2.5,1,2,3,1,0,0,1,0,0.39,0.79,1.18,0.39,1.18,Matches
1428,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,22,1992,16,14,1289,14.3,3,3,6,3,0,0,1,0,0.21,0.21,0.42,0.21,0.42,Matches
1429,Zdravko Kuzmanović,rs SRB,MF,Udinese,it Serie A,27,1987,16,13,1131,12.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
1430,Enock Kwateng,fr FRA,DF,Nantes,fr Ligue 1,18,1997,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1431,Grejohn Kyei,fr FRA,FW,Reims,fr Ligue 1,19,1995,16,7,727,8.1,3,2,5,2,1,1,3,0,0.37,0.25,0.62,0.25,0.50,Matches
1432,Alberto de la Bella,es ESP,DF,Real Sociedad,es La Liga,29,1985,15,14,1248,13.9,0,2,2,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,Matches
1433,Antonino La Gumina,it ITA,FW,Palermo,it Serie A,19,1996,3,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1434,Zakarie Labidi,fr FRA,MF,Lyon,fr Ligue 1,20,1995,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1435,Gaëtan Laborde,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,21,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1436,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,24,1991,34,34,2957,32.9,21,3,24,19,2,2,5,0,0.64,0.09,0.73,0.58,0.67,Matches
1437,Mehdi Lacen,dz ALG,MF,Getafe,es La Liga,31,1984,31,31,2660,29.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
1438,Kyle Lafferty,nir NIR,FW,Norwich City,eng Premier League,27,1987,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1439,Ángel Lafita,es ESP,"FW,MF",Getafe,es La Liga,30,1984,14,12,1014,11.3,3,2,5,3,0,0,5,0,0.27,0.18,0.44,0.27,0.44,Matches
1440,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,16,1999,24,24,2144,23.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1441,Roberto Lago,es ESP,"DF,MF",Getafe,es La Liga,29,1985,17,17,1367,15.2,0,2,2,0,0,0,6,0,0.00,0.13,0.13,0.00,0.13,Matches
1442,Philipp Lahm,de GER,"DF,MF",Bayern Munich,de Bundesliga,31,1983,26,25,2195,24.4,1,1,2,1,0,0,3,0,0.04,0.04,0.08,0.04,0.08,Matches
1443,Aïssa Laïdouni,tn TUN,"DF,MF",Angers,fr Ligue 1,18,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1444,Adam Lallana,eng ENG,"FW,MF",Liverpool,eng Premier League,27,1988,30,23,2107,23.4,4,6,10,4,0,0,2,0,0.17,0.26,0.43,0.17,0.43,Matches
1445,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,25,1989,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1446,Rickie Lambert,eng ENG,FW,West Brom,eng Premier League,33,1982,19,5,625,6.9,1,1,2,0,1,1,2,0,0.14,0.14,0.29,0.00,0.14,Matches
1447,Érik Lamela,ar ARG,"FW,MF",Tottenham,eng Premier League,23,1992,34,28,2371,26.3,5,9,14,5,0,0,9,0,0.19,0.34,0.53,0.19,0.53,Matches
1448,Mitchell Langerak,au AUS,GK,Stuttgart,de Bundesliga,26,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1449,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,27,1988,22,22,1878,20.9,0,1,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matches
1450,Manuel Lanzini,ar ARG,"FW,MF",West Ham,eng Premier League,22,1993,26,23,1910,21.2,6,2,8,6,0,0,3,0,0.28,0.09,0.38,0.28,0.38,Matches
1451,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,21,1994,26,25,2211,24.6,3,1,4,3,0,0,9,2,0.12,0.04,0.16,0.12,0.16,Matches
1452,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,31,1984,34,34,2947,32.7,0,0,0,0,0,0,11,2,0.00,0.00,0.00,0.00,0.00,Matches
1453,Mohamed Larbi,tn TUN,MF,Gazélec Ajaccio,fr Ligue 1,27,1987,30,26,2278,25.3,8,3,11,7,1,1,0,0,0.32,0.12,0.43,0.28,0.40,Matches
1454,Karim Laribi,tn TUN,"FW,MF",Sassuolo,it Serie A,24,1991,11,6,484,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1455,Sebastian Larsson,se SWE,MF,Sunderland,eng Premier League,30,1985,18,6,554,6.2,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
1456,Kevin Lasagna,it ITA,"FW,MF",Carpi,it Serie A,22,1992,36,8,1504,16.7,5,2,7,5,0,0,1,0,0.30,0.12,0.42,0.30,0.42,Matches
1457,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,21,1993,18,10,1152,12.8,2,0,2,2,0,0,1,1,0.16,0.00,0.16,0.16,0.16,Matches
1458,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,26,1989,9,6,517,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
1459,Pierre-Michel Lasogga,de GER,FW,Hamburger SV,de Bundesliga,23,1991,30,21,1751,19.5,8,2,10,6,2,2,5,0,0.41,0.10,0.51,0.31,0.41,Matches
1460,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,25,1989,27,20,1858,20.6,0,2,2,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches
1461,Laure,es ESP,DF,La Coruña,es La Liga,30,1985,23,16,1549,17.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
1462,Vincent Laurini,fr FRA,DF,Empoli,it Serie A,26,1989,25,24,1949,21.7,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
1463,Wesley Lautoa,nc NCL,"DF,MF",Lorient,fr Ligue 1,27,1987,13,11,1009,11.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
1464,Ezequiel Lavezzi,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,30,1985,16,3,437,4.9,2,0,2,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
1465,Valentin Lavigne,fr FRA,"FW,MF",Lorient,fr Ligue 1,21,1994,6,1,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1466,Diego Laxalt,uy URU,"DF,MF",Genoa,it Serie A,22,1993,35,35,3072,34.1,3,4,7,3,0,0,3,0,0.09,0.12,0.21,0.09,0.21,Matches
1467,Miguel Layún,mx MEX,"DF,MF",Watford,eng Premier League,27,1988,3,2,131,1.5,1,0,1,1,0,0,0,0,0.69,0.00,0.69,0.69,0.69,Matches
1468,Achraf Lazaar,ma MAR,"DF,MF",Palermo,it Serie A,23,1992,30,26,2292,25.5,1,2,3,1,0,0,4,1,0.04,0.08,0.12,0.04,0.12,Matches
1469,Darko Lazović,rs SRB,"DF,FW",Genoa,it Serie A,24,1990,15,6,650,7.2,0,2,2,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches
1470,Andrea Lazzari,it ITA,MF,Carpi,it Serie A,30,1984,8,3,346,3.8,1,0,1,1,0,1,1,0,0.26,0.00,0.26,0.26,0.26,Matches
1471,Mickaël Le Bihan,fr FRA,"DF,FW",Nice,fr Ligue 1,25,1990,3,1,137,1.5,1,1,2,1,0,0,0,0,0.66,0.66,1.31,0.66,1.31,Matches
1472,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,25,1989,27,19,1785,19.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
1473,Maxime Le Marchand,fr FRA,"DF,MF",Nice,fr Ligue 1,25,1989,26,26,2196,24.4,1,0,1,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,Matches
1474,Nicola Leali,it ITA,GK,Frosinone,it Serie A,22,1993,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
1475,Jordan Leborgne,gp GLP,MF,Caen,fr Ligue 1,19,1995,14,7,663,7.4,0,1,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches
1476,Jean-Louis Leca,fr FRA,GK,Bastia,fr Ligue 1,29,1985,34,34,2989,33.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
1477,Mathew Leckie,au AUS,"FW,MF",Ingolstadt 04,de Bundesliga,24,1991,32,28,2471,27.5,3,0,3,3,0,1,9,0,0.11,0.00,0.11,0.11,0.11,Matches
1478,Benjamin Lecomte,fr FRA,GK,Lorient,fr Ligue 1,24,1991,37,37,3241,36.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
1479,Joe Ledley,wls WAL,MF,Crystal Palace,eng Premier League,28,1987,19,11,981,10.9,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
1480,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,32,1983,32,31,2773,30.8,0,2,2,0,0,0,8,1,0.00,0.06,0.06,0.00,0.06,Matches
1481,Moritz Leitner,de GER,MF,Dortmund,de Bundesliga,22,1992,9,2,326,3.6,0,1,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches
1482,Lucas Leiva,br BRA,MF,Liverpool,eng Premier League,28,1987,27,21,1953,21.7,0,1,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matches
1483,Jonathan Leko,eng ENG,"FW,MF",West Brom,eng Premier League,16,1999,5,3,271,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
1484,Iñigo Lekue,es ESP,"DF,MF",Athletic Club,es La Liga,22,1993,20,12,1159,12.9,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
1485,Reynald Lemaître,fr FRA,"DF,MF",Guingamp,fr Ligue 1,32,1983,6,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
1486,Thomas Lemar,fr FRA,MF,Monaco,fr Ligue 1,19,1995,26,20,1805,20.1,5,3,8,5,0,0,1,0,0.25,0.15,0.40,0.25,0.40,Matches
1487,Mario Lemina,ga GAB,"DF,MF",Juventus,it Serie A,21,1993,10,7,729,8.1,2,0,2,1,1,0,4,0,0.25,0.00,0.25,0.12,0.12,Matches
1488,Mario Lemina,ga GAB,"DF,MF",Marseille,fr Ligue 1,21,1993,4,4,334,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
1489,Jérôme Lemoigne,fr FRA,"FW,MF",Gazélec Ajaccio,fr Ligue 1,32,1983,31,27,2461,27.3,0,1,1,0,0,0,14,1,0.00,0.04,0.04,0.00,0.04,Matches
1490,Fabien Lemoine,fr FRA,MF,Saint-Étienne,fr Ligue 1,28,1987,33,29,2452,27.2,0,1,1,0,0,0,10,0,0.00,0.04,0.04,0.00,0.04,Matches
1491,Mauricio Lemos,uy URU,DF,Las Palmas,es La Liga,19,1995,10,8,736,8.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
1492,Ermir Lenjani,al ALB,"DF,FW",Rennes,fr Ligue 1,25,1989,1,0,78,0.9,0,1,1,0,0,0,0,0,0.00,1.15,1.15,0.00,1.15,Matches
1493,Ermir Lenjani,al ALB,"DF,FW",Nantes,fr Ligue 1,25,1989,20,15,1393,15.5,1,1,2,1,0,0,2,1,0.06,0.06,0.13,0.06,0.13,Matches
1494,Aaron Lennon,eng ENG,"FW,MF",Everton,eng Premier League,28,1987,25,17,1538,17.1,5,0,5,5,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches
1495,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,23,1992,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1496,Jeremain Lens,nl NED,"FW,MF",Sunderland,eng Premier League,27,1987,20,14,1294,14.4,3,3,6,3,0,0,5,1,0.21,0.21,0.42,0.21,0.42,Matches
1497,Pedro León,es ESP,"FW,MF",Getafe,es La Liga,28,1986,31,23,1845,20.5,2,4,6,2,0,1,5,0,0.10,0.20,0.29,0.10,0.29,Matches
1498,Jefferson Lerma,co COL,MF,Levante,es La Liga,20,1994,33,31,2682,29.8,1,2,3,1,0,0,11,0,0.03,0.07,0.10,0.03,0.10,Matches
1499,Joleon Lescott,eng ENG,DF,West Brom,eng Premier League,32,1982,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1500,Joleon Lescott,eng ENG,DF,Aston Villa,eng Premier League,32,1982,30,30,2629,29.2,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches
1501,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,24,1990,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
1502,Gaetano Letizia,it ITA,"DF,MF",Carpi,it Serie A,25,1990,35,33,2892,32.1,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
1503,Tobias Levels,de GER,DF,Ingolstadt 04,de Bundesliga,28,1986,16,16,1440,16.0,1,2,3,1,0,0,4,0,0.06,0.12,0.19,0.06,0.19,Matches
1504,Dorian Lévêque,fr FRA,DF,Guingamp,fr Ligue 1,25,1989,14,13,1204,13.4,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
1505,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,26,1988,32,29,2653,29.5,30,2,32,28,2,2,2,0,1.02,0.07,1.09,0.95,1.02,Matches
1506,Stefan Lex,de GER,"FW,MF",Ingolstadt 04,de Bundesliga,25,1989,21,9,881,9.8,2,0,2,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
1507,Dario Lezcano,py PAR,"FW,MF",Ingolstadt 04,de Bundesliga,25,1990,17,15,1237,13.7,2,1,3,2,0,0,4,0,0.15,0.07,0.22,0.15,0.22,Matches
1508,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,20,1995,2,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
1509,Igor Lichnovsky,cl CHI,DF,Sporting Gijón,es La Liga,21,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
