Round,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
Third qualifying round,Tue,2021-08-03,22:00 (21:00),Olympiacos gr,,1–1,,bg Ludogorets,9212,Stadio Georgios Karaiskáki,Bobby Madden,Match Report,Leg 1 of 2
Third qualifying round,Wed,2021-08-04,20:00 (19:00),Spartak Moscow ru,,0–2,,pt Benfica,2933,Otkrytie Arena,Srđan Jovanović,Match Report,Leg 1 of 2
Third qualifying round,Wed,2021-08-04,20:00,Dinamo Zagreb hr,,1–1,,pl Legia Warsaw,4597,Stadion Maksimir,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Third qualifying round,Wed,2021-08-04,20:00,Ferencváros hu,,2–0,,cz Slavia Prague,17127,Groupama Arena,Jesús Gil,Match Report,Leg 1 of 2
Third qualifying round,Tue,2021-08-10,19:00,Slavia Prague cz,,1–0,,hu Ferencváros,15238,Sinobo Stadium,Tobias Stieler,Match Report,Leg 2 of 2; Ferencváros won
Third qualifying round,Tue,2021-08-10,20:00,Monaco fr,,3–1,,cz Sparta Prague,5476,Stade Louis II,Daniele Orsato,Match Report,Leg 2 of 2; Monaco won
Third qualifying round,Tue,2021-08-10,20:00 (21:00),Rangers sct,,1–2,,se Malmö,47021,Ibrox Stadium,Slavko Vinčič,Match Report,Leg 2 of 2; Malmö won
Third qualifying round,Tue,2021-08-10,20:00 (19:00),Sheriff Tiraspol md,,1–0,,rs Red Star,4950,Bolshaya Sportivnaya Arena,Felix Zwayer,Match Report,Leg 2 of 2; Sheriff Tiraspol won
Third qualifying round,Tue,2021-08-10,20:00 (21:00),Benfica pt,,2–0,,ru Spartak Moscow,16312,Estádio do Sport Lisboa e Benfica,Anthony Taylor,Match Report,Leg 2 of 2; Benfica won
Third qualifying round,Tue,2021-08-10,20:00,Midtjylland dk,,0–1,,nl PSV Eindhoven,6288,MCH Arena,Clément Turpin,Match Report,Leg 2 of 2; PSV Eindhoven won
Third qualifying round,Tue,2021-08-10,20:30 (19:30),Shakhtar ua,,2–1,,be Genk,20594,NSK Olimpijs'kyj,István Kovács,Match Report,Leg 2 of 2; Shakhtar won
Third qualifying round,Tue,2021-08-10,20:30,Young Boys ch,,3–1,,ro CFR Cluj,21145,Wankdorfstadion,Cüneyt Çakιr,Match Report,Leg 2 of 2; Young Boys won
Third qualifying round,Tue,2021-08-10,21:00 (20:00),Ludogorets bg,,(4) 2–2 (1),,gr Olympiacos,5118,Huvepharma Arena,Orel Grinfeeld,Match Report,Leg 2 of 2; Ludogorets won; Ludogorets won on penalty kicks following extra time
Third qualifying round,Tue,2021-08-10,21:00,Legia Warsaw pl,,0–1,,hr Dinamo Zagreb,26769,Stadion Miejski Legii Warszawa im. Marsz...,Benoît Bastien,Match Report,Leg 2 of 2; Dinamo Zagreb won
,,,,,,,,,,,,,
Play-off round,Tue,2021-08-17,21:00,RB Salzburg at,,2–1,,dk Brøndby,17538,Red Bull Arena,Szymon Marciniak,Match Report,Leg 1 of 2
Play-off round,Tue,2021-08-17,21:00,Monaco fr,,0–1,,ua Shakhtar,5700,Stade Louis II,Danny Makkelie,Match Report,Leg 1 of 2
Play-off round,Tue,2021-08-17,22:00 (21:00),Sheriff Tiraspol md,,3–0,,hr Dinamo Zagreb,5281,Bolshaya Sportivnaya Arena,Can Çakır,Match Report,Leg 1 of 2
Play-off round,Wed,2021-08-18,20:00 (21:00),Benfica pt,,2–1,,nl PSV Eindhoven,18199,Estádio do Sport Lisboa e Benfica,Felix Brych,Match Report,Leg 1 of 2
Play-off round,Wed,2021-08-18,21:00,Young Boys ch,,3–2,,hu Ferencváros,15652,Wankdorfstadion,William Collum,Match Report,Leg 1 of 2
Play-off round,Wed,2021-08-18,21:00,Malmö se,,2–0,,bg Ludogorets,5463,Eleda Stadion,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Play-off round,Tue,2021-08-24,21:00,PSV Eindhoven nl,,0–0,,pt Benfica,21855,Philips Stadion,Slavko Vinčič,Match Report,Leg 2 of 2; Benfica won
Play-off round,Tue,2021-08-24,21:00,Ferencváros hu,,2–3,,ch Young Boys,20667,Puskás Ferenc Stadion,Sergey Karasev,Match Report,Leg 2 of 2; Young Boys won
Play-off round,Tue,2021-08-24,22:00 (21:00),Ludogorets bg,,2–1,,se Malmö,5130,Huvepharma Arena,Clément Turpin,Match Report,Leg 2 of 2; Malmö won
Play-off round,Wed,2021-08-25,21:00,Dinamo Zagreb hr,,0–0,,md Sheriff Tiraspol,8015,Stadion Maksimir,Daniele Orsato,Match Report,Leg 2 of 2; Sheriff Tiraspol won
Play-off round,Wed,2021-08-25,21:00,Brøndby dk,,1–2,,at RB Salzburg,22397,Brøndby Stadion,Carlos del Cerro,Match Report,Leg 2 of 2; RB Salzburg won
Play-off round,Wed,2021-08-25,22:00 (21:00),Shakhtar ua,,2–2,,fr Monaco,26697,Oblasny SportKomplex Metalist,Anthony Taylor,Match Report,Leg 2 of 2; Shakhtar won; Required Extra Time
