Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
40,Alexander Nübel,de GER,GK,de Stuttgart,28-242,1996,7,7,630,7.0,13,1.86,26,13,50.0,3,1,3,1,14.3,0,0,0,0,,Matches
41,Jan Oblak,si SVN,GK,es Atlético Madrid,32-143,1993,10,10,930,10.3,14,1.35,46,32,78.3,7,0,3,2,20.0,5,4,0,1,0.0,Matches
42,Stefan Ortega,de GER,GK,eng Manchester City,32-205,1992,2,2,180,2.0,0,0.00,1,1,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
43,Rui Patrício,pt POR,GK,it Atalanta,37-104,1988,1,1,90,1.0,2,2.00,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
44,Iñaki Peña,es ESP,GK,es Barcelona,26-089,1999,5,5,450,5.0,5,1.00,8,3,50.0,5,0,0,2,40.0,1,1,0,0,0.0,Matches
45,Daniel Peretz,il ISR,GK,de Bayern Munich,24-324,2000,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
46,Mattia Perin,it ITA,GK,it Juventus,32-201,1992,3,2,211,2.3,4,1.71,21,16,85.7,0,0,2,0,0.0,2,1,1,0,50.0,Matches
47,Federico Ravaglia,it ITA,GK,it Bologna,25-200,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
48,David Raya,es ESP,GK,eng Arsenal,29-257,1995,13,13,1170,13.0,9,0.69,39,28,82.1,8,2,3,6,46.2,4,2,2,0,50.0,Matches
49,Dmytro Riznyk,ua UKR,GK,ua Shakhtar,26-120,1999,8,8,720,8.0,16,2.00,52,36,71.2,2,1,5,2,25.0,2,1,1,0,50.0,Matches
50,Matvei Safonov,ru RUS,GK,fr Paris S-G,26-094,1999,2,2,180,2.0,1,0.50,8,7,87.5,1,0,1,1,50.0,0,0,0,0,,Matches
51,Kjell Scherpen,nl NED,GK,at Sturm Graz,25-127,2000,6,6,540,6.0,11,1.83,35,24,68.6,1,0,5,1,16.7,0,0,0,0,,Matches
52,Alexander Schlager,at AUT,GK,at RB Salzburg,29-118,1996,4,4,335,3.7,13,3.49,31,18,61.3,0,0,4,0,0.0,1,1,0,0,0.0,Matches
53,Kasper Schmeichel,dk DEN,GK,sct Celtic,38-206,1986,10,10,900,10.0,17,1.70,54,38,72.2,3,4,3,3,30.0,3,2,0,1,0.0,Matches
54,Rui Silva,pt POR,GK,pt Sporting CP,31-112,1994,2,2,180,2.0,3,1.50,12,8,75.0,0,1,1,1,50.0,1,0,1,0,100.0,Matches
55,Łukasz Skorupski,pl POL,GK,it Bologna,34-025,1991,7,7,630,7.0,8,1.14,29,20,75.9,1,2,4,2,28.6,2,1,1,0,50.0,Matches
56,Yann Sommer,ch SUI,GK,it Inter,36-164,1988,13,13,1200,13.3,11,0.82,58,48,82.8,9,3,1,7,53.8,1,1,0,0,0.0,Matches
57,Wojciech Szczęsny,pl POL,GK,es Barcelona,35-042,1990,8,8,750,8.3,17,2.04,43,27,67.4,4,2,2,2,25.0,3,3,0,0,0.0,Matches
58,Dominik Takáč,sk SVK,GK,sk Slovan Bratislava,26-138,1999,8,8,720,8.0,27,3.38,64,36,59.4,0,0,8,0,0.0,2,1,1,0,50.0,Matches
59,Marc-André ter Stegen,de GER,GK,es Barcelona,33-030,1992,1,1,90,1.0,2,2.00,8,6,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
60,Lorenzo Torriani,it ITA,GK,it Milan,20-119,2005,1,0,40,0.4,1,2.25,4,3,75.0,0,0,0,0,,0,0,0,0,,Matches
61,Anatolii Trubin,ua UKR,GK,pt Benfica,23-302,2001,12,12,1080,12.0,19,1.58,60,41,71.7,5,2,5,4,33.3,2,2,0,0,0.0,Matches
62,Sven Ulreich,de GER,GK,de Bayern Munich,36-300,1988,1,0,45,0.5,2,4.00,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
63,Jonas Urbig,de GER,GK,de Bayern Munich,21-295,2003,4,3,303,3.4,4,1.19,12,8,66.7,1,1,1,2,66.7,0,0,0,0,,Matches
64,Maarten Vandevoordt,be BEL,GK,de RB Leipzig,23-093,2002,2,2,180,2.0,2,1.00,7,5,71.4,1,0,1,0,0.0,0,0,0,0,,Matches
65,Peter Vindahl Jensen,dk DEN,GK,cz Sparta Prague,27-103,1998,8,8,720,8.0,21,2.62,61,41,67.2,1,1,6,1,12.5,1,1,0,0,0.0,Matches
66,Timon Wellenreuther,de GER,GK,nl Feyenoord,29-178,1995,11,10,955,10.6,25,2.36,63,40,63.5,4,2,4,1,10.0,5,2,2,1,50.0,Matches
67,Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,38-112,1987,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,,Matches
