Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
11,Thibaut Courtois,be BEL,GK,es Real Madrid,33-019,1992,12.3,18,2,2,3,0,20.4,0.27,+2.4,+0.20,20,114,17.5,380,59,26.3,30.6,50,28.0,29.6,135,17,12.6,1,0.08,7.3,Matches
12,Michele Di Gregorio,it ITA,GK,it Juventus,27-307,1997,8.0,7,0,0,0,0,9.0,0.33,+2.0,+0.26,31,90,34.4,219,41,27.9,31.7,39,74.4,51.0,92,6,6.5,4,0.52,11.1,Matches
13,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,26-094,1999,14.3,14,0,1,1,1,15.1,0.34,+2.1,+0.15,35,117,29.9,326,52,23.0,28.0,85,49.4,35.4,149,13,8.7,11,0.79,10.4,Matches
14,Joel Drommel,nl NED,GK,nl PSV Eindhoven,28-195,1996,1.0,3,0,0,0,0,3.3,0.56,+0.3,+0.35,7,14,50.0,40,4,32.5,32.5,5,20.0,32.8,11,0,0.0,0,0.00,10.3,Matches
15,Ederson,br BRA,GK,eng Manchester City,31-286,1993,8.0,20,2,0,0,0,16.6,0.33,-3.4,-0.43,18,42,42.9,218,33,15.6,26.8,29,27.6,33.7,55,4,7.3,17,2.13,19.4,Matches
16,Paulo Gazzaniga,ar ARG,GK,es Girona,33-148,1992,7.0,11,1,0,1,4,11.6,0.28,+4.6,+0.66,20,66,30.3,205,24,22.0,29.5,44,47.7,43.0,74,3,4.1,2,0.29,9.3,Matches
17,Omri Glazer,il ISR,GK,rs Red Star,29-080,1996,3.0,9,1,2,3,0,5.2,0.30,-3.8,-1.26,11,22,50.0,70,9,25.7,30.6,20,20.0,26.0,35,1,2.9,0,0.00,8.0,Matches
18,Péter Gulácsi,hu HUN,GK,de RB Leipzig,35-024,1990,6.0,13,0,0,1,1,10.2,0.32,-1.8,-0.31,10,37,27.0,191,31,16.2,25.1,55,10.9,24.1,88,5,5.7,0,0.00,6.6,Matches
19,Ivan Guteša,rs SRB,GK,rs Red Star,23-056,2002,3.0,3,0,0,1,0,4.8,0.34,+1.8,+0.61,20,52,38.5,62,12,50.0,38.5,30,70.0,48.3,38,1,2.6,1,0.33,10.7,Matches
20,Lukáš Hrádecký,fi FIN,GK,de Leverkusen,35-187,1989,4.0,6,0,0,0,0,6.7,0.32,+0.7,+0.19,10,37,27.0,114,15,25.4,28.9,21,38.1,38.0,43,1,2.3,7,1.75,16.2,Matches
21,Marko Ilić,rs SRB,GK,rs Red Star,27-116,1998,2.0,10,0,0,0,0,8.7,0.51,-1.3,-0.65,12,45,26.7,37,6,67.6,45.9,25,80.0,53.2,29,2,6.9,0,0.00,5.7,Matches
22,Franco Israel,uy URU,GK,pt Sporting CP,25-038,2000,8.0,12,1,0,2,1,13.0,0.32,+2.0,+0.25,19,59,32.2,201,30,16.4,26.3,59,44.1,36.7,76,3,3.9,3,0.38,11.7,Matches
23,Caoimhín Kelleher,ie IRL,GK,eng Liverpool,26-188,1998,4.0,3,0,0,0,0,5.9,0.31,+2.9,+0.72,11,33,33.3,134,12,21.6,27.2,18,22.2,32.1,41,2,4.9,7,1.75,19.2,Matches
24,Marvin Keller,ch SUI,GK,ch Young Boys,22-331,2002,4.0,9,0,0,2,2,7.7,0.29,+0.7,+0.18,12,53,22.6,165,19,29.1,31.5,11,45.5,43.5,76,0,0.0,2,0.50,10.2,Matches
25,Daniil Khudiakov,ru RUS,GK,at Sturm Graz,21-141,2004,2.0,3,0,0,0,0,2.7,0.27,-0.3,-0.15,9,39,23.1,61,9,45.9,37.1,11,100.0,63.2,32,4,12.5,1,0.50,12.0,Matches
26,Gregor Kobel,ch SUI,GK,de Dortmund,27-175,1997,13.0,19,0,0,1,1,17.7,0.31,-0.3,-0.03,40,119,33.6,408,59,25.2,28.0,47,34.0,33.3,124,6,4.8,20,1.54,16.1,Matches
27,Philipp Köhn,ch SUI,GK,fr Monaco,27-058,1998,2.0,3,0,0,0,0,1.3,0.33,-1.7,-0.83,3,8,37.5,30,8,23.3,29.9,8,12.5,28.1,17,1,5.9,2,1.00,16.0,Matches
28,Matej Kovar,cz CZE,GK,de Leverkusen,25-013,2000,6.0,6,1,0,0,0,5.4,0.34,-0.6,-0.10,30,60,50.0,163,21,27.0,30.3,29,55.2,43.5,57,5,8.8,3,0.50,14.6,Matches
29,Pau López,es ESP,GK,es Girona,30-168,1994,1.0,2,1,0,0,0,2.0,0.07,0.0,+0.05,2,7,28.6,39,5,17.9,29.7,1,0.0,19.0,22,2,9.1,0,0.00,7.0,Matches
30,Andriy Lunin,ua UKR,GK,es Real Madrid,26-108,1999,2.0,4,1,0,1,0,4.8,0.37,+0.8,+0.40,2,4,50.0,31,11,12.9,23.6,3,0.0,23.3,17,4,23.5,3,1.50,14.6,Matches
31,Mike Maignan,fr FRA,GK,it Milan,29-331,1995,9.6,12,1,0,1,0,10.6,0.21,-1.4,-0.14,26,71,36.6,309,37,16.5,26.2,44,45.5,40.6,96,7,7.3,17,1.78,17.7,Matches
32,Radosław Majecki,pl POL,GK,fr Monaco,25-195,1999,8.0,14,3,0,0,0,17.1,0.33,+3.1,+0.39,15,79,19.0,195,54,23.1,30.5,61,55.7,47.1,88,6,6.8,1,0.13,11.1,Matches
33,Emiliano Martínez,ar ARG,GK,eng Aston Villa,32-270,1992,12.0,12,1,0,2,0,15.9,0.26,+3.9,+0.33,52,126,41.3,426,41,24.2,29.7,41,56.1,46.4,114,13,11.4,8,0.67,12.1,Matches
34,Josep Martinez,es ESP,GK,it Inter,27-003,1998,1.0,0,0,0,0,0,0.2,0.04,+0.2,+0.20,3,6,50.0,45,7,11.1,25.7,3,33.3,37.3,15,1,6.7,0,0.00,8.2,Matches
35,Alexander Meyer,de GER,GK,de Dortmund,34-047,1991,1.0,0,0,0,0,0,0.1,0.07,+0.1,+0.07,3,9,33.3,45,5,15.6,26.1,4,50.0,46.3,9,2,22.2,1,1.00,11.0,Matches
36,Simon Mignolet,be BEL,GK,be Club Brugge,37-085,1988,12.0,19,2,0,1,2,17.8,0.29,+0.8,+0.07,58,129,45.0,406,39,27.6,31.6,50,34.0,33.9,148,12,8.1,8,0.67,11.6,Matches
37,Neto,br BRA,GK,eng Arsenal,35-315,1989,1.0,1,0,0,0,0,0.4,0.12,-0.6,-0.64,4,12,33.3,36,7,30.6,31.6,2,50.0,39.5,8,2,25.0,5,5.00,18.1,Matches
38,Manuel Neuer,de GER,GK,de Bayern Munich,39-064,1986,9.1,11,1,0,1,0,8.7,0.37,-2.3,-0.25,46,89,51.7,367,44,23.2,28.6,25,16.0,30.0,48,1,2.1,28,3.07,24.5,Matches
39,Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,26-303,1998,5.0,15,4,0,2,0,14.9,0.34,-0.1,-0.03,26,78,33.3,132,13,46.2,35.8,34,50.0,40.3,75,1,1.3,0,0.00,7.0,Matches
40,Alexander Nübel,de GER,GK,de Stuttgart,28-242,1996,7.0,13,0,1,2,0,7.9,0.33,-5.1,-0.72,27,70,38.6,264,25,24.2,28.0,17,35.3,31.3,60,5,8.3,3,0.43,13.2,Matches
41,Jan Oblak,si SVN,GK,es Atlético Madrid,32-143,1993,10.3,14,4,0,1,0,14.7,0.26,+0.7,+0.07,27,76,35.5,172,49,27.9,32.2,53,52.8,42.6,108,14,13.0,5,0.50,9.3,Matches
42,Stefan Ortega,de GER,GK,eng Manchester City,32-205,1992,2.0,0,0,0,0,0,0.1,0.09,+0.1,+0.05,0,3,0.0,41,3,7.3,23.2,5,0.0,27.2,9,1,11.1,2,1.00,18.2,Matches
43,Rui Patrício,pt POR,GK,it Atalanta,37-104,1988,1.0,2,1,0,0,0,1.0,0.08,-1.0,-1.02,6,10,60.0,33,6,24.2,31.3,9,22.2,29.1,8,0,0.0,0,0.00,7.0,Matches
44,Iñaki Peña,es ESP,GK,es Barcelona,26-089,1999,5.0,5,1,0,0,0,4.1,0.40,-0.9,-0.19,5,25,20.0,144,14,13.2,24.9,18,33.3,33.8,45,2,4.4,15,3.00,17.0,Matches
45,Daniel Peretz,il ISR,GK,de Bayern Munich,24-324,2000,1.0,1,0,0,0,0,1.1,0.27,+0.1,+0.07,4,7,57.1,26,0,23.1,26.6,5,20.0,25.0,4,0,0.0,0,0.00,13.9,Matches
46,Mattia Perin,it ITA,GK,it Juventus,32-201,1992,2.3,4,1,0,0,0,7.0,0.25,+3.0,+1.27,8,19,42.1,73,17,19.2,28.4,11,45.5,40.7,41,2,4.9,1,0.43,8.3,Matches
47,Federico Ravaglia,it ITA,GK,it Bologna,25-200,1999,1.0,1,0,0,0,0,0.7,0.15,-0.3,-0.26,5,16,31.3,45,6,35.6,33.3,2,0.0,24.0,7,0,0.0,0,0.00,14.0,Matches
48,David Raya,es ESP,GK,eng Arsenal,29-257,1995,13.0,9,2,0,1,0,13.9,0.28,+4.9,+0.38,70,183,38.3,383,50,39.7,34.9,59,52.5,43.0,136,14,10.3,18,1.38,16.6,Matches
49,Dmytro Riznyk,ua UKR,GK,ua Shakhtar,26-120,1999,8.0,16,1,1,1,1,17.2,0.30,+2.2,+0.28,46,131,35.1,311,34,34.1,33.5,54,46.3,40.6,141,16,11.3,4,0.50,9.4,Matches
50,Matvei Safonov,ru RUS,GK,fr Paris S-G,26-094,1999,2.0,1,0,0,1,0,2.0,0.24,+1.0,+0.48,5,28,17.9,50,5,42.0,34.0,10,70.0,48.4,15,2,13.3,4,2.00,11.9,Matches
51,Kjell Scherpen,nl NED,GK,at Sturm Graz,25-127,2000,6.0,11,0,0,1,0,12.6,0.37,+1.6,+0.27,28,93,30.1,161,19,41.6,37.2,40,65.0,49.6,105,8,7.6,4,0.67,9.5,Matches
52,Alexander Schlager,at AUT,GK,at RB Salzburg,29-118,1996,3.7,13,1,1,0,0,10.6,0.31,-2.4,-0.65,14,49,28.6,95,14,44.2,38.5,22,31.8,33.8,57,4,7.0,11,2.96,16.6,Matches
53,Kasper Schmeichel,dk DEN,GK,sct Celtic,38-206,1986,10.0,17,2,0,3,1,17.3,0.30,+1.3,+0.13,24,59,40.7,332,43,13.3,26.0,66,22.7,29.8,156,2,1.3,5,0.50,10.8,Matches
54,Rui Silva,pt POR,GK,pt Sporting CP,31-112,1994,2.0,3,0,0,0,0,4.5,0.30,+1.5,+0.75,3,14,21.4,64,11,12.5,23.6,10,60.0,44.7,40,4,10.0,3,1.50,13.7,Matches
55,Łukasz Skorupski,pl POL,GK,it Bologna,34-025,1991,7.0,8,1,1,1,0,11.4,0.35,+3.4,+0.49,17,56,30.4,215,35,20.5,28.5,25,48.0,37.9,69,7,10.1,10,1.43,12.4,Matches
56,Yann Sommer,ch SUI,GK,it Inter,36-164,1988,13.3,11,1,0,2,1,15.1,0.25,+5.1,+0.39,57,137,41.6,524,57,21.2,27.5,66,39.4,36.4,213,13,6.1,3,0.23,7.9,Matches
57,Wojciech Szczęsny,pl POL,GK,es Barcelona,35-042,1990,8.3,17,3,0,4,1,17.6,0.36,+1.6,+0.20,17,70,24.3,277,37,19.1,28.4,32,53.1,46.2,90,8,8.9,31,3.88,19.6,Matches
58,Dominik Takáč,sk SVK,GK,sk Slovan Bratislava,26-138,1999,8.0,27,1,1,1,0,23.6,0.35,-3.4,-0.43,34,101,33.7,157,39,42.0,35.6,80,43.8,37.6,163,11,6.7,0,0.00,7.4,Matches
59,Marc-André ter Stegen,de GER,GK,es Barcelona,33-030,1992,1.0,2,0,0,0,0,2.1,0.26,+0.1,+0.10,4,13,30.8,50,12,18.0,30.3,6,66.7,48.7,16,4,25.0,9,9.00,17.3,Matches
60,Lorenzo Torriani,it ITA,GK,it Milan,20-119,2005,0.4,1,0,0,0,0,1.4,0.36,+0.4,+0.97,0,2,0.0,12,1,16.7,31.8,3,0.0,20.0,4,0,0.0,0,0.00,6.0,Matches
61,Anatolii Trubin,ua UKR,GK,pt Benfica,23-302,2001,12.0,19,2,0,1,0,14.0,0.23,-5.0,-0.42,21,94,22.3,271,67,26.6,30.9,65,33.8,34.8,173,8,4.6,8,0.67,12.4,Matches
62,Sven Ulreich,de GER,GK,de Bayern Munich,36-300,1988,0.5,2,0,0,0,0,0.8,0.27,-1.2,-2.38,0,0,,14,1,0.0,16.9,0,,,1,0,0.0,2,4.00,24.3,Matches
63,Jonas Urbig,de GER,GK,de Bayern Munich,21-295,2003,3.4,4,0,0,2,0,3.1,0.26,-0.9,-0.28,10,47,21.3,113,8,38.1,37.2,4,100.0,60.8,42,0,0.0,6,1.78,17.0,Matches
64,Maarten Vandevoordt,be BEL,GK,de RB Leipzig,23-093,2002,2.0,2,0,0,1,0,1.5,0.26,-0.5,-0.25,4,14,28.6,53,7,20.8,26.9,12,25.0,33.2,24,1,4.2,5,2.50,21.1,Matches
65,Peter Vindahl Jensen,dk DEN,GK,cz Sparta Prague,27-103,1998,8.0,21,1,1,4,1,17.0,0.26,-3.0,-0.38,42,148,28.4,243,38,44.0,37.9,52,78.8,55.2,120,7,5.8,7,0.88,11.4,Matches
66,Timon Wellenreuther,de GER,GK,nl Feyenoord,29-178,1995,10.6,25,2,0,5,4,23.5,0.33,+2.5,+0.23,39,127,30.7,398,43,28.6,32.2,32,40.6,39.8,134,8,6.0,8,0.75,11.8,Matches
67,Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,38-112,1987,3.0,4,0,0,1,0,4.4,0.39,+0.4,+0.12,18,52,34.6,70,6,42.9,35.7,33,66.7,49.6,56,2,3.6,3,1.00,13.5,Matches
