Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
500,Otávio,pt POR,MF,pt Porto,26,1995,5.0,1,0,0,12,8,0,14,1,9,0,0,0,26,4,8,33.3,Matches
501,Paulo Otávio,br BRA,"DF,MF",de Wolfsburg,26,1994,1.9,0,0,0,2,6,0,7,4,3,0,0,0,16,2,1,66.7,Matches
502,Alex Oxlade-Chamberlain,eng ENG,MF,eng Liverpool,27,1993,3.3,0,0,0,2,2,0,11,4,10,0,0,0,27,0,1,0.0,Matches
503,Magomed Ozdoyev,ru RUS,MF,ru Zenit,28,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
504,Oğuzhan Özyakup,tr TUR,MF,tr Beşiktaş,28,1992,0.6,0,0,0,0,2,0,3,0,1,0,0,0,5,0,1,0.0,Matches
505,João Palhinha,pt POR,MF,pt Sporting CP,26,1995,5.9,2,0,0,23,17,0,3,7,13,0,0,0,43,10,5,66.7,Matches
506,Cole Palmer,eng ENG,"MF,FW",eng Manchester City,19,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
507,Leandro Paredes,ar ARG,MF,fr Paris S-G,27,1994,3.5,3,0,0,7,5,0,0,5,2,0,0,0,24,0,1,0.0,Matches
508,Daniel Parejo,es ESP,MF,es Villarreal,32,1989,11.7,2,0,0,5,17,0,40,9,9,0,0,0,80,5,3,62.5,Matches
509,Mario Pašalić,hr CRO,MF,it Atalanta,26,1995,2.4,1,0,0,2,1,0,1,2,1,0,0,0,11,8,6,57.1,Matches
510,Felix Passlack,de GER,DF,de Dortmund,23,1998,0.7,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,,Matches
511,Remko Pasveer,nl NED,GK,nl Ajax,37,1983,6.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
512,Alan Patrick,br BRA,MF,ua Shakhtar,30,1991,3.0,0,0,0,5,6,0,5,2,1,0,0,0,16,0,2,0.0,Matches
513,Paulinho,pt POR,"FW,MF",pt Sporting CP,28,1992,6.4,2,0,0,5,14,5,3,5,2,1,0,0,17,11,7,61.1,Matches
514,Benjamin Pavard,fr FRA,DF,de Bayern Munich,25,1996,8.5,0,0,0,9,4,2,12,18,8,0,0,0,43,16,5,76.2,Matches
515,Alfonso Pedraza,es ESP,"DF,MF",es Villarreal,25,1996,4.8,1,0,0,5,3,0,20,4,3,0,0,0,26,3,4,42.9,Matches
516,Pedri,es ESP,MF,es Barcelona,18,2002,1.7,0,0,0,2,1,0,1,1,3,0,0,0,8,0,0,,Matches
517,Pedrinho,br BRA,"MF,FW",ua Shakhtar,23,1998,3.8,0,0,0,5,3,0,6,0,2,0,0,0,11,5,2,71.4,Matches
518,Jordan Pefok,us USA,FW,ch Young Boys,25,1996,3.8,0,0,0,7,3,4,0,1,3,0,0,0,10,10,10,50.0,Matches
519,Luca Pellegrini,it ITA,DF,it Juventus,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
520,Carlos de Pena,uy URU,"FW,MF",ua Dynamo Kyiv,29,1992,4.1,0,0,0,0,2,1,12,11,4,0,0,0,22,6,7,46.2,Matches
521,Rubén Peña,es ESP,DF,es Villarreal,30,1991,0.2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
522,Sergio Peña,pe PER,MF,se Malmö,25,1995,3.1,1,0,0,3,3,0,4,8,8,0,0,0,21,0,2,0.0,Matches
523,Pepê,br BRA,"FW,MF",pt Porto,24,1997,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0.0,Matches
524,Pepe,pt POR,DF,pt Porto,38,1983,3.9,1,0,0,3,6,0,2,6,3,0,0,0,36,6,3,66.7,Matches
525,Danilo Pereira,pt POR,"MF,DF",fr Paris S-G,29,1991,4.0,2,0,0,6,3,0,0,4,2,0,1,0,18,5,3,62.5,Matches
526,Mattia Perin,it ITA,GK,it Juventus,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
527,Ivan Perišić,hr CRO,DF,it Inter,32,1989,5.9,0,0,0,6,1,2,40,7,6,0,0,0,30,6,3,66.7,Matches
528,Pavao Pervan,at AUT,GK,de Wolfsburg,33,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
529,Matteo Pessina,it ITA,MF,it Atalanta,24,1997,2.3,0,0,0,2,3,0,3,1,3,0,0,0,20,2,6,25.0,Matches
530,Giuseppe Pezzella,it ITA,DF,it Atalanta,23,1997,0.6,0,0,0,1,2,0,1,0,1,0,0,0,5,0,0,,Matches
531,Maximilian Philipp,de GER,"MF,FW",de Wolfsburg,27,1994,1.0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0.0,Matches
532,Nathaniel Phillips,eng ENG,DF,eng Liverpool,24,1997,1.0,0,0,0,2,0,0,0,1,0,0,0,0,5,4,3,57.1,Matches
533,Kamil Piątkowski,pl POL,DF,at RB Salzburg,21,2000,0.9,0,0,0,1,1,0,0,2,0,0,0,0,3,0,3,0.0,Matches
534,Yeremi Pino,es ESP,"MF,DF",es Villarreal,18,2002,4.7,3,0,0,6,7,0,4,8,2,0,0,0,16,1,9,10.0,Matches
535,Gerard Piqué,es ESP,DF,es Barcelona,34,1987,4.4,2,0,0,8,3,0,0,10,5,0,0,0,33,22,2,91.7,Matches
536,Pizzi,pt POR,"MF,FW",pt Benfica,31,1989,1.8,0,0,0,0,3,3,6,0,0,0,0,0,8,0,1,0.0,Matches
537,Miralem Pjanić,ba BIH,MF,tr Beşiktaş,31,1990,2.9,1,0,0,2,6,0,11,2,0,0,0,0,19,2,2,50.0,Matches
538,Paul Pogba,fr FRA,"MF,FW",eng Manchester Utd,28,1993,3.8,0,0,0,7,7,1,0,1,3,0,0,0,19,8,2,80.0,Matches
539,Marin Pongračić,hr CRO,DF,de Dortmund,23,1997,1.9,0,0,0,1,0,0,0,3,0,0,0,0,8,3,2,60.0,Matches
540,Pedro Porro,es ESP,"DF,MF",pt Sporting CP,21,1999,5.8,2,0,0,6,12,0,25,11,5,0,0,0,35,1,2,33.3,Matches
541,Yussuf Poulsen,dk DEN,FW,de RB Leipzig,27,1994,1.7,1,0,0,4,1,1,0,1,0,0,0,0,5,3,3,50.0,Matches
542,Riqui Puig,es ESP,MF,es Barcelona,21,1999,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
543,Christian Pulisic,us USA,"FW,MF",eng Chelsea,22,1998,4.1,0,0,0,4,4,1,3,1,3,0,0,0,7,2,9,18.2,Matches
544,Andriy Pyatov,ua UKR,GK,ua Shakhtar,37,1984,2.9,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
545,Dani Raba,es ESP,FW,es Villarreal,25,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
546,Adrien Rabiot,fr FRA,MF,it Juventus,26,1995,6.0,2,0,0,6,4,0,5,7,11,0,0,0,44,8,8,50.0,Matches
547,Stjepan Radeljić,ba BIH,"DF,MF",md Sheriff Tiraspol,23,1997,0.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
548,Nemanja Radonjić,rs SRB,MF,pt Benfica,25,1996,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
549,Erdal Rakip,mk MKD,MF,se Malmö,25,1996,3.0,1,0,0,12,6,0,1,0,2,0,0,0,13,2,4,33.3,Matches
550,Ivan Rakitić,hr CRO,MF,es Sevilla,33,1988,3.1,1,0,0,6,3,0,14,5,1,0,0,0,19,5,3,62.5,Matches
551,Yaroslav Rakitskiy,ua UKR,DF,ru Zenit,31,1989,5.5,1,0,0,2,3,0,16,9,2,0,0,0,43,6,3,66.7,Matches
552,Eric Ramírez,ve VEN,FW,ua Dynamo Kyiv,22,1998,0.2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0.0,Matches
553,Gonçalo Ramos,pt POR,"MF,FW",pt Benfica,20,2001,4.1,2,0,0,8,5,0,0,4,2,0,0,0,21,6,9,40.0,Matches
554,Aaron Ramsey,wls WAL,"MF,FW",it Juventus,30,1990,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
555,Andrea Ranocchia,it ITA,DF,it Inter,33,1988,1.1,0,0,0,2,1,0,0,1,0,0,0,0,3,2,3,40.0,Matches
556,Marcus Rashford,eng ENG,"FW,MF",eng Manchester Utd,23,1997,2.8,1,0,0,3,4,3,3,0,6,0,0,0,4,6,3,66.7,Matches
557,Ante Rebić,hr CRO,FW,it Milan,27,1993,1.3,1,0,0,2,0,1,1,0,1,0,0,0,3,2,3,40.0,Matches
558,Reinier,br BRA,"MF,FW",de Dortmund,19,2002,1.4,0,0,0,4,0,1,1,0,1,0,0,0,12,1,3,25.0,Matches
559,Matheus Reis,br BRA,DF,pt Sporting CP,26,1995,6.7,0,0,0,6,8,0,6,10,6,0,0,0,31,3,8,27.3,Matches
560,Karim Rekik,nl NED,DF,es Sevilla,26,1994,1.4,1,0,0,2,3,1,2,1,0,0,0,0,6,4,4,50.0,Matches
561,Devyne Rensch,nl NED,DF,nl Ajax,18,2003,0.8,0,0,0,2,0,0,1,1,2,0,0,0,6,0,1,0.0,Matches
562,Marco Reus,de GER,"FW,MF",de Dortmund,32,1989,5.5,1,0,0,4,3,7,13,2,6,0,0,1,23,1,4,20.0,Matches
563,Rodrigo Ribeiro,pt POR,FW,pt Sporting CP,16,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
564,Federico Ricca,uy URU,DF,be Club Brugge,26,1994,1.8,0,0,0,0,1,0,4,2,1,0,0,0,9,2,4,33.3,Matches
565,Omar Richards,eng ENG,"DF,FW",de Bayern Munich,23,1998,0.6,1,0,0,3,0,0,1,1,4,0,0,0,5,1,0,100.0,Matches
566,Fabian Rieder,ch SUI,"MF,FW",ch Young Boys,19,2002,3.0,0,0,0,6,1,0,10,6,6,0,0,0,23,0,5,0.0,Matches
567,Søren Rieks,dk DEN,"DF,MF",se Malmö,34,1987,2.4,1,0,0,1,1,1,0,1,1,0,0,0,11,0,3,0.0,Matches
568,Mats Rits,be BEL,MF,be Club Brugge,28,1993,4.6,0,0,0,2,4,0,3,6,4,0,0,0,26,2,2,50.0,Matches
569,Sergi Roberto,es ESP,"DF,FW",es Barcelona,29,1992,1.9,0,0,0,0,1,0,6,1,0,0,0,0,8,3,4,42.9,Matches
570,Andrew Robertson,sct SCO,DF,eng Liverpool,27,1994,9.2,1,0,0,5,3,1,58,12,5,0,0,0,62,11,9,55.0,Matches
571,Marc Roca,es ESP,MF,de Bayern Munich,24,1996,0.9,0,0,0,4,0,0,0,1,0,0,0,0,4,1,1,50.0,Matches
572,Rodri,es ESP,MF,eng Manchester City,25,1996,9.3,2,0,0,19,4,0,1,14,17,0,0,0,86,19,4,82.6,Matches
573,Óscar Rodríguez Arnaiz,es ESP,FW,es Sevilla,23,1998,0.3,0,0,0,0,1,0,3,0,0,0,0,0,3,1,0,100.0,Matches
574,Rodrygo,br BRA,"FW,MF",es Real Madrid,20,2001,5.6,1,0,0,5,10,1,11,11,6,0,0,0,30,2,13,13.3,Matches
575,Alessio Romagnoli,it ITA,DF,it Milan,26,1995,4.4,0,0,0,4,0,0,1,9,5,0,0,0,17,12,2,85.7,Matches
576,Iván Romero,es ESP,MF,es Sevilla,20,2001,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,Matches
577,Cristiano Ronaldo,pt POR,FW,eng Manchester Utd,36,1985,6.8,1,0,0,4,11,2,3,0,1,0,0,0,17,8,17,32.0,Matches
578,Marten de Roon,nl NED,"MF,DF",it Atalanta,30,1991,5.4,2,0,0,10,1,0,1,15,9,0,0,0,31,7,9,43.8,Matches
579,Valentin Rosier,fr FRA,DF,tr Beşiktaş,24,1996,4.5,0,0,0,4,3,0,14,9,6,0,0,0,26,3,2,60.0,Matches
580,Jérôme Roussillon,fr FRA,DF,de Wolfsburg,28,1993,4.0,2,0,0,4,2,0,6,3,3,0,0,0,27,5,2,71.4,Matches
581,Antonio Rüdiger,de GER,DF,eng Chelsea,28,1993,9.3,2,0,0,11,3,0,1,6,9,1,0,0,48,15,12,55.6,Matches
582,Daniele Rugani,it ITA,DF,it Juventus,27,1994,2.0,0,0,0,3,1,0,0,1,3,0,1,0,11,4,0,100.0,Matches
583,Gerónimo Rulli,ar ARG,GK,es Villarreal,29,1992,12.0,2,0,0,0,3,0,0,0,0,0,0,0,12,2,0,100.0,Matches
584,Serdar Saatçı,tr TUR,DF,tr Beşiktaş,18,2003,1.0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,0,100.0,Matches
585,Marcel Sabitzer,at AUT,MF,de Bayern Munich,27,1994,1.5,1,0,0,3,0,1,2,2,0,0,0,0,5,1,2,33.3,Matches
586,Alexis Saelemaekers,be BEL,FW,it Milan,22,1999,4.9,1,0,0,7,7,0,6,5,5,0,0,0,33,5,4,55.6,Matches
