Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
513,Paulinho,pt POR,"FW,MF",pt Sporting CP,28,1992,6.4,19,2.95,12,0,2,3,1,1,2,0.31,2,0,0,0,0,0,Matches
514,Benjamin Pavard,fr FRA,DF,de Bayern Munich,25,1996,8.5,16,1.89,14,1,0,1,0,0,3,0.35,2,0,0,1,0,0,Matches
515,Alfonso Pedraza,es ESP,"DF,MF",es Villarreal,25,1996,4.8,12,2.49,8,1,1,0,1,1,2,0.42,2,0,0,0,0,0,Matches
516,Pedri,es ESP,MF,es Barcelona,18,2002,1.7,3,1.72,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
517,Pedrinho,br BRA,"MF,FW",ua Shakhtar,23,1998,3.8,16,4.21,12,0,2,2,0,0,0,0.00,0,0,0,0,0,0,Matches
518,Jordan Pefok,us USA,FW,ch Young Boys,25,1996,3.8,5,1.33,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
519,Luca Pellegrini,it ITA,DF,it Juventus,22,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
520,Carlos de Pena,uy URU,"FW,MF",ua Dynamo Kyiv,29,1992,4.1,5,1.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
521,Rubén Peña,es ESP,DF,es Villarreal,30,1991,0.2,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
522,Sergio Peña,pe PER,MF,se Malmö,25,1995,3.1,4,1.28,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
523,Pepê,br BRA,"FW,MF",pt Porto,24,1997,0.4,2,5.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
524,Pepe,pt POR,DF,pt Porto,38,1983,3.9,3,0.78,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
525,Danilo Pereira,pt POR,"MF,DF",fr Paris S-G,29,1991,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
526,Mattia Perin,it ITA,GK,it Juventus,28,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
527,Ivan Perišić,hr CRO,DF,it Inter,32,1989,5.9,26,4.42,22,0,3,1,0,0,1,0.17,1,0,0,0,0,0,Matches
528,Pavao Pervan,at AUT,GK,de Wolfsburg,33,1987,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
529,Matteo Pessina,it ITA,MF,it Atalanta,24,1997,2.3,6,2.57,6,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
530,Giuseppe Pezzella,it ITA,DF,it Atalanta,23,1997,0.6,1,1.58,0,0,0,0,1,0,1,1.58,0,0,0,0,1,0,Matches
531,Maximilian Philipp,de GER,"MF,FW",de Wolfsburg,27,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
532,Nathaniel Phillips,eng ENG,DF,eng Liverpool,24,1997,1.0,2,1.98,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
533,Kamil Piątkowski,pl POL,DF,at RB Salzburg,21,2000,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
534,Yeremi Pino,es ESP,"MF,DF",es Villarreal,18,2002,4.7,12,2.54,7,0,4,0,1,0,1,0.21,0,0,0,0,1,0,Matches
535,Gerard Piqué,es ESP,DF,es Barcelona,34,1987,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
536,Pizzi,pt POR,"MF,FW",pt Benfica,31,1989,1.8,6,3.40,2,2,0,2,0,0,1,0.57,1,0,0,0,0,0,Matches
537,Miralem Pjanić,ba BIH,MF,tr Beşiktaş,31,1990,2.9,18,6.23,10,8,0,0,0,0,2,0.69,0,2,0,0,0,0,Matches
538,Paul Pogba,fr FRA,"MF,FW",eng Manchester Utd,28,1993,3.8,7,1.82,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
539,Marin Pongračić,hr CRO,DF,de Dortmund,23,1997,1.9,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
540,Pedro Porro,es ESP,"DF,MF",pt Sporting CP,21,1999,5.8,9,1.55,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
541,Yussuf Poulsen,dk DEN,FW,de RB Leipzig,27,1994,1.7,4,2.43,2,0,0,1,1,0,1,0.61,1,0,0,0,0,0,Matches
542,Riqui Puig,es ESP,MF,es Barcelona,21,1999,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
543,Christian Pulisic,us USA,"FW,MF",eng Chelsea,22,1998,4.1,9,2.40,8,0,0,0,1,0,1,0.27,1,0,0,0,0,0,Matches
544,Andriy Pyatov,ua UKR,GK,ua Shakhtar,37,1984,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
545,Dani Raba,es ESP,FW,es Villarreal,25,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
546,Adrien Rabiot,fr FRA,MF,it Juventus,26,1995,6.0,10,1.68,9,0,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
547,Stjepan Radeljić,ba BIH,"DF,MF",md Sheriff Tiraspol,23,1997,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
548,Nemanja Radonjić,rs SRB,MF,pt Benfica,25,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
549,Erdal Rakip,mk MKD,MF,se Malmö,25,1996,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
550,Ivan Rakitić,hr CRO,MF,es Sevilla,33,1988,3.1,13,4.24,7,4,0,2,0,0,1,0.33,1,0,0,0,0,0,Matches
551,Yaroslav Rakitskiy,ua UKR,DF,ru Zenit,31,1989,5.5,14,2.55,10,2,1,0,1,0,3,0.55,2,0,1,0,0,0,Matches
552,Eric Ramírez,ve VEN,FW,ua Dynamo Kyiv,22,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
553,Gonçalo Ramos,pt POR,"MF,FW",pt Benfica,20,2001,4.1,8,1.94,3,0,1,2,2,0,2,0.49,0,0,0,1,1,0,Matches
554,Aaron Ramsey,wls WAL,"MF,FW",it Juventus,30,1990,0.2,1,5.63,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
555,Andrea Ranocchia,it ITA,DF,it Inter,33,1988,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
556,Marcus Rashford,eng ENG,"FW,MF",eng Manchester Utd,23,1997,2.8,9,3.15,5,0,0,2,2,0,1,0.35,1,0,0,0,0,0,Matches
557,Ante Rebić,hr CRO,FW,it Milan,27,1993,1.3,2,1.57,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
558,Reinier,br BRA,"MF,FW",de Dortmund,19,2002,1.4,8,5.71,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
559,Matheus Reis,br BRA,DF,pt Sporting CP,26,1995,6.7,3,0.44,2,1,0,0,0,0,1,0.15,0,1,0,0,0,0,Matches
560,Karim Rekik,nl NED,DF,es Sevilla,26,1994,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
561,Devyne Rensch,nl NED,DF,nl Ajax,18,2003,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
562,Marco Reus,de GER,"FW,MF",de Dortmund,32,1989,5.5,12,2.17,9,0,2,1,0,0,3,0.54,0,0,2,1,0,0,Matches
563,Rodrigo Ribeiro,pt POR,FW,pt Sporting CP,16,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
564,Federico Ricca,uy URU,DF,be Club Brugge,26,1994,1.8,2,1.09,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
565,Omar Richards,eng ENG,"DF,FW",de Bayern Munich,23,1998,0.6,4,6.67,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
566,Fabian Rieder,ch SUI,"MF,FW",ch Young Boys,19,2002,3.0,5,1.65,4,0,0,0,0,1,2,0.66,1,0,0,0,0,1,Matches
567,Søren Rieks,dk DEN,"DF,MF",se Malmö,34,1987,2.4,2,0.82,2,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
568,Mats Rits,be BEL,MF,be Club Brugge,28,1993,4.6,5,1.09,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
569,Sergi Roberto,es ESP,"DF,FW",es Barcelona,29,1992,1.9,2,1.07,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
570,Andrew Robertson,sct SCO,DF,eng Liverpool,27,1994,9.2,39,4.25,25,11,0,1,1,1,3,0.33,1,2,0,0,0,0,Matches
571,Marc Roca,es ESP,MF,de Bayern Munich,24,1996,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
572,Rodri,es ESP,MF,eng Manchester City,25,1996,9.3,23,2.47,22,0,0,1,0,0,5,0.54,5,0,0,0,0,0,Matches
573,Óscar Rodríguez Arnaiz,es ESP,FW,es Sevilla,23,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
574,Rodrygo,br BRA,"FW,MF",es Real Madrid,20,2001,5.6,22,4.44,17,0,1,3,1,0,3,0.61,3,0,0,0,0,0,Matches
575,Alessio Romagnoli,it ITA,DF,it Milan,26,1995,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
576,Iván Romero,es ESP,MF,es Sevilla,20,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
577,Cristiano Ronaldo,pt POR,FW,eng Manchester Utd,36,1985,6.8,20,2.95,16,1,1,1,1,0,2,0.30,2,0,0,0,0,0,Matches
578,Marten de Roon,nl NED,"MF,DF",it Atalanta,30,1991,5.4,11,2.05,7,1,0,1,0,2,2,0.37,2,0,0,0,0,0,Matches
579,Valentin Rosier,fr FRA,DF,tr Beşiktaş,24,1996,4.5,2,0.44,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
