Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
29,Mikael Anderson,is ISL,"MF,FW",dk Midtjylland,22,1998,1.9,6,3,3,3,0,0,2,0.0,2,1,0,1,2,8,3,0,Matches
30,Joel Andersson,se SWE,DF,dk Midtjylland,23,1996,4.4,7,6,4,3,0,3,6,50.0,3,4,0,4,9,16,6,0,Matches
31,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26,1994,1.4,3,1,2,1,0,0,2,0.0,2,1,0,1,2,5,3,0,Matches
32,Angeliño,es ESP,"DF,FW",de RB Leipzig,23,1997,7.0,15,7,7,7,1,7,10,70.0,3,8,0,8,2,17,6,0,Matches
33,Faustino Anjorin,eng ENG,FW,eng Chelsea,18,2001,0.9,4,3,0,2,2,1,1,100.0,0,1,0,1,0,4,0,0,Matches
34,Marcos Antônio,br BRA,MF,ua Shakhtar,20,2000,2.7,2,1,1,1,0,2,3,66.7,1,5,1,4,2,4,1,0,Matches
35,Antony,br BRA,FW,nl Ajax,20,2000,4.0,7,3,4,3,0,0,9,0.0,9,7,1,6,3,10,2,0,Matches
36,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,33,1987,4.7,1,0,0,1,0,1,3,33.3,2,1,1,0,1,2,4,0,Matches
37,Ronald Araújo,uy URU,DF,es Barcelona,21,1999,1.6,6,3,4,2,0,3,4,75.0,1,2,0,2,2,8,2,0,Matches
38,Ari,ru RUS,FW,ru Krasnodar,34,1985,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
39,Bright Arrey-Mbi,de GER,DF,de Bayern Munich,17,2003,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
40,Sergio Arribas,es ESP,FW,es Real Madrid,18,2001,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
41,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,25,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
42,Marco Asensio,es ESP,FW,es Real Madrid,24,1996,6.9,6,6,2,1,3,3,7,42.9,4,5,0,5,4,10,0,0,Matches
