Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
12.0,Sat,2016-11-26,15:30 (16:30),Gladbach,1–1,Hoffenheim,51086.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
12.0,Sat,2016-11-26,15:30 (16:30),Köln,0–0,Augsburg,50000.0,RheinEnergieSTADION,Markus Schmidt,Match Report,
12.0,Sat,2016-11-26,15:30 (16:30),Ingolstadt 04,1–1,Wolfsburg,13521.0,Audi-Sportpark,Daniel Siebert,Match Report,
12.0,Sat,2016-11-26,15:30 (16:30),Eint Frankfurt,2–1,Dortmund,51500.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
12.0,Sat,2016-11-26,15:30 (16:30),Hamburger SV,2–2,Werder Bremen,55237.0,Volksparkstadion,Felix Brych,Match Report,
12.0,Sat,2016-11-26,18:30 (19:30),Bayern Munich,2–1,Leverkusen,75000.0,Allianz Arena,Marco Fritz,Match Report,
12.0,Sun,2016-11-27,15:30 (16:30),Schalke 04,3–1,Darmstadt 98,58703.0,Veltins-Arena,Frank Willenborg,Match Report,
12.0,Sun,2016-11-27,17:30 (18:30),Hertha BSC,2–1,Mainz 05,37852.0,Olympiastadion Berlin,Guido Winkmann,Match Report,
,,,,,,,,,,,
13.0,Fri,2016-12-02,20:30 (21:30),Mainz 05,1–3,Bayern Munich,34000.0,Opel Arena,Daniel Siebert,Match Report,
13.0,Sat,2016-12-03,15:30 (16:30),Leverkusen,1–1,Freiburg,27111.0,BayArena,Benjamin Cortus,Match Report,
13.0,Sat,2016-12-03,15:30 (16:30),Werder Bremen,2–1,Ingolstadt 04,38438.0,Weserstadion,Tobias Stieler,Match Report,
13.0,Sat,2016-12-03,15:30 (16:30),Wolfsburg,2–3,Hertha BSC,25317.0,Volkswagen Arena,Jochen Drees,Match Report,
13.0,Sat,2016-12-03,15:30 (16:30),Dortmund,4–1,Gladbach,81360.0,Signal Iduna Park,Marco Fritz,Match Report,
13.0,Sat,2016-12-03,15:30 (16:30),Hoffenheim,4–0,Köln,29740.0,Wirsol Rhein-Neckar-Arena,Günter Perl,Match Report,
13.0,Sat,2016-12-03,18:30 (19:30),RB Leipzig,2–1,Schalke 04,42558.0,Red Bull Arena,Bastian Dankert,Match Report,
13.0,Sun,2016-12-04,15:30 (16:30),Darmstadt 98,0–2,Hamburger SV,17400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Guido Winkmann,Match Report,
13.0,Sun,2016-12-04,17:30 (18:30),Augsburg,1–1,Eint Frankfurt,26549.0,WWK Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,
14.0,Fri,2016-12-09,20:30 (21:30),Eint Frankfurt,0–0,Hoffenheim,47000.0,Commerzbank-Arena,Christian Dingert,Match Report,
14.0,Sat,2016-12-10,15:30 (16:30),Ingolstadt 04,1–0,RB Leipzig,15200.0,Audi-Sportpark,Markus Schmidt,Match Report,
14.0,Sat,2016-12-10,15:30 (16:30),Köln,1–1,Dortmund,50000.0,RheinEnergieSTADION,Felix Zwayer,Match Report,
14.0,Sat,2016-12-10,15:30 (16:30),Bayern Munich,5–0,Wolfsburg,75000.0,Allianz Arena,Sascha Stegemann,Match Report,
14.0,Sat,2016-12-10,15:30 (16:30),Hamburger SV,1–0,Augsburg,45793.0,Volksparkstadion,Daniel Siebert,Match Report,
14.0,Sat,2016-12-10,15:30 (16:30),Freiburg,1–0,Darmstadt 98,24000.0,Schwarzwald-Stadion,Wolfgang Stark,Match Report,
14.0,Sat,2016-12-10,18:30 (19:30),Hertha BSC,0–1,Werder Bremen,51337.0,Olympiastadion Berlin,Harm Osmers,Match Report,
14.0,Sun,2016-12-11,15:30 (16:30),Gladbach,1–0,Mainz 05,48037.0,Stadion im Borussia-Park,Robert Hartmann,Match Report,
14.0,Sun,2016-12-11,17:30 (18:30),Schalke 04,0–1,Leverkusen,60821.0,Veltins-Arena,Deniz Aytekin,Match Report,
,,,,,,,,,,,
15.0,Fri,2016-12-16,20:30 (21:30),Hoffenheim,2–2,Dortmund,30150.0,Wirsol Rhein-Neckar-Arena,Benjamin Brand,Match Report,
