Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
10.0,Sun,2015-10-25,17:30 (18:30),Gladbach,3–1,Schalke 04,54010.0,Stadion im Borussia-Park,Wolfgang Stark,Match Report,
,,,,,,,,,,,
11.0,Fri,2015-10-30,20:30 (21:30),Eint Frankfurt,0–0,Bayern Munich,51500.0,Commerzbank-Arena,Daniel Siebert,Match Report,
11.0,Sat,2015-10-31,15:30 (16:30),Schalke 04,1–1,Ingolstadt 04,60144.0,Veltins-Arena,Florian Meyer,Match Report,
11.0,Sat,2015-10-31,15:30 (16:30),Hertha BSC,1–4,Gladbach,58566.0,Olympiastadion Berlin,Peter Sippel,Match Report,
11.0,Sat,2015-10-31,15:30 (16:30),Augsburg,3–3,Mainz 05,27200.0,WWK Arena,Marco Fritz,Match Report,
11.0,Sat,2015-10-31,15:30 (16:30),Köln,0–0,Hoffenheim,48000.0,RheinEnergieSTADION,Günter Perl,Match Report,
11.0,Sat,2015-10-31,15:30 (16:30),Werder Bremen,1–3,Dortmund,42100.0,Weserstadion,Tobias Welz,Match Report,
11.0,Sat,2015-10-31,18:30 (19:30),Wolfsburg,2–1,Leverkusen,28766.0,Volkswagen Arena,Manuel Gräfe,Match Report,
11.0,Sun,2015-11-01,15:30 (16:30),Stuttgart,2–0,Darmstadt 98,55200.0,Mercedes-Benz Arena,Robert Hartmann,Match Report,
11.0,Sun,2015-11-01,17:30 (18:30),Hamburger SV,1–2,Hannover 96,54607.0,Volksparkstadion,Sascha Stegemann,Match Report,
,,,,,,,,,,,
12.0,Fri,2015-11-06,20:30 (21:30),Hannover 96,1–3,Hertha BSC,40200.0,HDI-Arena,Christian Dingert,Match Report,
12.0,Sat,2015-11-07,15:30 (16:30),Gladbach,0–0,Ingolstadt 04,52331.0,Stadion im Borussia-Park,Marco Fritz,Match Report,
12.0,Sat,2015-11-07,15:30 (16:30),Leverkusen,1–2,Köln,30210.0,BayArena,Felix Zwayer,Match Report,
12.0,Sat,2015-11-07,15:30 (16:30),Mainz 05,2–0,Wolfsburg,26331.0,Opel Arena,Daniel Siebert,Match Report,
12.0,Sat,2015-11-07,15:30 (16:30),Hoffenheim,0–0,Eint Frankfurt,30150.0,PreZero Arena,Knut Kircher,Match Report,
12.0,Sat,2015-11-07,15:30 (16:30),Bayern Munich,4–0,Stuttgart,75000.0,Allianz Arena,Bastian Dankert,Match Report,
12.0,Sat,2015-11-07,18:30 (19:30),Darmstadt 98,1–1,Hamburger SV,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Wolfgang Stark,Match Report,
12.0,Sun,2015-11-08,15:30 (16:30),Dortmund,3–2,Schalke 04,79956.0,Signal Iduna Park,Felix Brych,Match Report,
12.0,Sun,2015-11-08,17:30 (18:30),Augsburg,1–2,Werder Bremen,28122.0,WWK Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,
13.0,Fri,2015-11-20,20:30 (21:30),Hamburger SV,3–1,Dortmund,57000.0,Volksparkstadion,Felix Zwayer,Match Report,
13.0,Sat,2015-11-21,15:30 (16:30),Stuttgart,0–4,Augsburg,54925.0,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
13.0,Sat,2015-11-21,15:30 (16:30),Eint Frankfurt,1–3,Leverkusen,47500.0,Commerzbank-Arena,Deniz Aytekin,Match Report,
13.0,Sat,2015-11-21,15:30 (16:30),Gladbach,2–1,Hannover 96,52214.0,Stadion im Borussia-Park,Felix Brych,Match Report,
13.0,Sat,2015-11-21,15:30 (16:30),Wolfsburg,6–0,Werder Bremen,30000.0,Volkswagen Arena,Peter Sippel,Match Report,
13.0,Sat,2015-11-21,15:30 (16:30),Köln,0–0,Mainz 05,46700.0,RheinEnergieSTADION,Wolfgang Stark,Match Report,
13.0,Sat,2015-11-21,18:30 (19:30),Schalke 04,1–3,Bayern Munich,62271.0,Veltins-Arena,Tobias Stieler,Match Report,
13.0,Sun,2015-11-22,15:30 (16:30),Hertha BSC,1–0,Hoffenheim,37045.0,Olympiastadion Berlin,Guido Winkmann,Match Report,
13.0,Sun,2015-11-22,17:30 (18:30),Ingolstadt 04,3–1,Darmstadt 98,14551.0,Audi-Sportpark,Knut Kircher,Match Report,
,,,,,,,,,,,
14.0,Fri,2015-11-27,20:30 (21:30),Darmstadt 98,0–0,Köln,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Deniz Aytekin,Match Report,
14.0,Sat,2015-11-28,15:30 (16:30),Mainz 05,2–1,Eint Frankfurt,33098.0,Opel Arena,Bastian Dankert,Match Report,
14.0,Sat,2015-11-28,15:30 (16:30),Hoffenheim,3–3,Gladbach,30150.0,PreZero Arena,Michael Weiner,Match Report,
14.0,Sat,2015-11-28,15:30 (16:30),Hannover 96,4–0,Ingolstadt 04,35000.0,HDI-Arena,Tobias Stieler,Match Report,
14.0,Sat,2015-11-28,15:30 (16:30),Werder Bremen,1–3,Hamburger SV,42100.0,Weserstadion,Knut Kircher,Match Report,
14.0,Sat,2015-11-28,15:30 (16:30),Bayern Munich,2–0,Hertha BSC,75000.0,Allianz Arena,Jochen Drees,Match Report,
14.0,Sun,2015-11-29,15:30 (16:30),Dortmund,4–1,Stuttgart,81359.0,Signal Iduna Park,Manuel Gräfe,Match Report,
14.0,Sun,2015-11-29,17:30 (18:30),Leverkusen,1–1,Schalke 04,30210.0,BayArena,Marco Fritz,Match Report,
14.0,Sun,2015-11-29,17:30 (18:30),Augsburg,0–0,Wolfsburg,27081.0,WWK Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
15.0,Fri,2015-12-04,20:30 (21:30),Schalke 04,3–1,Hannover 96,61229.0,Veltins-Arena,Wolfgang Stark,Match Report,
15.0,Sat,2015-12-05,15:30 (16:30),Hertha BSC,2–1,Leverkusen,41819.0,Olympiastadion Berlin,Robert Hartmann,Match Report,
15.0,Sat,2015-12-05,15:30 (16:30),Ingolstadt 04,1–1,Hoffenheim,14255.0,Audi-Sportpark,Manuel Gräfe,Match Report,
15.0,Sat,2015-12-05,15:30 (16:30),Köln,0–1,Augsburg,45500.0,RheinEnergieSTADION,Daniel Siebert,Match Report,
15.0,Sat,2015-12-05,15:30 (16:30),Hamburger SV,1–3,Mainz 05,51698.0,Volksparkstadion,Benjamin Brand,Match Report,
15.0,Sat,2015-12-05,15:30 (16:30),Gladbach,3–1,Bayern Munich,54010.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,
15.0,Sat,2015-12-05,18:30 (19:30),Wolfsburg,1–2,Dortmund,30000.0,Volkswagen Arena,Tobias Stieler,Match Report,
15.0,Sun,2015-12-06,15:30 (16:30),Stuttgart,1–1,Werder Bremen,46590.0,Mercedes-Benz Arena,Florian Meyer,Match Report,
15.0,Sun,2015-12-06,17:30 (18:30),Eint Frankfurt,0–1,Darmstadt 98,51500.0,Commerzbank-Arena,Felix Brych,Match Report,
,,,,,,,,,,,
16.0,Fri,2015-12-11,20:30 (21:30),Mainz 05,0–0,Stuttgart,29104.0,Opel Arena,Felix Zwayer,Match Report,
16.0,Sat,2015-12-12,15:30 (16:30),Wolfsburg,1–1,Hamburger SV,30000.0,Volkswagen Arena,Wolfgang Stark,Match Report,
16.0,Sat,2015-12-12,15:30 (16:30),Werder Bremen,1–1,Köln,40727.0,Weserstadion,Guido Winkmann,Match Report,
16.0,Sat,2015-12-12,15:30 (16:30),Darmstadt 98,0–4,Hertha BSC,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Günter Perl,Match Report,
16.0,Sat,2015-12-12,15:30 (16:30),Hoffenheim,1–0,Hannover 96,25531.0,PreZero Arena,Jochen Drees,Match Report,
16.0,Sat,2015-12-12,15:30 (16:30),Bayern Munich,2–0,Ingolstadt 04,75000.0,Allianz Arena,Michael Weiner,Match Report,
16.0,Sat,2015-12-12,18:30 (19:30),Leverkusen,5–0,Gladbach,30210.0,BayArena,Tobias Stieler,Match Report,
16.0,Sun,2015-12-13,15:30 (16:30),Augsburg,2–1,Schalke 04,28410.0,WWK Arena,Florian Meyer,Match Report,
16.0,Sun,2015-12-13,17:30 (18:30),Dortmund,4–1,Eint Frankfurt,81359.0,Signal Iduna Park,Christian Dingert,Match Report,
,,,,,,,,,,,
17.0,Fri,2015-12-18,20:30 (21:30),Schalke 04,1–0,Hoffenheim,60749.0,Veltins-Arena,Sascha Stegemann,Match Report,
17.0,Sat,2015-12-19,15:30 (16:30),Köln,2–1,Dortmund,50000.0,RheinEnergieSTADION,Knut Kircher,Match Report,
17.0,Sat,2015-12-19,15:30 (16:30),Eint Frankfurt,2–1,Werder Bremen,46000.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
17.0,Sat,2015-12-19,15:30 (16:30),Ingolstadt 04,0–1,Leverkusen,15000.0,Audi-Sportpark,Felix Zwayer,Match Report,
17.0,Sat,2015-12-19,15:30 (16:30),Hamburger SV,0–1,Augsburg,49726.0,Volksparkstadion,Bastian Dankert,Match Report,
17.0,Sat,2015-12-19,15:30 (16:30),Hannover 96,0–1,Bayern Munich,49000.0,HDI-Arena,Manuel Gräfe,Match Report,
17.0,Sat,2015-12-19,18:30 (19:30),Stuttgart,3–1,Wolfsburg,47343.0,Mercedes-Benz Arena,Felix Brych,Match Report,
17.0,Sun,2015-12-20,15:30 (16:30),Hertha BSC,2–0,Mainz 05,39835.0,Olympiastadion Berlin,Peter Sippel,Match Report,
17.0,Sun,2015-12-20,17:30 (18:30),Gladbach,3–2,Darmstadt 98,53610.0,Stadion im Borussia-Park,Benjamin Brand,Match Report,
,,,,,,,,,,,
18.0,Fri,2016-01-22,20:30 (21:30),Hamburger SV,1–2,Bayern Munich,57000.0,Volksparkstadion,Felix Zwayer,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Hoffenheim,1–1,Leverkusen,24140.0,PreZero Arena,Marco Fritz,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Ingolstadt 04,1–0,Mainz 05,13500.0,Audi-Sportpark,Florian Meyer,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Köln,1–3,Stuttgart,50000.0,RheinEnergieSTADION,Manuel Gräfe,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Hertha BSC,0–0,Augsburg,35196.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Hannover 96,1–2,Darmstadt 98,35600.0,HDI-Arena,Deniz Aytekin,Match Report,
18.0,Sat,2016-01-23,18:30 (19:30),Gladbach,1–3,Dortmund,54010.0,Stadion im Borussia-Park,Felix Brych,Match Report,
18.0,Sun,2016-01-24,15:30 (16:30),Eint Frankfurt,3–2,Wolfsburg,35000.0,Commerzbank-Arena,Knut Kircher,Match Report,
18.0,Sun,2016-01-24,17:30 (18:30),Schalke 04,1–3,Werder Bremen,62271.0,Veltins-Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
19.0,Fri,2016-01-29,20:30 (21:30),Mainz 05,1–0,Gladbach,32015.0,Opel Arena,Benjamin Brand,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Werder Bremen,3–3,Hertha BSC,40141.0,Weserstadion,Bastian Dankert,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Augsburg,0–0,Eint Frankfurt,28653.0,WWK Arena,Sascha Stegemann,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Dortmund,2–0,Ingolstadt 04,81359.0,Signal Iduna Park,Guido Winkmann,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Darmstadt 98,0–2,Schalke 04,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Daniel Siebert,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Leverkusen,3–0,Hannover 96,28790.0,BayArena,Tobias Welz,Match Report,
19.0,Sat,2016-01-30,18:30 (19:30),Stuttgart,2–1,Hamburger SV,46600.0,Mercedes-Benz Arena,Günter Perl,Match Report,
19.0,Sun,2016-01-31,15:30 (16:30),Wolfsburg,1–1,Köln,29156.0,Volkswagen Arena,Wolfgang Stark,Match Report,
19.0,Sun,2016-01-31,17:30 (18:30),Bayern Munich,2–0,Hoffenheim,75000.0,Allianz Arena,Jochen Drees,Match Report,
,,,,,,,,,,,
20.0,Fri,2016-02-05,20:30 (21:30),Gladbach,5–1,Werder Bremen,51569.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Schalke 04,3–0,Wolfsburg,61483.0,Veltins-Arena,Tobias Welz,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Ingolstadt 04,2–1,Augsburg,15356.0,Audi-Sportpark,Michael Weiner,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Hannover 96,0–1,Mainz 05,35596.0,HDI-Arena,Robert Hartmann,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Hertha BSC,0–0,Dortmund,74244.0,Olympiastadion Berlin,Marco Fritz,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Eint Frankfurt,2–4,Stuttgart,42000.0,Commerzbank-Arena,Peter Sippel,Match Report,
20.0,Sat,2016-02-06,18:30 (19:30),Leverkusen,0–0,Bayern Munich,30210.0,BayArena,Knut Kircher,Match Report,
20.0,Sun,2016-02-07,15:30 (16:30),Hamburger SV,1–1,Köln,51999.0,Volksparkstadion,Felix Brych,Match Report,
20.0,Sun,2016-02-07,17:30 (18:30),Hoffenheim,0–2,Darmstadt 98,26231.0,PreZero Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
21.0,Fri,2016-02-12,20:30 (21:30),Mainz 05,2–1,Schalke 04,32107.0,Opel Arena,Manuel Gräfe,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Werder Bremen,1–1,Hoffenheim,38454.0,Weserstadion,Benjamin Brand,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Stuttgart,2–0,Hertha BSC,45465.0,Mercedes-Benz Arena,Christian Dingert,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Darmstadt 98,1–2,Leverkusen,16800.0,Jonathan-Heimes-Stadion am Böllenfalltor,Jochen Drees,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Dortmund,1–0,Hannover 96,80900.0,Signal Iduna Park,Günter Perl,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Wolfsburg,2–0,Ingolstadt 04,26884.0,Volkswagen Arena,Patrick Ittrich,Match Report,
21.0,Sat,2016-02-13,18:30 (19:30),Köln,3–1,Eint Frankfurt,49200.0,RheinEnergieSTADION,Felix Zwayer,Match Report,
21.0,Sun,2016-02-14,15:30 (16:30),Hamburger SV,3–2,Gladbach,56706.0,Volksparkstadion,Deniz Aytekin,Match Report,
21.0,Sun,2016-02-14,17:30 (18:30),Augsburg,1–3,Bayern Munich,30660.0,WWK Arena,Florian Meyer,Match Report,
,,,,,,,,,,,
22.0,Fri,2016-02-19,20:30 (21:30),Eint Frankfurt,0–0,Hamburger SV,47200.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Bayern Munich,3–1,Darmstadt 98,75000.0,Allianz Arena,Michael Weiner,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Ingolstadt 04,2–0,Werder Bremen,15000.0,Audi-Sportpark,Tobias Welz,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Hoffenheim,3–2,Mainz 05,24019.0,PreZero Arena,Günter Perl,Match Report,
