Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
117,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,25,1990,37,37,3330,37.0,46,1.24,141,95,70.9,19,4,13,12,32.4,6,5,1,0,16.7,Matches
118,Diego López,es ESP,GK,Espanyol,es La Liga,34,1981,35,35,3113,34.6,38,1.10,153,117,76.5,15,9,11,11,31.4,2,2,0,0,0.0,Matches
119,Jonas Lössl,dk DEN,GK,Mainz 05,de Bundesliga,27,1989,27,27,2430,27.0,46,1.70,134,88,67.9,8,5,14,5,18.5,4,3,1,0,25.0,Matches
120,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,29,1987,2,2,180,2.0,1,0.50,14,13,92.9,0,2,0,1,50.0,0,0,0,0,,Matches
121,Germán Lux,ar ARG,GK,La Coruña,es La Liga,34,1982,25,25,2205,24.5,38,1.55,111,75,67.6,5,7,13,6,24.0,2,2,0,0,0.0,Matches
122,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,21,1995,7,6,566,6.3,7,1.11,28,21,75.0,3,0,3,3,50.0,0,0,0,0,,Matches
123,Anthony Maisonnial,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,1998,2,1,168,1.9,2,1.07,12,10,83.3,0,1,1,1,100.0,0,0,0,0,,Matches
124,Steve Mandanda,fr FRA,GK,Crystal Palace,eng Premier League,31,1985,9,9,810,9.0,17,1.89,43,26,60.5,3,2,4,0,0.0,0,0,0,0,,Matches
125,Vito Mannone,it ITA,GK,Sunderland,eng Premier League,28,1988,9,9,810,9.0,19,2.11,59,40,71.2,1,2,6,2,22.2,2,2,0,0,0.0,Matches
126,Federico Marchetti,it ITA,GK,Lazio,it Serie A,33,1983,17,17,1485,16.5,22,1.33,76,54,72.4,9,4,4,2,11.8,5,1,2,2,66.7,Matches
127,Diego Mariño,es ESP,GK,Sporting Gijón,es La Liga,26,1990,2,2,180,2.0,3,1.50,11,9,81.8,1,0,1,0,0.0,1,1,0,0,0.0,Matches
128,David Marshall,sct SCO,GK,Hull City,eng Premier League,31,1985,16,16,1440,16.0,44,2.75,107,63,65.4,1,3,12,0,0.0,7,7,0,0,0.0,Matches
129,Emiliano Martínez,ar ARG,GK,Arsenal,eng Premier League,23,1992,2,2,180,2.0,3,1.50,8,5,75.0,1,0,1,1,50.0,1,1,0,0,0.0,Matches
130,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,24,1992,14,14,1260,14.0,19,1.36,58,39,70.7,5,4,5,3,21.4,2,2,0,0,0.0,Matches
131,Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,24,1991,23,23,2070,23.0,25,1.09,69,44,65.2,11,4,8,8,34.8,1,1,0,0,0.0,Matches
132,Tom Mickel,de GER,GK,Hamburger SV,de Bundesliga,27,1989,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches
133,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,28,1988,28,28,2520,28.0,30,1.07,82,52,65.9,16,7,5,9,32.1,4,2,2,0,50.0,Matches
134,Antonio Mirante,it ITA,GK,Bologna,it Serie A,33,1983,21,21,1879,20.9,32,1.53,100,68,69.0,7,4,10,8,38.1,3,1,1,1,50.0,Matches
135,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,6,6,460,5.1,3,0.59,26,23,88.5,3,1,1,2,33.3,0,0,0,0,,Matches
136,Sven Müller,de GER,GK,Köln,de Bundesliga,20,1996,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
137,Guy N'dy Assembé,cm CMR,GK,Nancy,fr Ligue 1,30,1986,23,23,2043,22.7,31,1.37,103,72,73.8,6,5,12,6,26.1,5,4,1,0,20.0,Matches
138,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,29,1986,27,27,2430,27.0,31,1.15,113,83,73.5,20,4,3,5,18.5,2,1,0,1,0.0,Matches
139,Neto,br BRA,GK,Juventus,it Serie A,27,1989,8,7,675,7.5,2,0.27,15,13,86.7,6,1,0,5,71.4,0,0,0,0,,Matches
140,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,30,1986,26,26,2340,26.0,13,0.50,67,54,80.6,19,6,1,14,53.8,0,0,0,0,,Matches
141,Kristoffer Nordfeldt,se SWE,GK,Swansea City,eng Premier League,27,1989,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
142,Ørjan Nyland,no NOR,GK,Ingolstadt 04,de Bundesliga,25,1990,12,11,1023,11.4,23,2.02,62,39,66.1,0,3,8,0,0.0,2,2,0,0,0.0,Matches
143,David Oberhauser,fr FRA,GK,Metz,fr Ligue 1,25,1990,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
144,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,23,1993,30,30,2651,29.4,21,0.71,81,63,77.8,17,7,6,15,50.0,4,3,1,0,25.0,Matches
145,Guillermo Ochoa,mx MEX,GK,Granada,es La Liga,31,1985,38,38,3420,38.0,82,2.16,242,163,66.9,4,8,26,3,7.9,4,2,1,1,33.3,Matches
