Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
115,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,25,1991,13.0,27,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
116,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,29,1986,33.4,24,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
117,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,25,1990,37.0,46,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
118,Diego López,es ESP,GK,Espanyol,es La Liga,34,1981,34.6,38,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
119,Jonas Lössl,dk DEN,GK,Mainz 05,de Bundesliga,27,1989,27.0,46,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
120,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,29,1987,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
121,Germán Lux,ar ARG,GK,La Coruña,es La Liga,34,1982,24.5,38,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
122,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,21,1995,6.3,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
123,Anthony Maisonnial,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,1998,1.9,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
124,Steve Mandanda,fr FRA,GK,Crystal Palace,eng Premier League,31,1985,9.0,17,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
125,Vito Mannone,it ITA,GK,Sunderland,eng Premier League,28,1988,9.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
126,Federico Marchetti,it ITA,GK,Lazio,it Serie A,33,1983,16.5,22,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
127,Diego Mariño,es ESP,GK,Sporting Gijón,es La Liga,26,1990,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
128,David Marshall,sct SCO,GK,Hull City,eng Premier League,31,1985,16.0,44,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
129,Emiliano Martínez,ar ARG,GK,Arsenal,eng Premier League,23,1992,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
130,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,24,1992,14.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
131,Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,24,1991,23.0,25,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
132,Tom Mickel,de GER,GK,Hamburger SV,de Bundesliga,27,1989,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
133,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,28,1988,28.0,30,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
134,Antonio Mirante,it ITA,GK,Bologna,it Serie A,33,1983,20.9,32,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
135,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,5.1,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
136,Sven Müller,de GER,GK,Köln,de Bundesliga,20,1996,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
137,Guy N'dy Assembé,cm CMR,GK,Nancy,fr Ligue 1,30,1986,22.7,31,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
138,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,29,1986,27.0,31,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
139,Neto,br BRA,GK,Juventus,it Serie A,27,1989,7.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
140,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,30,1986,26.0,13,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
141,Kristoffer Nordfeldt,se SWE,GK,Swansea City,eng Premier League,27,1989,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
142,Ørjan Nyland,no NOR,GK,Ingolstadt 04,de Bundesliga,25,1990,11.4,23,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
143,David Oberhauser,fr FRA,GK,Metz,fr Ligue 1,25,1990,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
144,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,23,1993,29.4,21,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
145,Guillermo Ochoa,mx MEX,GK,Granada,es La Liga,31,1985,38.0,82,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
146,Adrián Ortolá,es ESP,GK,Alavés,es La Liga,22,1993,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
147,David Ospina,co COL,GK,Arsenal,eng Premier League,27,1988,1.6,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
148,Juan Pablo Carrizo,ar ARG,GK,Inter,it Serie A,32,1984,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
149,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,24,1992,36.0,42,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
150,Daniele Padelli,it ITA,GK,Torino,it Serie A,30,1985,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
151,Costel Pantilimon,ro ROU,GK,Watford,eng Premier League,29,1987,0.9,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
152,Alberto Pelagotti,it ITA,GK,Empoli,it Serie A,26,1989,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
153,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,33,1982,38.0,41,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
154,Nauzet Pérez,es ESP,GK,Osasuna,es La Liga,31,1985,13.0,29,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
155,Mattia Perin,it ITA,GK,Genoa,it Serie A,23,1992,15.1,19,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
156,Denis Petrić,rs SRB,GK,Angers,fr Ligue 1,28,1988,9.0,15,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
157,Jordan Pickford,eng ENG,GK,Sunderland,eng Premier League,22,1994,29.0,50,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
158,Laurent Pionnier,fr FRA,GK,Montpellier,fr Ligue 1,34,1982,25.0,38,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
159,Josip Posavec,hr CRO,GK,Palermo,it Serie A,20,1996,29.0,63,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
160,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,20,1995,14.0,21,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
161,Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,35,1981,21.0,35,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
162,Rafael,br BRA,GK,Cagliari,it Serie A,34,1982,20.0,32,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
163,Darren Randolph,ie IRL,GK,West Ham,eng Premier League,29,1987,22.0,39,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
164,Pepe Reina,es ESP,GK,Napoli,it Serie A,33,1982,37.0,38,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
165,Paul Reulet,fr FRA,GK,Caen,fr Ligue 1,22,1994,2.2,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
166,Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,25,1990,37.0,58,9,,,,,,,,,,,,,,,,,,,,,,,,Matches
167,Sergio Rico,es ESP,GK,Sevilla,es La Liga,22,1993,35.0,45,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
168,Asier Riesgo,es ESP,GK,Eibar,es La Liga,32,1983,13.9,19,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
169,Rémy Riou,fr FRA,GK,Nantes,fr Ligue 1,28,1987,22.0,34,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
170,Roberto,es ESP,GK,Espanyol,es La Liga,30,1986,3.4,12,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
171,Paul Robinson,eng ENG,GK,Burnley,eng Premier League,36,1979,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
172,Joel Robles,es ESP,GK,Everton,eng Premier League,26,1990,19.3,20,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
173,Davy Roef,be BEL,GK,La Coruña,es La Liga,22,1994,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
174,Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,29,1987,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
175,Rubinho,br BRA,GK,Genoa,it Serie A,33,1982,2.0,8,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
176,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,29,1986,31.0,37,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
177,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,24,1992,38.0,53,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
178,Mathew Ryan,au AUS,GK,Valencia,es La Liga,24,1992,2.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
179,Romain Salin,fr FRA,GK,Guingamp,fr Ligue 1,32,1984,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
180,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,29,1986,29.6,47,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
181,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,24,1992,34.0,60,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
182,Simone Scuffet,it ITA,GK,Udinese,it Serie A,20,1996,5.1,11,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
183,Andrea Seculin,it ITA,GK,Chievo,it Serie A,26,1990,4.0,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
184,Salvatore Sirigu,it ITA,GK,Osasuna,es La Liga,29,1987,18.0,51,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
185,Salvatore Sirigu,it ITA,GK,Sevilla,es La Liga,29,1987,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
