Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
16,Allan,br BRA,"DF,MF",it Napoli,25,1991,8,442,55,61.4,4.9,5,,3,3,,0,1.38,9,7,+2,+0.41,+1.38,Matches
17,Dele Alli,eng ENG,"FW,MF",eng Tottenham,20,1996,6,532,89,98.5,5.9,6,,5,0,,0,1.17,6,6,0,0.00,0.00,Matches
18,André Almeida,pt POR,"DF,MF",pt Benfica,25,1990,4,273,68,37.9,3.0,3,,3,1,,3,0.75,3,10,-7,-2.31,-3.11,Matches
19,Xabi Alonso,es ESP,MF,de Bayern Munich,34,1981,7,589,84,63.3,6.5,7,,5,0,,2,1.71,18,6,+12,+1.83,+1.57,Matches
20,Éder Álvarez Balanta,co COL,"DF,MF",ch Basel,23,1993,6,540,90,100.0,6.0,6,,6,0,,0,0.33,3,12,-9,-1.50,,Matches
21,Dani Alves,br BRA,"DF,MF",it Juventus,33,1983,12,1001,83,85.6,11.1,11,,10,1,,0,2.25,19,7,+12,+1.08,-1.05,Matches
22,Danny Amankwaa,dk DEN,"FW,MF",dk FC Copenhagen,22,1994,1,6,6,1.1,0.1,0,,0,1,,1,2.33,1,0,+1,+15.00,+14.33,Matches
23,Daniel Amartey,gh GHA,"DF,MF",eng Leicester City,21,1994,8,290,36,32.2,3.2,3,,3,5,,2,2.13,4,0,+4,+1.24,+1.68,Matches
24,Stephan Andersen,dk DEN,GK,dk FC Copenhagen,34,1981,0,,,,,0,,0,0,,6,,,,,,,Matches
25,André,br BRA,FW,pt Sporting CP,25,1990,3,47,16,8.7,0.5,0,,0,3,,2,0.00,1,1,0,0.00,+0.55,Matches
26,André André,pt POR,MF,pt Porto,26,1989,3,171,57,23.8,1.9,2,,1,1,,3,1.40,1,2,-1,-0.53,-1.18,Matches
27,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,32,1984,1,90,90,8.3,1.0,1,,1,0,,6,3.00,4,2,+2,+2.00,+1.45,Matches
28,Angeliño,es ESP,"DF,MF",eng Manchester City,19,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
29,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,25,1990,6,536,89,99.3,6.0,6,,4,0,,0,1.82,7,2,+5,+0.84,+0.84,Matches
30,Domagoj Antolić,hr CRO,MF,hr Dinamo Zagreb,26,1990,2,87,44,16.1,1.0,2,,0,0,,0,2.00,0,3,-3,-3.10,-0.72,Matches
31,Mikael Antonsson,se SWE,DF,dk FC Copenhagen,35,1981,1,1,1,0.2,0.0,0,,0,1,,5,2.00,0,0,0,0.00,-0.83,Matches
32,Vitorino Antunes,pt POR,DF,ua Dynamo Kyiv,29,1987,4,360,90,66.7,4.0,4,,4,0,,2,1.00,8,5,+3,+0.75,+1.25,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,27,1989,8,515,64,71.5,5.7,5,,4,3,,0,1.38,6,6,0,0.00,0.00,Matches
34,Alphonse Areola,fr FRA,GK,fr Paris S-G,23,1993,6,540,90,75.0,6.0,6,,6,0,,2,2.00,13,7,+6,+1.00,+1.50,Matches
35,Santiago Arias,co COL,"DF,MF",nl PSV Eindhoven,24,1992,4,332,83,61.5,3.7,4,,3,0,,2,0.50,3,6,-3,-0.81,+0.92,Matches
36,Stuart Armstrong,sct SCO,MF,sct Celtic,24,1992,5,324,65,60.0,3.6,3,,3,2,,1,1.11,2,6,-4,-1.11,+1.81,Matches
37,Tolgay Arslan,de GER,MF,tr Beşiktaş,25,1990,5,334,67,61.9,3.7,5,,1,0,,1,1.20,4,11,-7,-1.89,-2.76,Matches
38,Kwadwo Asamoah,gh GHA,"DF,MF",it Juventus,27,1988,3,160,53,13.7,1.8,2,,1,1,,6,1.67,2,0,+2,+1.13,-0.12,Matches
39,Marco Asensio,es ESP,"FW,MF",es Real Madrid,20,1996,8,253,32,21.1,2.8,1,,0,7,,1,2.38,14,4,+10,+3.56,+2.89,Matches
40,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",de Dortmund,27,1989,9,708,79,78.7,7.9,8,,6,1,,0,1.56,21,13,+8,+1.02,-0.86,Matches
41,Jean-Kévin Augustin,fr FRA,FW,fr Paris S-G,19,1997,1,1,1,0.1,0.0,0,,0,1,,3,3.00,0,0,0,0.00,-0.63,Matches
42,Ludwig Augustinsson,se SWE,"DF,MF",dk FC Copenhagen,22,1994,6,540,90,100.0,6.0,6,,6,0,,0,1.92,7,2,+5,+0.83,,Matches
43,Filipe Augusto,br BRA,MF,pt Benfica,22,1993,1,44,44,6.1,0.5,0,,0,1,,0,3.00,1,0,+1,+2.05,+2.58,Matches
44,Serge Aurier,ci CIV,"DF,MF",fr Paris S-G,23,1992,5,281,56,39.0,3.1,3,,2,2,,1,1.60,8,5,+3,+0.96,+0.55,Matches
45,Sardar Azmoun,ir IRN,"FW,MF",ru Rostov,21,1995,6,458,76,84.8,5.1,6,,0,0,,0,1.30,6,10,-4,-0.79,+1.41,Matches
46,Loic Badiashile,fr FRA,GK,fr Monaco,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
47,Holger Badstuber,de GER,DF,de Bayern Munich,27,1989,1,90,90,9.7,1.0,1,,1,0,,2,0.00,2,3,-1,-1.00,-2.50,Matches
48,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,18,1997,2,15,8,2.1,0.2,0,,0,2,,0,0.50,0,0,0,0.00,0.00,Matches
49,Tiemoué Bakayoko,fr FRA,MF,fr Monaco,21,1994,10,842,84,78.0,9.4,10,,5,0,,1,1.86,17,15,+2,+0.21,+0.97,Matches
50,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,27,1989,8,509,64,42.4,5.7,7,,2,1,,0,2.50,13,9,+4,+0.71,-0.99,Matches
51,Harvey Barnes,eng ENG,"FW,MF",eng Leicester City,18,1997,1,14,14,1.6,0.2,0,,0,1,,0,0.00,0,1,-1,-6.43,-6.63,Matches
52,Marc Bartra,es ESP,DF,de Dortmund,25,1991,7,580,83,64.4,6.4,7,,5,0,,0,2.29,21,7,+14,+2.17,+2.73,Matches
53,Andrea Barzagli,it ITA,DF,it Juventus,35,1981,11,715,65,61.1,7.9,8,,5,3,,0,2.18,12,5,+7,+0.88,-0.90,Matches
54,Julian Baumgartlinger,at AUT,"DF,MF",de Leverkusen,28,1988,6,323,54,44.9,3.6,3,,3,3,,2,1.67,4,1,+3,+0.84,+1.52,Matches
55,Khoren Bayramyan,am ARM,"FW,MF",ru Rostov,24,1992,0,,,,,0,,0,0,,6,,,,,,,Matches
56,Andreas Beck,de GER,"DF,MF",tr Beşiktaş,29,1987,6,479,80,88.7,5.3,6,,5,0,,0,1.17,9,9,0,0.00,+7.38,Matches
57,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,26,1990,2,156,78,21.7,1.7,2,,1,0,,0,0.50,1,3,-2,-1.15,-1.47,Matches
58,Héctor Bellerín,es ESP,"DF,MF",eng Arsenal,21,1995,5,450,90,62.5,5.0,5,,5,0,,0,1.40,11,11,0,0.00,-1.33,Matches
59,Hatem Ben Arfa,fr FRA,"FW,MF",fr Paris S-G,29,1987,3,122,41,16.9,1.4,1,,1,2,,3,1.67,4,2,+2,+1.48,+1.02,Matches
60,Wissam Ben Yedder,fr FRA,"FW,MF",es Sevilla,25,1990,5,229,46,31.8,2.5,2,,0,3,,2,2.00,4,2,+2,+0.79,+0.60,Matches
61,Yohan Benalouane,tn TUN,DF,eng Leicester City,29,1987,2,136,68,15.1,1.5,2,,1,0,,1,0.50,0,2,-2,-1.32,-1.68,Matches
62,Medhi Benatia,ma MAR,DF,it Juventus,29,1987,5,183,37,15.6,2.0,2,,1,3,,5,2.60,3,1,+2,+0.98,-0.29,Matches
63,Lars Bender,de GER,"DF,MF",de Leverkusen,27,1989,3,215,72,29.9,2.4,3,,1,0,,0,1.00,3,3,0,0.00,0.00,Matches
64,Sven Bender,de GER,"DF,MF",de Dortmund,27,1989,1,46,46,5.1,0.5,1,,0,0,,1,0.00,0,2,-2,-3.91,-5.39,Matches
65,László Bénes,sk SVK,MF,de Gladbach,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
66,Filip Benković,hr CRO,DF,hr Dinamo Zagreb,19,1997,5,450,90,83.3,5.0,5,,5,0,,1,1.30,0,13,-13,-2.60,-0.60,Matches
67,Karim Benzema,fr FRA,FW,es Real Madrid,28,1987,13,954,73,79.5,10.6,12,,1,1,,0,2.31,25,15,+10,+0.94,-1.62,Matches
68,Bartosz Bereszyński,pl POL,"DF,FW",pl Legia Warsaw,24,1992,6,540,90,100.0,6.0,6,,6,0,,0,1.00,9,24,-15,-2.50,,Matches
69,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,34,1982,5,314,63,58.1,3.5,3,,4,2,,1,0.60,5,7,-2,-0.57,+1.02,Matches
70,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,34,1982,5,406,81,75.2,4.5,5,,3,0,,1,0.40,2,8,-6,-1.33,-1.33,Matches
71,Erik Berg,se SWE,"DF,MF",dk FC Copenhagen,27,1988,6,540,90,100.0,6.0,6,,6,0,,0,1.82,7,2,+5,+0.83,,Matches
72,Steven Bergwijn,nl NED,"FW,MF",nl PSV Eindhoven,18,1997,6,224,37,41.5,2.5,2,,1,4,,0,0.33,0,3,-3,-1.21,-0.07,Matches
73,Juan Bernat,es ESP,"DF,FW",de Bayern Munich,23,1993,4,245,61,26.3,2.7,2,,2,2,,5,1.50,6,4,+2,+0.73,-0.71,Matches
74,Artem Besyedin,ua UKR,FW,ua Dynamo Kyiv,20,1996,3,186,62,34.4,2.1,2,,0,1,,0,1.33,6,0,+6,+2.90,+3.92,Matches
75,Beto,pt POR,GK,pt Sporting CP,34,1982,0,,,,,0,,0,0,,6,,,,,,,Matches
76,Nir Bitton,il ISR,"DF,MF",sct Celtic,24,1991,4,249,62,46.1,2.8,3,,0,1,,2,0.63,3,10,-7,-2.53,-1.29,Matches
77,Birkir Bjarnason,is ISL,MF,ch Basel,28,1988,5,434,87,80.4,4.8,5,,3,0,,1,0.40,2,8,-6,-1.24,+1.30,Matches
78,Jérôme Boateng,de GER,DF,de Bayern Munich,27,1988,6,510,85,54.8,5.7,6,,4,0,,0,1.00,11,11,0,0.00,-2.79,Matches
79,Boli Bolingoli-Mbombo,be BEL,"DF,MF",be Club Brugge,21,1995,3,163,54,30.2,1.8,2,,1,1,,2,0.00,0,4,-4,-2.21,-0.30,Matches
80,Willy Boly,ci CIV,DF,pt Porto,25,1991,1,44,44,6.1,0.5,0,,0,1,,7,0.00,0,0,0,0.00,-0.40,Matches
81,Hendrik Bonmann,de GER,GK,de Dortmund,22,1994,0,,,,,0,,0,0,,3,,,,,,,Matches
82,Leonardo Bonucci,it ITA,DF,it Juventus,29,1987,11,968,88,82.7,10.8,11,,10,0,,0,2.18,18,6,+12,+1.12,-0.67,Matches
83,Milan Borjan,ca CAN,GK,bg Ludogorets,28,1987,1,90,90,16.7,1.0,1,,1,0,,5,0.00,2,3,-1,-1.00,+0.60,Matches
84,Gabriel Boschilia,br BRA,MF,fr Monaco,20,1996,2,76,38,7.0,0.8,1,,0,1,,3,0.50,1,2,-1,-1.18,-1.27,Matches
85,Dedryck Boyata,be BEL,DF,sct Celtic,25,1990,0,,,,,0,,0,0,,1,,,,,,,Matches
86,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,26,1990,5,281,56,39.0,3.1,3,,1,2,,1,1.40,7,2,+5,+1.60,+2.01,Matches
87,Julian Brandt,de GER,"FW,MF",de Leverkusen,20,1996,8,534,67,74.2,5.9,7,,1,1,,0,1.38,8,6,+2,+0.34,+1.30,Matches
88,Claudio Bravo,cl CHI,GK,eng Manchester City,33,1983,4,323,81,44.9,3.6,4,,3,0,,2,1.25,8,5,+3,+0.84,+0.61,Matches
89,Joshua Brenet,cw CUW,DF,nl PSV Eindhoven,22,1994,4,314,79,58.1,3.5,3,,3,1,,1,0.25,1,6,-5,-1.43,-0.64,Matches
90,Scott Brown,sct SCO,MF,sct Celtic,31,1985,6,540,90,100.0,6.0,6,,6,0,,0,1.08,5,16,-11,-1.83,,Matches
91,Łukasz Broź,pl POL,"DF,GK",pl Legia Warsaw,30,1985,0,,,,,0,,0,0,,6,,,,,,,Matches
92,Sébastien Bruzzese,be BEL,GK,be Club Brugge,27,1989,0,,,,,0,,0,0,,5,,,,,,,Matches
93,Gianluigi Buffon,it ITA,GK,it Juventus,38,1978,12,1080,90,92.3,12.0,12,,12,0,,1,2.25,20,7,+13,+1.08,-1.92,Matches
94,Aleksandr Bukharov,ru RUS,FW,ru Rostov,31,1985,1,1,1,0.2,0.0,0,,0,1,,1,1.80,0,0,0,0.00,+1.00,Matches
95,Mykyta Burda,ua UKR,DF,ua Dynamo Kyiv,21,1995,1,90,90,16.7,1.0,1,,1,0,,0,3.00,6,0,+6,+6.00,+6.80,Matches
96,Roman Bürki,ch SUI,GK,de Dortmund,25,1990,8,720,90,80.0,8.0,8,,8,0,,0,1.63,18,10,+8,+1.00,-1.00,Matches
97,Dženis Burnić,ba BIH,MF,de Dortmund,18,1998,1,1,1,0.1,0.0,0,,0,1,,0,3.00,0,0,0,0.00,-1.20,Matches
98,Sergio Busquets,es ESP,MF,es Barcelona,28,1988,8,691,86,76.8,7.7,8,,7,0,,1,2.00,20,9,+11,+1.43,+0.14,Matches
99,Ludovic Butelle,fr FRA,GK,be Club Brugge,33,1983,6,540,90,100.0,6.0,6,,6,0,,0,0.00,2,14,-12,-2.00,,Matches
100,Vitaliy Buyalskyi,ua UKR,MF,ua Dynamo Kyiv,23,1993,4,233,58,43.1,2.6,3,,1,1,,2,1.00,6,1,+5,+1.93,+2.81,Matches
101,Willy Caballero,ar ARG,GK,eng Manchester City,34,1981,5,393,79,54.6,4.4,4,,4,1,,3,1.67,10,11,-1,-0.23,-1.61,Matches
102,Rafael Cabral,br BRA,GK,it Napoli,26,1990,0,,,,,0,,0,0,,5,,,,,,,Matches
103,Jonathan Cafu,br BRA,"FW,MF",bg Ludogorets,25,1991,6,540,90,100.0,6.0,6,,6,0,,0,1.42,6,15,-9,-1.50,,Matches
104,Hakan Çalhanoğlu,tr TUR,"FW,MF",de Leverkusen,22,1994,6,359,60,49.9,4.0,5,,2,1,,0,1.67,6,4,+2,+0.50,+1.00,Matches
105,Davide Callà,ch SUI,MF,ch Basel,31,1984,3,43,14,8.0,0.5,0,,0,3,,3,0.67,1,0,+1,+2.09,+3.90,Matches
106,José Callejón,es ESP,"FW,MF",it Napoli,29,1987,8,700,88,97.2,7.8,8,,7,0,,0,1.38,13,13,0,0.00,+4.50,Matches
107,Gustavo Campanharo,br BRA,MF,bg Ludogorets,24,1992,2,4,2,0.7,0.0,0,,0,2,,1,1.50,0,1,-1,-22.50,-21.16,Matches
108,Joel Campbell,cr CRC,"FW,MF",pt Sporting CP,24,1992,4,67,17,12.4,0.7,0,,0,4,,1,0.75,2,2,0,0.00,+0.57,Matches
109,Irvin Cardona,fr FRA,"FW,MF",fr Monaco,18,1997,0,,,,,0,,0,0,,4,,,,,,,Matches
110,Marc Cardona,es ESP,FW,es Barcelona,21,1995,1,16,16,1.8,0.2,0,,0,1,,0,3.00,0,0,0,0.00,-1.43,Matches
111,Yannick Carrasco,be BEL,"DF,FW",es Atlético Madrid,22,1993,12,856,71,79.3,9.5,11,,2,1,,0,2.17,12,7,+5,+0.53,-0.68,Matches
112,Daniel Carriço,pt POR,"DF,MF",es Sevilla,27,1988,2,35,18,4.9,0.4,0,,0,2,,2,2.00,1,1,0,0.00,-0.39,Matches
113,André Carrillo,pe PER,"FW,MF",pt Benfica,25,1991,3,135,45,18.8,1.5,2,,0,1,,5,1.00,1,5,-4,-2.67,-2.82,Matches
114,Guido Carrillo,ar ARG,FW,fr Monaco,25,1991,5,174,35,16.1,1.9,1,,0,4,,2,2.13,2,2,0,0.00,0.00,Matches
115,Cameron Carter-Vickers,us USA,DF,eng Tottenham,18,1997,0,,,,,0,,0,0,,4,,,,,,,Matches
116,Dani Carvajal,es ESP,DF,es Real Madrid,24,1992,11,976,89,81.3,10.8,11,,10,0,,1,2.45,28,15,+13,+1.20,-0.41,Matches
117,William Carvalho,pt POR,MF,pt Sporting CP,24,1992,6,535,89,99.1,5.9,6,,5,0,,0,0.50,5,8,-3,-0.50,-0.50,Matches
118,Casemiro,br BRA,MF,es Real Madrid,24,1992,9,827,92,68.9,9.2,9,,8,0,,0,2.44,24,11,+13,+1.41,+0.45,Matches
119,Kiko Casilla,es ESP,GK,es Real Madrid,29,1986,1,90,90,7.5,1.0,1,,1,0,,12,3.00,2,1,+1,+1.00,-0.30,Matches
120,Iker Casillas,es ESP,GK,pt Porto,35,1981,8,720,90,100.0,8.0,8,,8,0,,0,1.50,9,6,+3,+0.37,,Matches
121,Luc Castaignos,nl NED,FW,pt Sporting CP,23,1992,1,46,46,8.5,0.5,1,,0,0,,0,0.00,0,1,-1,-1.96,-1.59,Matches
122,Gonzalo Castro,de GER,"DF,MF",de Dortmund,29,1987,7,442,63,49.1,4.9,5,,3,2,,1,2.00,18,8,+10,+2.04,+1.64,Matches
123,Edinson Cavani,uy URU,"FW,MF",fr Paris S-G,29,1987,8,720,90,100.0,8.0,8,,7,0,,0,1.88,18,13,+5,+0.62,,Matches
124,Santi Cazorla,es ESP,MF,eng Arsenal,31,1984,3,237,79,32.9,2.6,3,,2,0,,0,2.33,11,1,+10,+3.80,+4.92,Matches
125,Petr Čech,cz CZE,GK,eng Arsenal,34,1982,0,,,,,0,,0,0,,8,,,,,,,Matches
126,Guillermo Celis,co COL,MF,pt Benfica,23,1993,2,8,4,1.1,0.1,0,,0,2,,2,2.00,0,1,-1,-11.25,-11.00,Matches
127,Alessio Cerci,it ITA,"FW,MF",es Atlético Madrid,29,1987,0,,,,,0,,0,0,,2,,,,,,,Matches
128,Franco Cervi,ar ARG,"FW,MF",pt Benfica,22,1994,7,480,69,66.7,5.3,6,,1,1,,1,1.57,7,5,+2,+0.37,+2.25,Matches
129,Bruno César,br BRA,"FW,MF",pt Sporting CP,27,1988,6,397,66,73.5,4.4,5,,2,1,,0,0.50,4,5,-1,-0.23,+1.03,Matches
130,Júlio César,br BRA,GK,pt Benfica,36,1979,1,90,90,12.5,1.0,1,,1,0,,7,0.00,2,4,-2,-2.00,-1.86,Matches
131,Fyodor Chalov,ru RUS,"FW,MF",ru CSKA Moscow,18,1998,2,134,67,24.8,1.5,1,,0,1,,1,0.50,1,2,-1,-0.67,+0.44,Matches
132,Sergei Chepchugov,ru RUS,GK,ru CSKA Moscow,31,1985,0,,,,,0,,0,0,,5,,,,,,,Matches
133,Giorgio Chiellini,it ITA,DF,it Juventus,31,1984,9,723,80,61.8,8.0,8,,8,1,,2,2.22,15,5,+10,+1.24,+0.04,Matches
134,Ben Chilwell,eng ENG,"DF,MF",eng Leicester City,19,1996,2,134,67,14.9,1.5,1,,1,1,,4,0.50,1,5,-4,-2.69,-3.27,Matches
135,Vlad Chiricheș,ro ROU,DF,it Napoli,26,1989,1,90,90,12.5,1.0,1,,1,0,,2,0.00,2,3,-1,-1.00,-1.00,Matches
136,Andreas Christensen,dk DEN,"DF,MF",de Gladbach,20,1996,4,360,90,66.7,4.0,4,,4,0,,0,1.17,2,11,-9,-2.25,-3.25,Matches
137,Cicinho,bg BUL,"DF,MF",bg Ludogorets,27,1988,2,180,90,33.3,2.0,2,,2,0,,2,1.67,2,2,0,0.00,+2.25,Matches
138,Radosław Cierzniak,pl POL,GK,pl Legia Warsaw,33,1983,1,90,90,16.7,1.0,1,,1,0,,5,0.50,4,8,-4,-4.00,-1.80,Matches
139,Nadir Çiftçi,nl NED,FW,sct Celtic,24,1992,0,,,,,0,,0,0,,1,,,,,,,Matches
140,Jasper Cillessen,nl NED,GK,es Barcelona,27,1989,1,90,90,10.0,1.0,1,,1,0,,8,3.00,4,0,+4,+4.00,+2.89,Matches
141,Gaël Clichy,fr FRA,DF,eng Manchester City,31,1985,5,289,58,40.1,3.2,3,,1,2,,2,1.57,6,10,-4,-1.25,-2.92,Matches
142,Sebastián Coates,uy URU,DF,pt Sporting CP,25,1990,6,540,90,100.0,6.0,6,,6,0,,0,0.50,5,8,-3,-0.50,,Matches
143,Fábio Coentrão,pt POR,DF,es Real Madrid,28,1988,2,98,49,8.2,1.1,1,,0,1,,1,2.00,3,3,0,0.00,-1.39,Matches
144,Kingsley Coman,fr FRA,"FW,MF",de Bayern Munich,20,1996,2,35,18,3.8,0.4,0,,0,2,,5,1.50,1,0,+1,+2.57,+1.36,Matches
145,Dion Cools,my MAS,"DF,MF",be Club Brugge,20,1996,3,270,90,50.0,3.0,3,,3,0,,3,0.00,1,5,-4,-1.33,+1.33,Matches
146,Francis Coquelin,fr FRA,"DF,MF",eng Arsenal,25,1991,6,426,71,59.2,4.7,5,,2,1,,0,1.33,12,12,0,0.00,-1.22,Matches
147,Ante Ćorić,hr CRO,MF,hr Dinamo Zagreb,19,1997,4,248,62,45.9,2.8,4,,1,0,,1,1.44,0,5,-5,-1.81,+1.27,Matches
148,Andreas Cornelius,dk DEN,FW,dk FC Copenhagen,23,1993,5,450,90,83.3,5.0,5,,5,0,,0,2.00,7,2,+5,+1.00,+1.00,Matches
149,Maxwel Cornet,ci CIV,"DF,FW",fr Lyon,19,1996,6,284,47,52.6,3.2,3,,1,3,,0,1.33,4,2,+2,+0.63,+0.63,Matches
150,Jesús Corona,mx MEX,"DF,FW",pt Porto,23,1993,7,317,45,44.0,3.5,3,,0,4,,0,1.67,7,3,+4,+1.14,+1.36,Matches
151,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,21,1995,9,251,28,23.2,2.8,2,,0,7,,3,1.89,2,2,0,0.00,-0.87,Matches
152,Joaquín Correa,ar ARG,"FW,MF",es Sevilla,21,1994,3,111,37,15.4,1.2,1,,0,2,,1,1.33,2,0,+2,+1.62,+1.47,Matches
153,Danny da Costa,de GER,"DF,FW",de Leverkusen,23,1993,1,90,90,12.5,1.0,1,,1,0,,2,3.00,3,0,+3,+3.00,+3.43,Matches
154,Douglas Costa,br BRA,"FW,MF",de Bayern Munich,25,1990,9,462,51,49.7,5.1,4,,1,5,,0,2.00,17,9,+8,+1.56,+0.60,Matches
155,Juan Cuadrado,co COL,"DF,FW",it Juventus,28,1988,12,586,49,50.1,6.5,7,,1,5,,1,2.42,11,3,+8,+1.23,0.00,Matches
156,Jakub Czerwiński,pl POL,DF,pl Legia Warsaw,24,1991,4,360,90,66.7,4.0,4,,4,0,,2,0.00,5,21,-16,-4.00,-4.50,Matches
157,Maciej Dąbrowski,pl POL,DF,pl Legia Warsaw,29,1987,2,90,45,16.7,1.0,1,,1,1,,1,1.50,0,6,-6,-6.00,-4.20,Matches
158,Mahmoud Dahoud,de GER,MF,de Gladbach,20,1996,4,299,75,55.4,3.3,4,,2,0,,2,0.80,2,10,-8,-2.41,-2.78,Matches
159,Danilo,br BRA,"DF,MF",es Real Madrid,25,1991,3,270,90,22.5,3.0,3,,3,0,,8,1.33,8,5,+3,+1.00,-0.35,Matches
160,Sergi Darder,es ESP,MF,fr Lyon,22,1993,6,395,66,73.1,4.4,5,,2,1,,0,1.33,4,1,+3,+0.68,+1.30,Matches
161,Ben Davies,wls WAL,"DF,MF",eng Tottenham,23,1993,3,270,90,50.0,3.0,3,,3,0,,1,1.00,2,3,-1,-0.33,-0.67,Matches
162,Laurens De Bock,be BEL,DF,be Club Brugge,23,1992,3,250,83,46.3,2.8,3,,2,0,,0,0.00,1,9,-8,-2.88,-1.64,Matches
163,Kevin De Bruyne,be BEL,"FW,MF",eng Manchester City,25,1991,6,539,90,74.9,6.0,6,,5,0,,0,1.86,14,12,+2,+0.33,-0.66,Matches
164,Morgan De Sanctis,it ITA,GK,fr Monaco,39,1977,1,90,90,8.3,1.0,1,,1,0,,11,0.00,0,3,-3,-3.00,-3.27,Matches
165,Thomas Delaney,dk DEN,MF,dk FC Copenhagen,24,1991,6,540,90,100.0,6.0,6,,6,0,,0,1.82,7,2,+5,+0.83,,Matches
166,Fabian Delph,eng ENG,"DF,MF",eng Manchester City,26,1989,0,,,,,0,,0,0,,2,,,,,,,Matches
167,Mousa Dembélé,be BEL,MF,eng Tottenham,29,1987,4,164,41,30.4,1.8,2,,0,2,,1,0.25,1,2,-1,-0.55,-0.79,Matches
168,Moussa Dembélé,fr FRA,FW,sct Celtic,20,1996,6,523,87,96.9,5.8,6,,5,0,,0,1.08,5,16,-11,-1.89,-1.89,Matches
169,Ousmane Dembélé,fr FRA,"FW,MF",de Dortmund,19,1997,10,770,77,85.6,8.6,9,,4,1,,0,1.70,22,13,+9,+1.05,-1.02,Matches
