Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
126,Kingsley Coman,fr FRA,"FW,MF",de Bayern Munich,20,1996,2,0,35,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
127,Dion Cools,my MAS,"DF,MF",be Club Brugge,20,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Francis Coquelin,fr FRA,"DF,MF",eng Arsenal,25,1991,6,5,426,4.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Ante Ćorić,hr CRO,MF,hr Dinamo Zagreb,19,1997,4,4,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Andreas Cornelius,dk DEN,FW,dk FC Copenhagen,23,1993,5,5,450,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
131,Maxwel Cornet,ci CIV,"DF,FW",fr Lyon,19,1996,6,3,284,3.2,1,1,2,1,0,0,1,0,0.32,0.32,0.63,0.32,0.63,Matches
132,Jesús Corona,mx MEX,"DF,FW",pt Porto,23,1993,7,3,317,3.5,1,1,2,1,0,0,1,0,0.28,0.28,0.57,0.28,0.57,Matches
133,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,21,1995,9,2,251,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Joaquín Correa,ar ARG,"FW,MF",es Sevilla,21,1994,3,1,111,1.2,1,0,1,1,0,1,0,0,0.81,0.00,0.81,0.81,0.81,Matches
135,Danny da Costa,de GER,"DF,FW",de Leverkusen,23,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Douglas Costa,br BRA,"FW,MF",de Bayern Munich,25,1990,9,4,462,5.1,2,2,4,2,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches
137,Juan Cuadrado,co COL,"DF,FW",it Juventus,28,1988,12,7,586,6.5,0,1,1,0,0,0,2,2,0.00,0.15,0.15,0.00,0.15,Matches
138,Jakub Czerwiński,pl POL,DF,pl Legia Warsaw,24,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Maciej Dąbrowski,pl POL,DF,pl Legia Warsaw,29,1987,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Mahmoud Dahoud,de GER,MF,de Gladbach,20,1996,4,4,299,3.3,0,1,1,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,Matches
141,Danilo,br BRA,"DF,MF",es Real Madrid,25,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Sergi Darder,es ESP,MF,fr Lyon,22,1993,6,5,395,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
