Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
1296,Lukas Klünter,de GER,"DF,FW",Köln,de Bundesliga,21,1996,14.8,1,17,6,35.3,1.15,0.40,0.06,0.17,18.3,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches
1297,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,25,1992,23.4,1,6,1,16.7,0.26,0.04,0.17,1.00,9.4,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
1298,Anthony Knockaert,fr FRA,"MF,FW",Brighton,eng Premier League,25,1991,26.9,3,46,12,26.1,1.71,0.45,0.07,0.25,19.0,0,0,0,4.1,4.1,0.09,-1.1,-1.1,Matches
1299,Törles Knöll,de GER,"MF,FW",Hamburger SV,de Bundesliga,19,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1300,Robin Koch,de GER,"MF,DF",Freiburg,de Bundesliga,21,1996,21.3,2,13,5,38.5,0.61,0.23,0.15,0.40,15.9,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
1301,Kenan Kodro,ba BIH,"FW,DF",Mainz 05,de Bundesliga,23,1993,2.6,0,2,1,50.0,0.78,0.39,0.00,0.00,8.3,0,0,0,0.7,0.7,0.37,-0.7,-0.7,Matches
1302,Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1303,Dominik Kohr,de GER,MF,Leverkusen,de Bundesliga,23,1994,18.5,1,40,4,10.0,2.16,0.22,0.03,0.25,18.7,0,0,0,3.9,3.9,0.10,-2.9,-2.9,Matches
1304,Seybou Koita,ne NIG,FW,Amiens,fr Ligue 1,23,1994,2.4,0,3,2,66.7,1.27,0.85,0.00,0.00,15.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
1305,Koke,es ESP,MF,Atlético Madrid,es La Liga,25,1992,30.6,4,29,14,48.3,0.95,0.46,0.14,0.29,21.3,1,0,0,2.3,2.3,0.08,+1.7,+1.7,Matches
1306,Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,31,1985,34.0,2,63,13,20.6,1.85,0.38,0.03,0.15,29.1,25,0,0,2.5,2.5,0.04,-0.5,-0.5,Matches
1307,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,24,1993,23.9,2,21,6,28.6,0.88,0.25,0.10,0.33,13.2,0,0,0,2.2,2.2,0.11,-0.2,-0.2,Matches
1308,Vincent Kompany,be BEL,DF,Manchester City,eng Premier League,31,1986,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,9.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
1309,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,18,1999,13.6,0,2,0,0.0,0.15,0.00,0.00,,8.4,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
1310,Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,24,1993,27.5,13,66,24,36.4,2.40,0.87,0.17,0.46,14.4,0,2,2,10.2,8.6,0.13,+2.8,+2.4,Matches
1311,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,24,1993,29.0,4,28,7,25.0,0.96,0.24,0.14,0.57,21.4,0,0,0,2.0,2.0,0.07,+2.0,+2.0,Matches
1312,Bakary Koné,bf BFA,DF,Strasbourg,fr Ligue 1,29,1988,27.4,1,10,1,10.0,0.37,0.04,0.10,1.00,11.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
1313,Terence Kongolo,nl NED,DF,Huddersfield,eng Premier League,23,1994,11.7,0,2,0,0.0,0.17,0.00,0.00,,15.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
1314,Terence Kongolo,nl NED,DF,Monaco,fr Ligue 1,23,1994,2.9,0,1,0,0.0,0.35,0.00,0.00,,9.9,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
1315,Yevhen Konoplyanka,ua UKR,"FW,MF",Schalke 04,de Bundesliga,27,1989,17.4,4,54,14,25.9,3.11,0.81,0.07,0.29,19.7,0,0,0,5.4,5.4,0.10,-1.4,-1.4,Matches
1316,Julian Korb,de GER,"DF,MF",Hannover 96,de Bundesliga,25,1992,26.0,1,10,4,40.0,0.39,0.15,0.10,0.25,15.6,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
1317,Laurent Koscielny,fr FRA,DF,Arsenal,eng Premier League,31,1985,24.7,2,9,2,22.2,0.36,0.08,0.22,1.00,9.4,0,0,0,1.9,1.9,0.21,+0.1,+0.1,Matches
1318,Filip Kostić,rs SRB,"FW,MF",Hamburger SV,de Bundesliga,24,1992,27.1,5,64,27,42.2,2.36,1.00,0.08,0.19,19.8,3,0,2,8.2,6.7,0.10,-3.2,-1.7,Matches
1319,Christian Kouakou,ci CIV,"MF,FW",Caen,fr Ligue 1,26,1991,9.4,1,27,6,22.2,2.87,0.64,0.04,0.17,15.2,0,0,0,3.2,3.2,0.12,-2.2,-2.2,Matches
1320,Rominigue Kouamé,ml MLI,"DF,MF",Lille,fr Ligue 1,20,1996,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1321,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1322,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,26,1991,34.1,5,17,7,41.2,0.50,0.21,0.29,0.71,10.6,0,0,0,2.6,2.6,0.16,+2.4,+2.4,Matches
1323,Jules Koundé,fr FRA,DF,Bordeaux,fr Ligue 1,18,1998,17.7,2,10,3,30.0,0.57,0.17,0.20,0.67,15.3,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches
1324,Cheikhou Kouyaté,sn SEN,MF,West Ham,eng Premier League,27,1989,31.1,2,23,4,17.4,0.74,0.13,0.09,0.50,14.2,0,0,0,2.7,2.7,0.12,-0.7,-0.7,Matches
1325,Mateo Kovačić,hr CRO,MF,Real Madrid,es La Liga,23,1994,11.0,0,9,2,22.2,0.82,0.18,0.00,0.00,23.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
1326,Maksym Koval,ua UKR,GK,La Coruña,es La Liga,24,1992,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1327,Dawid Kownacki,pl POL,FW,Sampdoria,it Serie A,20,1997,9.1,5,21,11,52.4,2.30,1.20,0.24,0.45,13.7,0,0,0,2.2,2.2,0.10,+2.8,+2.8,Matches
1328,Vincent Koziello,fr FRA,MF,Nice,fr Ligue 1,21,1995,9.0,0,4,1,25.0,0.45,0.11,0.00,0.00,21.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1329,Vincent Koziello,fr FRA,MF,Köln,de Bundesliga,21,1995,8.8,1,3,2,66.7,0.34,0.23,0.33,0.50,20.0,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
1330,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1331,Emil Krafth,se SWE,DF,Bologna,it Serie A,22,1994,10.5,0,2,1,50.0,0.19,0.10,0.00,0.00,16.0,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
1332,Oliver Kragl,de GER,MF,Crotone,it Serie A,27,1990,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1333,Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,26,1991,24.8,13,81,33,40.7,3.27,1.33,0.14,0.33,19.9,8,2,2,9.6,8.1,0.11,+3.4,+2.9,Matches
1334,Christoph Kramer,de GER,MF,Gladbach,de Bundesliga,26,1991,23.9,3,12,4,33.3,0.50,0.17,0.25,0.75,16.3,1,0,0,1.7,1.7,0.14,+1.3,+1.3,Matches
1335,Ladislav Krejčí,cz CZE,"MF,FW",Bologna,it Serie A,25,1992,4.4,0,3,3,100.0,0.68,0.68,0.00,0.00,15.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
1336,Rene Krhin,si SVN,MF,Nantes,fr Ligue 1,27,1990,14.6,1,11,2,18.2,0.75,0.14,0.09,0.50,14.3,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
1337,Bojan Krkić,es ESP,MF,Stoke City,eng Premier League,26,1990,0.8,0,1,0,0.0,1.27,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1338,Bojan Krkić,es ESP,"FW,MF",Alavés,es La Liga,26,1990,4.9,0,5,4,80.0,1.02,0.82,0.00,0.00,17.4,0,0,0,1.0,1.0,0.19,-1.0,-1.0,Matches
1339,Michael Krohn-Dehli,dk DEN,MF,La Coruña,es La Liga,34,1983,8.1,0,8,1,12.5,0.99,0.12,0.00,0.00,19.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
1340,Michael Krohn-Dehli,dk DEN,"MF,FW",Sevilla,es La Liga,34,1983,6.0,1,5,2,40.0,0.84,0.34,0.20,0.50,23.4,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
1341,Toni Kroos,de GER,MF,Real Madrid,es La Liga,27,1990,25.1,5,41,17,41.5,1.63,0.68,0.12,0.29,23.0,0,0,0,2.4,2.4,0.06,+2.6,+2.6,Matches
1342,Max Kruse,de GER,FW,Werder Bremen,de Bundesliga,29,1988,27.3,6,53,21,39.6,1.94,0.77,0.11,0.29,18.2,1,0,0,5.2,5.2,0.10,+0.8,+0.8,Matches
1343,Grzegorz Krychowiak,pl POL,MF,West Brom,eng Premier League,27,1990,18.2,0,17,3,17.6,0.93,0.16,0.00,0.00,23.3,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
1344,Lukas Kübler,de GER,"DF,MF",Freiburg,de Bundesliga,24,1992,12.8,0,4,1,25.0,0.31,0.08,0.00,0.00,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1345,Jasmin Kurtić,si SVN,"MF,FW",SPAL,it Serie A,28,1989,16.0,1,19,6,31.6,1.19,0.37,0.05,0.17,22.4,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
1346,Jasmin Kurtić,si SVN,MF,Atalanta,it Serie A,28,1989,7.4,2,11,4,36.4,1.50,0.54,0.18,0.50,13.2,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches
1347,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,24,1992,18.9,2,21,3,14.3,1.11,0.16,0.10,0.67,15.1,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
1348,Filip Kusić,rs SRB,"DF,MF",Köln,de Bundesliga,21,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1349,Zdravko Kuzmanović,rs SRB,MF,Málaga,es La Liga,29,1987,5.3,0,3,0,0.0,0.56,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1350,Han Kwang-song,kp PRK,FW,Cagliari,it Serie A,18,1998,3.1,0,3,1,33.3,0.97,0.32,0.00,0.00,12.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
1351,Enock Kwateng,fr FRA,DF,Nantes,fr Ligue 1,20,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1352,Alberto de la Bella,es ESP,DF,Real Sociedad,es La Liga,31,1985,17.0,0,6,1,16.7,0.35,0.06,0.00,0.00,20.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1353,Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,eng Premier League,26,1991,23.7,3,42,14,33.3,1.77,0.59,0.05,0.14,21.6,0,1,1,3.1,2.3,0.05,-0.1,-0.3,Matches
1354,Brighton Labeau,mq MTQ,FW,Amiens,fr Ligue 1,21,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1355,Gaëtan Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,23,1994,10.6,3,30,12,40.0,2.82,1.13,0.07,0.17,15.3,0,1,1,4.2,3.4,0.11,-1.2,-1.4,Matches
1356,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,26,1991,24.5,14,66,32,48.5,2.70,1.31,0.18,0.38,13.6,0,2,2,13.7,12.1,0.18,+0.3,-0.1,Matches
1357,Mehdi Lacen,dz ALG,MF,Málaga,es La Liga,33,1984,11.7,0,5,0,0.0,0.43,0.00,0.00,,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1358,Mehdi Lacen,dz ALG,MF,Getafe,es La Liga,33,1984,0.7,0,2,1,50.0,2.90,1.45,0.00,0.00,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1359,Léo Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,25,1992,8.6,0,8,0,0.0,0.93,0.00,0.00,,11.0,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
1360,Freddie Ladapo,eng ENG,FW,Crystal Palace,eng Premier League,24,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1361,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38.0,0,1,0,0.0,0.03,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1362,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,27,1989,17.0,2,5,2,40.0,0.29,0.12,0.40,1.00,11.3,0,0,0,0.5,0.5,0.10,+1.5,+1.5,Matches
1363,Konrad Laimer,at AUT,"DF,MF",RB Leipzig,de Bundesliga,20,1997,14.9,0,5,0,0.0,0.34,0.00,0.00,,22.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1364,Kenny Lala,mg MAD,DF,Strasbourg,fr Ligue 1,25,1991,30.3,3,12,2,16.7,0.40,0.07,0.00,0.00,30.4,2,3,3,2.8,0.5,0.04,+0.2,-0.5,Matches
1365,Adam Lallana,eng ENG,"MF,FW",Liverpool,eng Premier League,29,1988,2.7,0,11,0,0.0,4.06,0.00,0.00,,18.9,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches
1366,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1367,Érik Lamela,ar ARG,"FW,MF",Tottenham,eng Premier League,25,1992,9.4,2,20,6,30.0,2.14,0.64,0.10,0.33,14.2,0,0,0,3.4,3.4,0.17,-1.4,-1.4,Matches
1368,Ádám Lang,hu HUN,DF,Dijon,fr Ligue 1,24,1993,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1369,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,29,1988,10.6,0,6,1,16.7,0.57,0.09,0.00,0.00,14.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1370,Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,29,1988,4.6,0,1,0,0.0,0.22,0.00,0.00,,4.7,0,0,0,0.7,0.7,0.71,-0.7,-0.7,Matches
1371,Manuel Lanzini,ar ARG,"MF,FW",West Ham,eng Premier League,24,1993,22.7,5,43,16,37.2,1.90,0.71,0.12,0.31,21.0,7,0,1,3.9,3.1,0.07,+1.1,+1.9,Matches
1372,Gianluca Lapadula,pe PER,FW,Genoa,it Serie A,27,1990,16.6,6,49,7,14.3,2.95,0.42,0.06,0.43,13.7,0,3,4,10.5,7.3,0.15,-4.5,-4.3,Matches
1373,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,23,1994,9.0,0,3,0,0.0,0.33,0.00,0.00,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1374,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,23,1994,19.0,0,8,2,25.0,0.42,0.11,0.00,0.00,17.5,2,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
1375,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,33,1984,30.8,1,15,5,33.3,0.49,0.16,0.07,0.20,12.3,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
1376,Kevin Lasagna,it ITA,FW,Udinese,it Serie A,24,1992,23.7,12,72,31,43.1,3.04,1.31,0.17,0.39,14.8,2,0,0,11.3,11.3,0.16,+0.7,+0.7,Matches
1377,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,23,1993,32.5,3,12,8,66.7,0.37,0.25,0.25,0.38,12.2,0,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches
1378,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,28,1989,34.0,1,45,12,26.7,1.32,0.35,0.02,0.08,27.9,0,0,0,1.4,1.4,0.03,-0.4,-0.4,Matches
1379,Borja Lasso,es ESP,MF,Sevilla,es La Liga,23,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1380,Toni Lato,es ESP,"DF,MF",Valencia,es La Liga,19,1997,8.9,0,1,0,0.0,0.11,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
1381,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,27,1989,26.1,2,40,9,22.5,1.53,0.34,0.05,0.22,23.3,0,0,0,1.7,1.7,0.04,+0.3,+0.3,Matches
1382,Vincent Laurini,fr FRA,DF,Fiorentina,it Serie A,28,1989,17.9,0,1,0,0.0,0.06,0.00,0.00,,26.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1383,Wesley Lautoa,nc NCL,"DF,MF",Dijon,fr Ligue 1,29,1987,6.9,0,1,0,0.0,0.14,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
1384,Diego Laxalt,uy URU,DF,Genoa,it Serie A,24,1993,31.2,3,31,6,19.4,0.99,0.19,0.10,0.50,18.2,0,0,0,1.5,1.5,0.05,+1.5,+1.5,Matches
1385,Miguel Layún,mx MEX,DF,Sevilla,es La Liga,29,1988,13.2,2,22,5,22.7,1.67,0.38,0.09,0.40,23.9,2,0,0,0.8,0.8,0.04,+1.2,+1.2,Matches
1386,Achraf Lazaar,ma MAR,"MF,DF",Benevento,it Serie A,25,1992,5.3,1,7,4,57.1,1.32,0.75,0.14,0.25,20.1,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
1387,Valentino Lazaro,at AUT,"MF,FW",Hertha BSC,de Bundesliga,21,1996,20.7,2,17,11,64.7,0.82,0.53,0.12,0.18,18.6,2,0,0,2.2,2.2,0.13,-0.2,-0.2,Matches
1388,Darko Lazović,rs SRB,"DF,MF",Genoa,it Serie A,26,1990,13.8,0,9,2,22.2,0.65,0.14,0.00,0.00,16.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
1389,Manuel Lazzari,it ITA,DF,SPAL,it Serie A,23,1993,34.6,2,23,5,21.7,0.66,0.14,0.09,0.40,22.5,0,0,0,1.2,1.2,0.05,+0.8,+0.8,Matches
1390,Mickaël Le Bihan,fr FRA,"FW,MF",Nice,fr Ligue 1,27,1990,1.2,0,1,0,0.0,0.84,0.00,0.00,,8.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
1391,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,27,1989,28.2,0,12,0,0.0,0.43,0.00,0.00,,22.6,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
1392,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,21,1996,20.2,3,34,9,26.5,1.68,0.45,0.09,0.33,23.4,3,0,0,2.6,2.6,0.08,+0.4,+0.4,Matches
1393,Mathew Leckie,au AUS,"FW,MF",Hertha BSC,de Bundesliga,26,1991,20.6,5,23,8,34.8,1.12,0.39,0.22,0.63,15.7,0,0,0,2.0,2.0,0.09,+3.0,+3.0,Matches
1394,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1395,Pierre Lees-Melou,fr FRA,"MF,FW",Nice,fr Ligue 1,24,1993,32.1,5,48,20,41.7,1.49,0.62,0.08,0.20,20.6,0,1,1,4.4,3.6,0.07,+0.6,+0.4,Matches
1396,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,34,1983,16.8,0,12,3,25.0,0.71,0.18,0.00,0.00,31.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
1397,Lucas Leiva,br BRA,MF,Lazio,it Serie A,30,1987,32.0,2,27,9,33.3,0.84,0.28,0.07,0.22,16.0,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
1398,Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,26,1991,23.4,0,13,2,15.4,0.56,0.09,0.00,0.00,21.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
1399,Iñigo Lekue,es ESP,"DF,FW",Athletic Club,es La Liga,24,1993,23.5,0,18,5,27.8,0.77,0.21,0.00,0.00,26.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
1400,Thomas Lemar,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,1995,26.4,2,47,11,23.4,1.78,0.42,0.04,0.18,23.4,18,0,0,3.7,3.7,0.08,-1.7,-1.7,Matches
1401,Mario Lemina,ga GAB,MF,Southampton,eng Premier League,23,1993,19.1,1,23,5,21.7,1.20,0.26,0.04,0.20,25.1,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
1402,Mauricio Lemos,uy URU,DF,Sassuolo,it Serie A,21,1995,7.8,1,8,4,50.0,1.03,0.51,0.13,0.25,20.7,2,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
1403,Mauricio Lemos,uy URU,"DF,MF",Las Palmas,es La Liga,21,1995,14.0,0,16,2,12.5,1.14,0.14,0.00,0.00,27.4,9,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
1404,Dylan Lempereur,fr FRA,DF,Metz,fr Ligue 1,18,1998,1.6,0,1,0,0.0,0.63,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1405,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,22,1995,33.3,3,14,5,35.7,0.42,0.15,0.21,0.60,8.3,0,0,0,2.6,2.6,0.19,+0.4,+0.4,Matches
1406,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,30,1987,12.4,0,10,4,40.0,0.81,0.32,0.00,0.00,16.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
1407,Aaron Lennon,eng ENG,"FW,MF",Everton,eng Premier League,30,1987,8.8,0,4,1,25.0,0.45,0.11,0.00,0.00,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
1408,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1409,Pedro León,es ESP,"FW,MF",Eibar,es La Liga,30,1986,10.3,0,24,7,29.2,2.33,0.68,0.00,0.00,25.0,4,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
1410,Sergio León,es ESP,FW,Betis,es La Liga,28,1989,22.0,11,64,26,40.6,2.91,1.18,0.17,0.42,14.9,2,0,1,11.0,10.2,0.16,0.0,+0.8,Matches
1411,Lukas Lerager,dk DEN,MF,Bordeaux,fr Ligue 1,24,1993,36.5,3,41,12,29.3,1.12,0.33,0.07,0.25,17.0,0,0,0,4.4,4.4,0.11,-1.4,-1.4,Matches
1412,Mehdi Léris,dz ALG,"MF,FW",Chievo,it Serie A,19,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1413,Jefferson Lerma,co COL,MF,Levante,es La Liga,22,1994,23.7,0,27,1,3.7,1.14,0.04,0.00,0.00,24.2,0,0,0,1.2,1.2,0.04,-1.2,-1.2,Matches
1414,Maxime Lestienne,be BEL,MF,Málaga,es La Liga,25,1992,7.4,0,11,1,9.1,1.48,0.13,0.00,0.00,14.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
1415,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1416,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,27,1990,23.8,1,22,5,22.7,0.92,0.21,0.05,0.20,27.1,1,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
1417,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,24,1993,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1418,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,28,1988,24.1,29,120,48,40.0,4.97,1.99,0.19,0.48,13.9,5,6,7,27.9,22.4,0.19,+1.1,+0.6,Matches
1419,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,32,1985,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1420,Stephan Lichtsteiner,ch SUI,DF,Juventus,it Serie A,33,1984,18.9,0,3,0,0.0,0.16,0.00,0.00,,30.5,0,0,1,0.9,0.1,0.03,-0.9,-0.1,Matches
1421,Dimitri Liénard,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,29,1988,28.9,5,51,17,33.3,1.76,0.59,0.08,0.24,25.9,14,1,1,3.4,2.6,0.05,+1.6,+1.4,Matches
1422,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,21,1996,9.6,0,2,0,0.0,0.21,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1423,Lucas Lima,br BRA,"DF,FW",Nantes,fr Ligue 1,25,1991,29.5,2,32,7,21.9,1.08,0.24,0.06,0.29,25.4,12,0,0,1.4,1.4,0.04,+0.6,+0.6,Matches
1424,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,23,1994,14.3,0,1,0,0.0,0.07,0.00,0.00,,34.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
1425,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,22,1995,23.8,3,26,7,26.9,1.09,0.29,0.12,0.43,19.8,0,0,0,2.2,2.2,0.09,+0.8,+0.8,Matches
1426,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,eng Premier League,24,1992,20.2,8,56,23,41.1,2.77,1.14,0.14,0.35,17.8,0,0,0,7.1,7.1,0.13,+0.9,+0.9,Matches
1427,Pol Lirola,es ESP,"DF,FW",Sassuolo,it Serie A,19,1997,22.5,0,7,2,28.6,0.31,0.09,0.00,0.00,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
1428,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,27,1989,29.7,2,15,4,26.7,0.50,0.13,0.13,0.50,18.2,0,0,0,2.3,2.3,0.16,-0.3,-0.3,Matches
