Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
240,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,4.7,1,1,1,100.0,0.21,0.21,1.00,1.00,7.4,0,0,0,0.2,0.2,0.15,+0.8,+0.8,Matches
241,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
242,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,21.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
243,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
244,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
245,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15.0,4,46,20,43.5,3.07,1.33,0.09,0.20,12.6,1,0,0,4.7,4.7,0.10,-0.7,-0.7,Matches
246,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,1,12,6,50.0,0.50,0.25,0.08,0.17,14.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
247,Karim Bellarabi,de GER,"MF,FW",Leverkusen,de Bundesliga,27,1990,12.7,1,43,16,37.2,3.38,1.26,0.02,0.06,21.1,0,0,0,2.9,2.9,0.07,-1.9,-1.9,Matches
248,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,33.9,2,29,8,27.6,0.86,0.24,0.07,0.25,17.3,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
249,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,0,1,0,0.0,0.04,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
250,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,29.8,10,84,27,32.1,2.82,0.91,0.12,0.37,14.5,0,0,2,10.5,8.9,0.11,-0.5,+1.1,Matches
251,Chaouki Ben Saada,tn TUN,"FW,MF",Troyes,fr Ligue 1,33,1984,3.8,0,8,1,12.5,2.11,0.26,0.00,0.00,27.4,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
252,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,9,48,25,52.1,2.54,1.32,0.19,0.36,11.7,1,0,0,12.3,12.3,0.26,-3.3,-3.3,Matches
253,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
254,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,9.0,1,5,3,60.0,0.55,0.33,0.20,0.33,11.8,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
255,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,17.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
256,Marco Benassi,it ITA,"MF,FW",Fiorentina,it Serie A,22,1994,30.9,5,70,26,37.1,2.26,0.84,0.07,0.19,21.6,0,0,0,4.0,4.0,0.06,+1.0,+1.0,Matches
257,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,2,13,4,30.8,0.67,0.21,0.15,0.50,11.1,0,0,0,2.5,2.5,0.20,-0.5,-0.5,Matches
258,Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,28,1989,17.7,2,21,5,23.8,1.18,0.28,0.10,0.40,16.1,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
259,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,2,15,6,40.0,0.58,0.23,0.13,0.33,9.5,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
260,László Bénes,sk SVK,MF,Gladbach,de Bundesliga,19,1997,0.4,0,1,0,0.0,2.37,0.00,0.00,,32.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
261,Nicolas Benezet,fr FRA,"FW,MF",Guingamp,fr Ligue 1,26,1991,18.3,3,28,10,35.7,1.53,0.55,0.11,0.30,18.1,4,0,0,2.5,2.5,0.09,+0.5,+0.5,Matches
262,Marcel Benger,de GER,MF,Gladbach,de Bundesliga,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
263,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Charlison Benschop,cw CUW,"MF,DF",Hannover 96,de Bundesliga,27,1989,2.0,1,5,1,20.0,2.45,0.49,0.20,1.00,12.4,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
265,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,0,19,3,15.8,0.73,0.12,0.00,0.00,19.4,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
266,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,4,11,4,36.4,0.98,0.36,0.00,0.00,30.9,0,4,4,3.5,0.3,0.03,+0.5,-0.3,Matches
267,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
268,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,3,58,17,29.3,2.33,0.68,0.03,0.12,12.5,0,1,2,10.2,8.6,0.15,-7.2,-6.6,Matches
269,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,5,61,15,24.6,2.55,0.63,0.05,0.20,13.2,0,2,2,12.8,11.2,0.19,-7.8,-8.2,Matches
270,Yassine Benzia,dz ALG,"MF,FW",Lille,fr Ligue 1,22,1994,25.4,1,29,7,24.1,1.14,0.28,0.03,0.14,21.9,1,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
271,Saido Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,0,9,3,33.3,1.64,0.55,0.00,0.00,18.9,0,0,1,2.0,1.2,0.14,-2.0,-1.2,Matches
272,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,4,81,23,28.4,3.18,0.90,0.02,0.09,22.6,5,2,4,8.9,5.8,0.07,-4.9,-3.8,Matches
273,Yuri Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,2,10,4,40.0,0.52,0.21,0.20,0.50,22.6,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches
