Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
306,Václav Jemelka,cz CZE,DF,cz Viktoria Plzeň,27,1995,4.0,96,122,78.7,1798,945,42,43,97.7,43,50,86.0,10,16,62.5,1,0.5,0.4,+0.5,3,10,3,1,10,Matches
307,Moritz Jenz,de GER,DF,sct Celtic,23,1999,6.0,427,457,93.4,8050,2824,136,145,93.8,267,283,94.3,23,27,85.2,0,0.0,0.1,0.0,0,28,0,0,29,Matches
308,Juan Jesus,br BRA,DF,it Napoli,31,1991,2.3,137,151,90.7,2363,800,53,57,93.0,76,82,92.7,4,5,80.0,0,0.0,0.0,0.0,0,11,0,0,12,Matches
309,Erik Jirka,sk SVK,"FW,MF",cz Viktoria Plzeň,24,1997,3.0,49,74,66.2,725,233,26,34,76.5,19,22,86.4,1,10,10.0,0,0.2,0.1,-0.2,5,10,2,0,8,Matches
310,Ísak Jóhannesson,is ISL,"FW,MF",dk FC Copenhagen,19,2003,3.2,56,83,67.5,949,335,29,33,87.9,18,24,75.0,6,17,35.3,0,0.8,0.6,-0.8,4,1,2,0,5,Matches
311,Curtis Jones,eng ENG,"FW,MF",eng Liverpool,21,2001,1.1,36,45,80.0,430,79,23,27,85.2,9,10,90.0,0,0,,0,0.1,0.1,-0.1,1,0,1,0,3,Matches
312,Frenkie de Jong,nl NED,MF,es Barcelona,25,1997,2.6,152,175,86.9,2389,565,79,84,94.0,55,61,90.2,12,13,92.3,0,0.2,0.3,-0.2,2,18,3,1,20,Matches
313,Joan Jordán,es ESP,MF,es Sevilla,28,1994,2.9,157,171,91.8,2855,679,65,70,92.9,76,82,92.7,14,16,87.5,0,0.1,0.4,-0.1,1,11,1,0,20,Matches
314,Jorginho,it ITA,MF,eng Chelsea,30,1991,4.6,334,361,92.5,5539,1371,158,164,96.3,147,158,93.0,19,25,76.0,0,0.3,0.4,-0.3,7,36,6,0,40,Matches
315,Jota,pt POR,FW,sct Celtic,23,1999,3.2,84,111,75.7,1516,494,36,41,87.8,35,45,77.8,11,18,61.1,0,0.5,0.8,-0.5,9,6,13,7,11,Matches
316,Diogo Jota,pt POR,"FW,MF",eng Liverpool,25,1996,2.9,74,95,77.9,970,270,42,51,82.4,22,27,81.5,2,4,50.0,4,1.3,0.5,+2.7,12,6,5,1,15,Matches
317,Vinicius Júnior,br BRA,FW,es Real Madrid,22,2000,10.8,333,432,77.1,4211,863,223,252,88.5,67,88,76.1,18,39,46.2,6,2.7,2.7,+3.3,18,12,7,2,20,Matches
318,Josip Juranović,hr CRO,DF,sct Celtic,26,1995,6.0,281,342,82.2,4837,1751,120,136,88.2,138,156,88.5,18,30,60.0,0,0.9,0.8,-0.9,6,35,14,7,45,Matches
319,Ferran Jutglà,es ESP,FW,be Club Brugge,23,1999,5.7,94,131,71.8,1267,165,50,68,73.5,27,34,79.4,5,10,50.0,2,1.4,0.8,+0.6,4,6,3,0,7,Matches
320,Issa Kaboré,bf BFA,DF,fr Marseille,21,2001,1.3,44,51,86.3,571,174,26,27,96.3,13,14,92.9,1,4,25.0,0,0.0,0.0,0.0,0,4,0,0,4,Matches
321,Pierre Kalulu,fr FRA,DF,it Milan,22,2000,8.3,422,481,87.7,8188,3372,151,173,87.3,209,219,95.4,56,78,71.8,0,0.2,0.2,-0.2,3,36,3,2,35,Matches
322,Lukáš Kalvach,cz CZE,MF,cz Viktoria Plzeň,27,1995,5.5,171,238,71.8,3521,1349,60,75,80.0,74,89,83.1,30,56,53.6,0,0.6,0.7,-0.6,8,18,4,1,24,Matches
323,Daichi Kamada,jp JPN,"MF,FW",de Eint Frankfurt,25,1996,7.7,250,316,79.1,4073,1228,139,160,86.9,88,109,80.7,21,38,55.3,0,0.4,0.4,-0.4,3,22,7,0,34,Matches
324,Glen Kamara,fi FIN,MF,sct Rangers,26,1995,1.4,39,40,97.5,617,124,21,21,100.0,16,17,94.1,2,2,100.0,0,0.1,0.0,-0.1,2,1,0,0,3,Matches
325,Dijon Kameri,at AUT,MF,at RB Salzburg,18,2004,1.3,32,41,78.0,479,160,17,20,85.0,12,15,80.0,1,3,33.3,0,0.2,0.1,-0.2,2,5,2,2,4,Matches
326,Kevin Kampl,si SVN,MF,de RB Leipzig,31,1990,3.0,174,185,94.1,2611,665,100,106,94.3,62,64,96.9,7,9,77.8,0,0.1,0.1,-0.1,2,17,6,0,23,Matches
327,Harry Kane,eng ENG,FW,eng Tottenham,29,1993,8.0,160,251,63.7,2774,865,73,107,68.2,52,71,73.2,24,38,63.2,2,1.1,0.7,+0.9,9,29,8,1,38,Matches
328,N'Golo Kanté,fr FRA,MF,eng Chelsea,31,1991,1.8,64,79,81.0,806,219,40,46,87.0,17,21,81.0,2,4,50.0,0,0.2,0.3,-0.2,3,4,3,0,11,Matches
329,Mamoudou Karamoko,fr FRA,FW,dk FC Copenhagen,22,1999,0.5,2,3,66.7,31,9,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
330,Moise Kean,it ITA,"FW,MF",it Juventus,22,2000,1.2,12,18,66.7,235,57,4,4,100.0,6,6,100.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,5,Matches
331,Ryan Kent,eng ENG,"FW,MF",sct Rangers,25,1996,5.6,98,120,81.7,1407,272,60,64,93.8,32,41,78.0,4,8,50.0,0,0.4,0.4,-0.4,3,6,6,3,12,Matches
332,Franck Kessié,ci CIV,MF,es Barcelona,25,1996,3.0,160,185,86.5,2424,385,93,106,87.7,55,60,91.7,9,11,81.8,0,0.2,0.2,-0.2,2,9,4,1,8,Matches
333,Davit Khocholava,ge GEO,DF,dk FC Copenhagen,29,1993,4.8,191,222,86.0,3805,1218,57,62,91.9,110,116,94.8,23,40,57.5,0,0.0,0.0,0.0,0,9,0,0,7,Matches
