Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
180,Stefano Sorrentino,it ITA,GK,Palermo,it Serie A,35,1979,35.0,51,,,,,,,,,,,,,,,,,,,,,,,,,Matches
181,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,35,1979,35.6,49,,,,,,,,,,,,,,,,,,,,,,,,,Matches
182,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,22,1992,37.0,55,,,,,,,,,,,,,,,,,,,,,,,,,Matches
183,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,21,1992,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
184,Maarten Stekelenburg,nl NED,GK,Monaco,fr Ligue 1,31,1982,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
185,Marco Storari,it ITA,GK,Juventus,it Serie A,37,1977,5.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
186,Richard Strebinger,at AUT,GK,Werder Bremen,de Bundesliga,21,1993,1.4,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
187,Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,29,1984,37.0,25,,,,,,,,,,,,,,,,,,,,,,,,,Matches
188,Wojciech Szczęsny,pl POL,GK,Arsenal,eng Premier League,24,1990,16.6,21,,,,,,,,,,,,,,,,,,,,,,,,,Matches
189,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,it Serie A,28,1986,9.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
190,Toño,es ESP,GK,Rayo Vallecano,es La Liga,34,1979,19.2,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
191,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,24,1990,22.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
192,Gerhard Tremmel,de GER,GK,Swansea City,eng Premier League,35,1978,1.2,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
193,Przemysław Tytoń,pl POL,GK,Elche,es La Liga,27,1987,31.7,47,,,,,,,,,,,,,,,,,,,,,,,,,Matches
194,Samir Ujkani,xk KVX,GK,Palermo,it Serie A,26,1988,3.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
195,Sven Ulreich,de GER,GK,Stuttgart,de Bundesliga,25,1988,28.0,44,,,,,,,,,,,,,,,,,,,,,,,,,Matches
196,Víctor Valdés,es ESP,GK,Manchester Utd,eng Premier League,32,1982,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
197,Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,34,1980,38.0,55,,,,,,,,,,,,,,,,,,,,,,,,,Matches
198,Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,28,1985,28.2,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
199,Michel Vorm,nl NED,GK,Tottenham,eng Premier League,30,1983,4.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
200,Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,33,1980,25.0,32,,,,,,,,,,,,,,,,,,,,,,,,,Matches
201,Timon Wellenreuther,de GER,GK,Schalke 04,de Bundesliga,18,1995,7.5,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
202,Felix Wiedwald,de GER,GK,Eint Frankfurt,de Bundesliga,24,1990,9.0,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
203,Raphael Wolf,de GER,GK,Werder Bremen,de Bundesliga,26,1988,26.6,51,,,,,,,,,,,,,,,,,,,,,,,,,Matches
204,Yoel,es ESP,GK,Valencia,es La Liga,25,1988,1.2,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
205,Ron-Robert Zieler,de GER,GK,Hannover 96,de Bundesliga,25,1989,34.0,56,,,,,,,,,,,,,,,,,,,,,,,,,Matches
206,Eñaut Zubikarai,es ESP,GK,Real Sociedad,es La Liga,30,1984,16.0,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
