Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
743,Mattia Vitale,it ITA,MF,it Juventus,17,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
744,Uroš Vitas,rs SRB,DF,be Gent,23,1992,0,,,,,0,,0,0,,4,,,,,,,Matches
745,Vitolo,es ESP,"FW,MF",es Sevilla,25,1989,5,450,90,83.3,5.0,5,,5,0,,0,1.20,8,9,-1,-0.20,+1.80,Matches
746,Rai Vloet,nl NED,"FW,MF",nl PSV Eindhoven,20,1995,1,1,1,0.1,0.0,0,,0,1,,2,0.00,0,0,0,0.00,-0.12,Matches
747,Praxitelis Vouros,gr GRE,DF,gr Olympiacos,20,1995,1,3,3,0.6,0.0,0,,0,1,,1,3.00,0,0,0,0.00,+1.17,Matches
748,Theo Walcott,eng ENG,"FW,MF",eng Arsenal,26,1989,6,318,53,44.2,3.5,3,,1,3,,0,1.00,6,6,0,0.00,+0.45,Matches
749,Danny Welbeck,eng ENG,"FW,MF",eng Arsenal,24,1990,2,91,46,12.6,1.0,1,,0,1,,0,0.00,1,3,-2,-1.98,-1.98,Matches
750,Wendell,br BRA,DF,de Leverkusen,22,1993,6,540,90,100.0,6.0,6,,6,0,,0,1.13,13,12,+1,+0.17,,Matches
751,Oscar Wendt,se SWE,"DF,MF",de Gladbach,29,1985,6,534,89,98.9,5.9,6,,5,0,,0,0.83,8,11,-3,-0.51,+14.49,Matches
752,Pontus Wernbloom,se SWE,"FW,MF",ru CSKA Moscow,29,1986,6,540,90,100.0,6.0,6,,6,0,,0,1.10,5,9,-4,-0.67,,Matches
753,Jordy de Wijs,nl NED,DF,nl PSV Eindhoven,20,1995,1,16,16,2.1,0.2,0,,0,1,,4,0.00,0,0,0,0.00,-0.12,Matches
754,Gustav Wikheim,no NOR,"FW,MF",be Gent,22,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
755,Johan Wiland,se SWE,GK,se Malmö,34,1981,6,540,90,100.0,6.0,6,,6,0,,0,0.90,1,21,-20,-3.33,,Matches
756,Jetro Willems,nl NED,"DF,MF",nl PSV Eindhoven,21,1994,2,165,83,22.0,1.8,2,,1,0,,0,0.50,0,0,0,0.00,-0.15,Matches
757,Willian,br BRA,"FW,MF",eng Chelsea,26,1988,8,642,80,89.2,7.1,8,,5,0,,0,1.63,11,7,+4,+0.56,-4.05,Matches
758,James Wilson,eng ENG,"FW,MF",eng Manchester Utd,19,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
759,Axel Witsel,be BEL,"DF,MF",ru Zenit,26,1989,7,630,90,87.5,7.0,7,,7,0,,0,2.14,13,7,+6,+0.86,+1.86,Matches
