Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
281,Isco,es ESP,"FW,MF",es Real Madrid,26,1992,2.8,271,0,13,135,125,15,271,6,5,83.3,1,16.7,219,1190,562,12,14,4,5,7,248,35,Matches
282,Nicolas Isimat-Mirin,fr FRA,DF,nl PSV Eindhoven,26,1991,0.3,10,3,8,2,0,0,10,0,0,,0,,4,21,3,0,0,0,0,0,5,0,Matches
283,Ismaily,br BRA,DF,ua Shakhtar,28,1990,6.0,443,19,100,180,168,30,443,13,5,38.5,8,61.5,283,1672,961,29,27,7,13,12,296,68,Matches
284,Jardel,br BRA,DF,pt Benfica,32,1986,4.0,210,20,94,106,13,10,210,1,1,100.0,0,0.0,116,654,339,0,1,0,2,2,127,0,Matches
285,Jemerson,br BRA,DF,fr Monaco,25,1992,5.0,289,24,148,146,0,0,289,0,0,,0,,194,1150,643,4,0,0,2,0,195,0,Matches
286,Gabriel Jesus,br BRA,FW,eng Manchester City,21,1997,4.2,168,6,15,57,100,25,166,7,3,42.9,4,57.1,123,608,257,13,5,9,10,3,129,42,Matches
287,Juan Jesus,br BRA,DF,it Roma,27,1991,2.4,162,13,92,71,0,0,162,0,0,,0,,101,358,117,0,0,0,0,0,110,0,Matches
288,Joelinton,br BRA,FW,de Hoffenheim,21,1996,4.3,168,5,24,93,52,15,168,15,14,93.3,1,6.7,104,755,375,13,7,6,11,14,115,16,Matches
289,Jonas,br BRA,FW,pt Benfica,34,1984,1.2,65,0,4,45,16,2,65,1,1,100.0,0,0.0,42,128,30,0,1,0,4,1,48,6,Matches
290,Phil Jones,eng ENG,DF,eng Manchester Utd,26,1992,3.0,167,20,81,75,11,0,167,1,1,100.0,0,0.0,67,323,190,4,5,0,1,0,96,2,Matches
291,Frenkie de Jong,nl NED,MF,nl Ajax,21,1997,10.9,938,33,215,601,129,8,938,19,14,73.7,5,26.3,597,3733,2067,27,14,1,13,12,641,8,Matches
292,Luuk de Jong,nl NED,"FW,MF",nl PSV Eindhoven,27,1990,5.9,234,18,51,121,65,25,234,3,1,33.3,2,66.7,77,259,109,5,2,1,12,7,149,18,Matches
293,Jorge,br BRA,"MF,FW",pt Porto,22,1996,0.2,9,0,3,4,2,0,9,1,0,0.0,1,100.0,2,14,0,0,0,0,0,0,2,1,Matches
