Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
62,Filip Benković,hr CRO,DF,hr Dinamo Zagreb,18,1997,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
63,Karim Benzema,fr FRA,FW,es Real Madrid,27,1987,6.7,,,,,,,,,,,,,,,0,,,,,,Matches
64,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,33,1982,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
65,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,33,1982,1.5,,,,,,,,,,,,,,,0,,,,,,Matches
66,Steven Bergwijn,nl NED,"FW,MF",nl PSV Eindhoven,17,1997,0.1,,,,,,,,,,,,,,,1,,,,,,Matches
67,Bernard,br BRA,"FW,MF",ua Shakhtar,22,1992,3.4,,,,,,,,,,,,,,,1,,,,,,Matches
68,Juan Bernat,es ESP,"DF,FW",de Bayern Munich,22,1993,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
69,Milan Biševac,rs SRB,DF,fr Lyon,31,1983,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
70,Daley Blind,nl NED,"DF,MF",eng Manchester Utd,25,1990,5.3,,,,,,,,,,,,,,,1,,,,,,Matches
71,Jérôme Boateng,de GER,DF,de Bayern Munich,26,1988,6.0,,,,,,,,,,,,,,,1,,,,,,Matches
72,Dmitri Bogayev,ru RUS,FW,ru Zenit,21,1994,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
73,Leonardo Bonucci,it ITA,DF,it Juventus,28,1987,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
74,Wilfried Bony,ci CIV,FW,eng Manchester City,26,1988,3.1,,,,,,,,,,,,,,,3,,,,,,Matches
75,Cameron Borthwick-Jackson,eng ENG,"DF,MF",eng Manchester Utd,18,1997,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
76,Alberto Botía,es ESP,DF,gr Olympiacos,26,1989,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
77,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,25,1990,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
78,Julian Brandt,de GER,"FW,MF",de Leverkusen,19,1996,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
79,Joshua Brenet,cw CUW,DF,nl PSV Eindhoven,21,1994,6.4,,,,,,,,,,,,,,,0,,,,,,Matches
80,Franz Brorsson,se SWE,DF,se Malmö,19,1996,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
81,Roel Brouwers,nl NED,DF,de Gladbach,33,1981,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
82,Jeffrey Bruma,nl NED,DF,nl PSV Eindhoven,23,1991,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
83,Gianluigi Buffon,it ITA,GK,it Juventus,37,1978,8.3,,,,,,,,,,,,,,,0,,,,,,Matches
84,Umut Bulut,tr TUR,"FW,MF",tr Galatasaray,32,1983,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
85,Sergio Busquets,es ESP,MF,es Barcelona,27,1988,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
86,Vitaliy Buyalskyi,ua UKR,MF,ua Dynamo Kyiv,22,1993,4.5,,,,,,,,,,,,,,,0,,,,,,Matches
87,Willy Caballero,ar ARG,GK,eng Manchester City,33,1981,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
88,Gary Cahill,eng ENG,DF,eng Chelsea,29,1985,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
89,Hakan Çalhanoğlu,tr TUR,"FW,MF",de Leverkusen,21,1994,5.6,,,,,,,,,,,,,,,3,,,,,,Matches
90,Daniel Caligiuri,it ITA,"DF,FW",de Wolfsburg,27,1988,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
91,Juan Cámara,es ESP,MF,es Barcelona,21,1994,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
92,Esteban Cambiasso,ar ARG,MF,gr Olympiacos,34,1980,2.7,,,,,,,,,,,,,,,0,,,,,,Matches
93,Joel Campbell,cr CRC,"FW,MF",eng Arsenal,23,1992,3.0,,,,,,,,,,,,,,,2,,,,,,Matches
94,Roger Cañas,co COL,MF,kz FC Astana,25,1990,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
95,João Cancelo,pt POR,"DF,MF",es Valencia,21,1994,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
96,Mehdi Carcela,ma MAR,"FW,MF",pt Benfica,26,1989,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
97,Lionel Carole,fr FRA,"DF,MF",tr Galatasaray,24,1991,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
98,Yannick Carrasco,be BEL,"DF,FW",es Atlético Madrid,21,1993,6.3,,,,,,,,,,,,,,,2,,,,,,Matches
99,Michael Carrick,eng ENG,MF,eng Manchester Utd,34,1981,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
100,Dani Carvajal,es ESP,DF,es Real Madrid,23,1992,7.6,,,,,,,,,,,,,,,1,,,,,,Matches
101,Eduardo Carvalho,pt POR,GK,hr Dinamo Zagreb,32,1982,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
102,Felipe Carvalho,uy URU,DF,se Malmö,21,1993,1.6,,,,,,,,,,,,,,,0,,,,,,Matches
103,Casemiro,br BRA,MF,es Real Madrid,23,1992,10.3,,,,,,,,,,,,,,,0,,,,,,Matches
104,Kiko Casilla,es ESP,GK,es Real Madrid,28,1986,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
105,Iker Casillas,es ESP,GK,pt Porto,34,1981,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
106,Koen Casteels,be BEL,GK,de Wolfsburg,23,1992,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
107,Aleksandrs Cauņa,lv LVA,"FW,MF",ru CSKA Moscow,27,1988,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
108,Edinson Cavani,uy URU,"FW,MF",fr Paris S-G,28,1987,7.1,,,,,,,,,,,,,,,1,,,,,,Matches
109,Santi Cazorla,es ESP,MF,eng Arsenal,30,1984,4.9,,,,,,,,,,,,,,,1,,,,,,Matches
110,Petr Čech,cz CZE,GK,eng Arsenal,33,1982,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
111,Júlio César,br BRA,GK,pt Benfica,35,1979,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
112,Calum Chambers,eng ENG,"DF,MF",eng Arsenal,20,1995,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
113,Aurélien Chedjou,cm CMR,DF,tr Galatasaray,30,1985,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
114,Sergei Chernik,by BLR,GK,by BATE Borisov,27,1988,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
115,Denis Cheryshev,ru RUS,"FW,MF",es Real Madrid,24,1990,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
116,Giorgio Chiellini,it ITA,DF,it Juventus,30,1984,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
117,Andreas Christensen,dk DEN,"DF,MF",de Gladbach,19,1996,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
118,Gaël Clichy,fr FRA,DF,eng Manchester City,30,1985,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
119,Coke,es ESP,"DF,MF",es Sevilla,28,1987,5.5,,,,,,,,,,,,,,,1,,,,,,Matches
120,Emre Çolak,tr TUR,MF,tr Galatasaray,24,1991,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
121,Kingsley Coman,fr FRA,"FW,MF",de Bayern Munich,19,1996,4.7,,,,,,,,,,,,,,,5,,,,,,Matches
122,Francis Coquelin,fr FRA,"DF,MF",eng Arsenal,24,1991,4.4,,,,,,,,,,,,,,,0,,,,,,Matches
123,Ante Ćorić,hr CRO,MF,hr Dinamo Zagreb,18,1997,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
124,Maxwel Cornet,ci CIV,"DF,FW",fr Lyon,18,1996,1.4,,,,,,,,,,,,,,,0,,,,,,Matches
125,Jesús Corona,mx MEX,"DF,FW",pt Porto,22,1993,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
126,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,20,1995,1.4,,,,,,,,,,,,,,,0,,,,,,Matches
127,Diego Costa,es ESP,FW,eng Chelsea,26,1988,7.4,,,,,,,,,,,,,,,1,,,,,,Matches
128,Douglas Costa,br BRA,"FW,MF",de Bayern Munich,24,1990,10.3,,,,,,,,,,,,,,,3,,,,,,Matches
129,Manuel da Costa,ma MAR,DF,gr Olympiacos,29,1986,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
130,Kalifa Coulibaly,ml MLI,FW,be Gent,23,1991,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
131,Thibaut Courtois,be BEL,GK,eng Chelsea,23,1992,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
132,Domenico Criscito,it ITA,"DF,MF",ru Zenit,28,1986,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
133,Bryan Cristante,it ITA,"DF,MF",pt Benfica,20,1995,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
134,Juan Cuadrado,co COL,"DF,FW",it Juventus,27,1988,5.2,,,,,,,,,,,,,,,0,,,,,,Matches
135,Mahmoud Dahoud,de GER,MF,de Gladbach,19,1996,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
136,Danilo,br BRA,"DF,MF",es Real Madrid,24,1991,6.4,,,,,,,,,,,,,,,1,,,,,,Matches
137,Danny,pt POR,MF,ru Zenit,31,1983,8.0,,,,,,,,,,,,,,,2,,,,,,Matches
138,Dante,br BRA,DF,de Wolfsburg,31,1983,9.0,,,,,,,,,,,,,,,0,,,,,,Matches
139,Sergi Darder,es ESP,MF,fr Lyon,21,1993,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
140,Matteo Darmian,it ITA,"DF,MF",eng Manchester Utd,25,1989,3.4,,,,,,,,,,,,,,,0,,,,,,Matches
141,Eli Dasa,il ISR,"DF,MF",il Maccabi Tel Aviv,22,1992,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
142,Kevin De Bruyne,be BEL,"FW,MF",eng Manchester City,24,1991,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
143,Rodrigo De Paul,ar ARG,"FW,MF",es Valencia,21,1994,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
144,Daniele De Rossi,it ITA,"DF,MF",it Roma,32,1983,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
145,Morgan De Sanctis,it ITA,GK,it Roma,38,1977,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
146,Mathieu Debuchy,fr FRA,DF,eng Arsenal,30,1985,2.1,,,,,,,,,,,,,,,0,,,,,,Matches
147,Denys Dedechko,ua UKR,MF,kz FC Astana,28,1987,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
148,Brecht Dejaegere,be BEL,MF,be Gent,24,1991,4.5,,,,,,,,,,,,,,,1,,,,,,Matches
149,Fabian Delph,eng ENG,"DF,MF",eng Manchester City,25,1989,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
150,Martín Demichelis,ar ARG,"DF,MF",eng Manchester City,34,1980,2.7,,,,,,,,,,,,,,,0,,,,,,Matches
151,Jason Denayer,be BEL,DF,tr Galatasaray,20,1995,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
152,Dentinho,br BRA,"FW,MF",ua Shakhtar,26,1989,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
153,Laurent Depoitre,be BEL,FW,be Gent,26,1988,6.9,,,,,,,,,,,,,,,0,,,,,,Matches
154,Gregory van der Wiel,nl NED,DF,fr Paris S-G,27,1988,4.2,,,,,,,,,,,,,,,1,,,,,,Matches
155,Ángel Di María,ar ARG,"FW,MF",fr Paris S-G,27,1988,8.5,,,,,,,,,,,,,,,3,,,,,,Matches
156,Lucas Digne,fr FRA,"DF,MF",it Roma,22,1993,8.0,,,,,,,,,,,,,,,2,,,,,,Matches
157,Pavel Dolgov,ru RUS,FW,ru Zenit,18,1996,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
158,Jaume Doménech,es ESP,GK,es Valencia,24,1990,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
159,Álvaro Domínguez,es ESP,DF,de Gladbach,26,1989,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
160,Chori Domínguez,ar ARG,"FW,MF",gr Olympiacos,34,1981,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
161,Giulio Donati,it ITA,DF,de Leverkusen,25,1990,3.8,,,,,,,,,,,,,,,0,,,,,,Matches
162,Bas Dost,nl NED,FW,de Wolfsburg,26,1989,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
163,Seydou Doumbia,ci CIV,FW,ru CSKA Moscow,27,1987,4.7,,,,,,,,,,,,,,,1,,,,,,Matches
164,Aleksandar Dragović,at AUT,"DF,MF",ua Dynamo Kyiv,24,1991,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
165,Julian Draxler,de GER,"FW,MF",de Wolfsburg,21,1993,7.3,,,,,,,,,,,,,,,2,,,,,,Matches
166,Josip Drmić,ch SUI,FW,de Gladbach,22,1992,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
167,Kaspars Dubra,lv LVA,DF,by BATE Borisov,24,1990,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
168,Paulo Dybala,ar ARG,"FW,MF",it Juventus,21,1993,4.7,,,,,,,,,,,,,,,0,,,,,,Matches
169,Alan Dzagoev,ru RUS,MF,ru CSKA Moscow,25,1990,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
170,Edin Džeko,ba BIH,FW,it Roma,29,1986,5.3,,,,,,,,,,,,,,,1,,,,,,Matches
171,Bauyrzhan Dzholchiyev,kz KAZ,"FW,MF",kz FC Astana,25,1990,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
172,Artem Dzyuba,ru RUS,FW,ru Zenit,26,1988,7.0,,,,,,,,,,,,,,,2,,,,,,Matches
173,Ederson,br BRA,GK,pt Benfica,21,1993,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
174,Omar Elabdellaoui,no NOR,"DF,MF",gr Olympiacos,23,1991,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
175,Eliseu,pt POR,"DF,MF",pt Benfica,31,1983,9.7,,,,,,,,,,,,,,,2,,,,,,Matches
176,Mohamed Elneny,eg EGY,MF,eng Arsenal,23,1992,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
177,Nico Elvedi,ch SUI,DF,de Gladbach,18,1996,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
178,Roman Eremenko,fi FIN,MF,ru CSKA Moscow,28,1987,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
179,Nenad Erić,kz KAZ,GK,kz FC Astana,33,1982,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
180,Patrice Evra,fr FRA,DF,it Juventus,34,1981,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
181,Cesc Fàbregas,es ESP,"FW,MF",eng Chelsea,28,1987,6.7,,,,,,,,,,,,,,,1,,,,,,Matches
182,Iago Falque,es ESP,"FW,MF",it Roma,25,1990,3.7,,,,,,,,,,,,,,,1,,,,,,Matches
183,Viktor Fayzulin,ru RUS,MF,ru Zenit,29,1986,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
184,Sofiane Feghouli,dz ALG,"FW,MF",es Valencia,25,1989,4.6,,,,,,,,,,,,,,,0,,,,,,Matches
185,Ljubomir Fejsa,rs SRB,MF,pt Benfica,26,1988,4.2,,,,,,,,,,,,,,,0,,,,,,Matches
186,Marouane Fellaini,be BEL,MF,eng Manchester Utd,27,1987,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
187,Junior Fernándes,cl CHI,"FW,MF",hr Dinamo Zagreb,27,1988,5.1,,,,,,,,,,,,,,,0,,,,,,Matches
188,Mário Fernandes,ru RUS,"DF,MF",ru CSKA Moscow,24,1990,5.0,,,,,,,,,,,,,,,1,,,,,,Matches
189,Augusto Fernández,ar ARG,MF,es Atlético Madrid,29,1986,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
190,Fernandinho,br BRA,"DF,MF",eng Manchester City,30,1985,11.7,,,,,,,,,,,,,,,3,,,,,,Matches
191,Fernando,br BRA,"DF,MF",eng Manchester City,28,1987,8.6,,,,,,,,,,,,,,,2,,,,,,Matches
192,Facundo Ferreyra,ar ARG,FW,ua Shakhtar,24,1991,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
193,Jordan Ferri,fr FRA,MF,fr Lyon,23,1992,3.3,,,,,,,,,,,,,,,0,,,,,,Matches
194,Alfreð Finnbogason,is ISL,FW,gr Olympiacos,26,1989,0.6,,,,,,,,,,,,,,,0,,,,,,Matches
195,Mathieu Flamini,fr FRA,MF,eng Arsenal,31,1984,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
196,Alessandro Florenzi,it ITA,"DF,FW",it Roma,24,1991,7.2,,,,,,,,,,,,,,,0,,,,,,Matches
197,Thomas Foket,be BEL,"DF,MF",be Gent,20,1994,6.1,,,,,,,,,,,,,,,0,,,,,,Matches
198,Kostas Fortounis,gr GRE,"FW,MF",gr Olympiacos,22,1992,4.3,,,,,,,,,,,,,,,2,,,,,,Matches
199,Fred,br BRA,"FW,MF",ua Shakhtar,22,1993,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
200,Javi Fuego,es ESP,MF,es Valencia,31,1984,3.9,,,,,,,,,,,,,,,0,,,,,,Matches
201,Gabi,es ESP,MF,es Atlético Madrid,32,1983,13.0,,,,,,,,,,,,,,,3,,,,,,Matches
202,Nicolás Gaitán,ar ARG,"FW,MF",pt Benfica,27,1988,7.8,,,,,,,,,,,,,,,3,,,,,,Matches
203,Kévin Gameiro,fr FRA,FW,es Sevilla,28,1987,3.5,,,,,,,,,,,,,,,0,,,,,,Matches
204,Jesús Gámez,es ESP,DF,es Atlético Madrid,30,1985,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
205,Ezequiel Garay,ar ARG,DF,ru Zenit,28,1986,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
206,Carlos García,es ESP,DF,il Maccabi Tel Aviv,31,1984,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
207,Javi García,es ESP,"DF,MF",ru Zenit,28,1987,5.8,,,,,,,,,,,,,,,0,,,,,,Matches
208,David de Gea,es ESP,GK,eng Manchester Utd,24,1990,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
209,Rami Gershon,il ISR,DF,be Gent,26,1988,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
210,Gervinho,ci CIV,"FW,MF",it Roma,28,1987,2.7,,,,,,,,,,,,,,,1,,,,,,Matches
211,Rachid Ghezzal,dz ALG,"FW,MF",fr Lyon,23,1992,1.4,,,,,,,,,,,,,,,1,,,,,,Matches
212,Kieran Gibbs,eng ENG,"DF,MF",eng Arsenal,25,1989,2.4,,,,,,,,,,,,,,,0,,,,,,Matches
213,Marco van Ginkel,nl NED,MF,nl PSV Eindhoven,22,1992,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
214,Olivier Giroud,fr FRA,FW,eng Arsenal,28,1986,4.3,,,,,,,,,,,,,,,0,,,,,,Matches
215,Diego Godín,uy URU,DF,es Atlético Madrid,29,1986,12.3,,,,,,,,,,,,,,,1,,,,,,Matches
216,Evandro Goebel,br BRA,MF,pt Porto,28,1986,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
217,Aleksandr Golovin,ru RUS,"FW,MF",ru CSKA Moscow,19,1996,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
218,André Gomes,pt POR,MF,es Valencia,22,1993,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
219,Maxime Gonalons,fr FRA,MF,fr Lyon,26,1989,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
220,Derlis González,py PAR,FW,ua Dynamo Kyiv,21,1994,7.0,,,,,,,,,,,,,,,2,,,,,,Matches
221,Mikhail Gordeichuk,by BLR,MF,by BATE Borisov,25,1989,5.7,,,,,,,,,,,,,,,1,,,,,,Matches
222,Mario Götze,de GER,"FW,MF",de Bayern Munich,23,1992,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
223,Julian Green,us USA,"FW,MF",de Bayern Munich,20,1995,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
224,Clément Grenier,fr FRA,MF,fr Lyon,24,1991,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
225,Antoine Griezmann,fr FRA,"FW,MF",es Atlético Madrid,24,1991,12.6,,,,,,,,,,,,,,,1,,,,,,Matches
226,Andrés Guardado,mx MEX,"DF,FW",nl PSV Eindhoven,28,1986,7.0,,,,,,,,,,,,,,,1,,,,,,Matches
