Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
227,Gonçalo Guedes,pt POR,"FW,MF",pt Benfica,18,1996,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
228,Josuha Guilavogui,fr FRA,"DF,MF",de Wolfsburg,24,1990,7.7,,,,,,,,,,,,,,,0,,,,,,Matches
229,Gerard Gumbau,es ESP,MF,es Barcelona,20,1994,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
230,Sinan Gümüş,,"FW,MF",tr Galatasaray,21,1994,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
231,Luiz Gustavo,br BRA,"DF,MF",de Wolfsburg,28,1987,7.0,,,,,,,,,,,,,,,0,,,,,,Matches
232,Munir El Haddadi,ma MAR,"FW,MF",es Barcelona,19,1995,2.9,,,,,,,,,,,,,,,2,,,,,,Matches
233,André Hahn,de GER,"FW,MF",de Gladbach,24,1990,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
234,Denys Harmash,ua UKR,"FW,MF",ua Dynamo Kyiv,25,1990,4.3,,,,,,,,,,,,,,,1,,,,,,Matches
235,Joe Hart,eng ENG,GK,eng Manchester City,28,1987,11.9,,,,,,,,,,,,,,,0,,,,,,Matches
236,Vital Hayduchyk,by BLR,DF,by BATE Borisov,26,1989,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
237,Eden Hazard,be BEL,"FW,MF",eng Chelsea,24,1991,5.8,,,,,,,,,,,,,,,1,,,,,,Matches
238,Thorgan Hazard,be BEL,"FW,MF",de Gladbach,22,1993,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
239,Jorrit Hendrix,nl NED,"DF,MF",nl PSV Eindhoven,20,1995,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
240,Bruno Henrique,br BRA,"FW,MF",de Wolfsburg,24,1990,1.7,,,,,,,,,,,,,,,1,,,,,,Matches
241,Ángelo Henríquez,cl CHI,FW,hr Dinamo Zagreb,21,1994,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
242,Javier Hernández,mx MEX,FW,de Leverkusen,27,1988,5.4,,,,,,,,,,,,,,,1,,,,,,Matches
243,Lucas Hernández,fr FRA,DF,es Atlético Madrid,19,1996,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
244,Hernanes,br BRA,MF,it Juventus,30,1985,4.4,,,,,,,,,,,,,,,0,,,,,,Matches
245,Ander Herrera,es ESP,MF,eng Manchester Utd,25,1989,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
246,Héctor Herrera,mx MEX,MF,pt Porto,25,1990,1.9,,,,,,,,,,,,,,,0,,,,,,Matches
247,Patrick Herrmann,de GER,"FW,MF",de Gladbach,24,1991,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
248,Roberto Hilbert,de GER,"DF,MF",de Leverkusen,30,1984,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
249,Oleksandr Hladkyy,ua UKR,FW,ua Shakhtar,27,1987,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
250,Alexander Hleb,by BLR,MF,by BATE Borisov,34,1981,2.7,,,,,,,,,,,,,,,0,,,,,,Matches
251,Armin Hodžić,ba BIH,FW,hr Dinamo Zagreb,20,1994,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
252,Hulk,br BRA,"FW,MF",ru Zenit,29,1986,7.0,,,,,,,,,,,,,,,4,,,,,,Matches
253,Oleh Husyev,ua UKR,"DF,MF",ua Dynamo Kyiv,32,1983,2.2,,,,,,,,,,,,,,,0,,,,,,Matches
254,Vicente Iborra,es ESP,MF,es Sevilla,27,1988,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
255,Zlatan Ibrahimović,se SWE,FW,fr Paris S-G,33,1981,9.8,,,,,,,,,,,,,,,3,,,,,,Matches
256,Brown Ideye,ng NGA,FW,gr Olympiacos,26,1988,5.5,,,,,,,,,,,,,,,1,,,,,,Matches
257,Nosa Igiebor,ng NGA,MF,il Maccabi Tel Aviv,24,1990,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
258,Sergei Ignashevich,ru RUS,DF,ru CSKA Moscow,36,1979,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
259,Kelechi Iheanacho,ng NGA,"FW,MF",eng Manchester City,18,1996,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
260,Branko Ilić,si SVN,DF,kz FC Astana,32,1983,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
261,Giannelli Imbula,cd COD,MF,pt Porto,22,1992,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
262,Ciro Immobile,it ITA,FW,es Sevilla,25,1990,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
263,Selçuk İnan,tr TUR,MF,tr Galatasaray,30,1985,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
264,Jo Inge Berget,no NOR,"FW,MF",se Malmö,24,1990,5.5,,,,,,,,,,,,,,,0,,,,,,Matches
265,Andrés Iniesta,es ESP,MF,es Barcelona,31,1984,6.1,,,,,,,,,,,,,,,0,,,,,,Matches
266,Isco,es ESP,"FW,MF",es Real Madrid,23,1992,7.9,,,,,,,,,,,,,,,3,,,,,,Matches
267,Nicolas Isimat-Mirin,fr FRA,DF,nl PSV Eindhoven,23,1991,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
268,Ismaily,br BRA,DF,ua Shakhtar,25,1990,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
269,Juan Iturbe,py PAR,"FW,MF",it Roma,22,1993,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
270,Branislav Ivanović,rs SRB,DF,eng Chelsea,31,1984,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
271,Alex Iwobi,ng NGA,"FW,MF",eng Arsenal,19,1996,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
272,Christophe Jallet,fr FRA,DF,fr Lyon,31,1983,3.2,,,,,,,,,,,,,,,1,,,,,,Matches
273,Tony Jantschke,de GER,"DF,MF",de Gladbach,25,1990,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
274,Jesé,es ESP,"FW,MF",es Real Madrid,22,1993,3.8,,,,,,,,,,,,,,,0,,,,,,Matches
275,Raúl Jiménez,mx MEX,FW,pt Benfica,24,1991,6.0,,,,,,,,,,,,,,,3,,,,,,Matches
276,Fabian Johnson,us USA,"DF,MF",de Gladbach,27,1987,4.7,,,,,,,,,,,,,,,2,,,,,,Matches
277,Jonas,br BRA,FW,pt Benfica,31,1984,8.1,,,,,,,,,,,,,,,1,,,,,,Matches
278,Phil Jones,eng ENG,"DF,MF",eng Manchester Utd,23,1992,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
279,Luuk de Jong,nl NED,FW,nl PSV Eindhoven,24,1990,6.2,,,,,,,,,,,,,,,1,,,,,,Matches
280,Luka Jović,rs SRB,FW,pt Benfica,17,1997,0.0,,,,,,,,,,,,,,,0,,,,,,Matches
281,Juanfran,es ESP,"DF,MF",es Atlético Madrid,30,1985,12.7,,,,,,,,,,,,,,,2,,,,,,Matches
