Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
864,Fabio Vanni,fr FRA,GK,fr Marseille,18,2002,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
865,Raphaël Varane,fr FRA,DF,es Real Madrid,27,1993,9,810,90,75.0,9.0,9,90,9,0,,0,1.89,16,11,+5,+0.56,+0.56,15.8,9.6,+6.2,+0.69,+1.54,Matches
866,Aleksandr Vasyutin,ru RUS,GK,ru Zenit,25,1995,0,,,,,0,,,0,,6,,,,,,,,,,,,Matches
867,Franco Vázquez,ar ARG,"FW,MF",es Sevilla,31,1989,4,90,23,12.5,1.0,1,65,0,3,8,2,1.75,0,3,-3,-3.00,-3.43,1.2,1.8,-0.6,-0.58,-0.80,Matches
868,Javier Vázquez López,es ESP,DF,es Sevilla,19,2000,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
869,Lucas Vázquez,es ESP,"DF,FW",es Real Madrid,29,1991,8,720,90,66.7,8.0,8,90,8,0,,1,2.38,16,8,+8,+1.00,+1.75,16.2,7.0,+9.2,+1.15,+2.54,Matches
870,Benjamin Verbič,si SVN,FW,ua Dynamo Kyiv,26,1993,6,288,48,53.3,3.2,3,82,1,3,14,0,1.44,2,9,-7,-2.19,-1.47,2.4,6.7,-4.3,-1.34,-0.48,Matches
871,Marco Verratti,it ITA,"MF,FW",fr Paris S-G,27,1992,7,500,71,46.3,5.6,6,82,2,1,8,1,1.86,12,8,+4,+0.72,+0.25,10.2,7.5,+2.7,+0.48,+0.49,Matches
872,Lasse Vibe,dk DEN,"FW,MF",dk Midtjylland,33,1987,3,48,16,8.9,0.5,0,,0,3,16,3,0.33,0,2,-2,-3.75,-2.47,0.2,1.3,-1.1,-2.02,-1.45,Matches
873,Aleix Vidal,es ESP,"DF,MF",es Sevilla,30,1989,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
874,Arturo Vidal,cl CHI,MF,it Inter,33,1987,4,286,72,53.0,3.2,4,72,1,0,,0,0.50,4,6,-2,-0.63,-0.63,5.3,4.1,+1.2,+0.39,+0.18,Matches
875,Fabio Vieira,pt POR,MF,pt Porto,20,2000,6,160,27,17.2,1.8,2,68,0,4,6,3,1.67,3,4,-1,-0.56,-1.38,1.1,3.2,-2.1,-1.19,-1.14,Matches
876,Tonny Vilhena,nl NED,MF,ru Krasnodar,25,1995,5,384,77,71.1,4.3,4,90,4,1,24,0,1.57,3,7,-4,-0.94,-0.36,4.1,9.0,-4.9,-1.15,-0.78,Matches
877,Rúben Vinagre,pt POR,"DF,FW",gr Olympiacos,21,1999,2,22,11,4.1,0.2,0,,0,2,11,4,1.50,0,1,-1,-4.09,-2.87,0.4,0.6,-0.2,-0.90,0.00,Matches
878,Edin Višća,ba BIH,MF,tr Başakşehir,30,1990,5,423,85,78.3,4.7,5,85,4,0,,0,0.60,4,11,-7,-1.49,+1.59,4.3,8.9,-4.6,-0.98,+0.83,Matches
879,Vitão,br BRA,DF,ua Shakhtar,20,2000,3,126,42,23.3,1.4,2,63,1,1,1,2,2.33,2,0,+2,+1.43,+3.39,1.3,1.8,-0.4,-0.30,+0.97,Matches
880,Vitolo,es ESP,"MF,DF",es Atlético Madrid,30,1989,3,31,10,4.3,0.3,0,,0,3,10,5,0.33,0,0,0,0.00,+0.52,0.1,0.1,0.0,+0.09,+0.24,Matches
881,Bohdan Viunnyk,ua UKR,MF,ua Shakhtar,18,2002,1,1,1,0.2,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,+1.17,0.0,0.0,0.0,0.00,+1.05,Matches
882,Ruud Vormer,nl NED,MF,be Club Brugge,32,1988,6,517,86,95.7,5.7,6,86,4,0,,0,1.33,8,10,-2,-0.35,-0.35,8.4,9.3,-0.9,-0.15,-0.49,Matches
883,Stefan de Vrij,nl NED,DF,it Inter,28,1992,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,7,9,-2,-0.33,,8.3,6.5,+1.8,+0.30,,Matches
884,Marious Vrousai,gr GRE,"FW,DF",gr Olympiacos,22,1998,3,186,62,34.4,2.1,2,81,0,1,25,3,0.00,1,3,-2,-0.97,+0.56,1.2,3.1,-1.9,-0.92,-0.04,Matches
885,Šime Vrsaljko,hr CRO,"DF,MF",es Atlético Madrid,28,1992,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
886,Alexander Walke,de GER,GK,at RB Salzburg,37,1983,0,,,,,0,,,0,,6,,,,,,,,,,,,Matches
887,Kyle Walker,eng ENG,DF,eng Manchester City,30,1990,11,981,89,83.8,10.9,11,89,10,0,,1,2.73,23,5,+18,+1.65,+0.70,17.5,7.0,+10.5,+0.97,-1.31,Matches
