Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG,Matches
176,Nico Elvedi,ch SUI,DF,de Gladbach,23,1996,6.9,1,2,1,50.0,0.29,0.15,0.50,1.00,5.7,0,0,0,0.2,0.2,0.09,+0.8,+0.8,Matches
177,Breel Embolo,ch SUI,"FW,MF",de Gladbach,23,1997,3.3,1,8,3,37.5,2.39,0.90,0.13,0.33,14.0,0,0,0,1.7,1.7,0.22,-0.7,-0.7,Matches
178,Youssef En-Nesyri,ma MAR,FW,es Sevilla,23,1997,4.3,6,15,9,60.0,3.48,2.09,0.33,0.56,16.0,0,1,1,2.9,2.1,0.14,+3.1,+2.9,Matches
179,Alexandru Epureanu,md MDA,DF,tr Başakşehir,33,1986,4.5,0,1,0,0.0,0.22,0.00,0.00,,14.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
180,Christian Eriksen,dk DEN,"MF,FW",it Inter,28,1992,1.1,0,6,2,33.3,5.35,1.78,0.00,0.00,24.7,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
181,Aleksandr Erokhin,ru RUS,"MF,FW",ru Zenit,30,1989,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,12.7,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
182,Gonzalo Escalante,ar ARG,MF,it Lazio,27,1993,1.6,0,1,0,0.0,0.61,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
183,Sergio Escudero,es ESP,DF,es Sevilla,30,1989,2.0,0,3,0,0.0,1.48,0.00,0.00,,18.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
184,Evander,br BRA,"MF,FW",dk Midtjylland,22,1998,1.7,0,7,2,28.6,4.20,1.20,0.00,0.00,20.8,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
185,Evanilson,br BRA,"FW,DF",pt Porto,20,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
186,Fabinho,br BRA,"DF,MF",eng Liverpool,26,1993,6.2,0,1,1,100.0,0.16,0.16,0.00,0.00,8.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
187,Mohamed Fares,dz ALG,DF,it Lazio,24,1996,3.8,0,4,0,0.0,1.06,0.00,0.00,,23.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
188,Ansu Fati,es ESP,FW,es Barcelona,17,2002,1.8,1,9,6,66.7,5.06,3.38,0.11,0.17,13.3,0,0,0,1.6,1.6,0.18,-0.6,-0.6,Matches
189,Felipe,br BRA,DF,es Atlético Madrid,31,1989,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
190,Luiz Felipe,it ITA,DF,it Lazio,23,1997,2.0,0,1,0,0.0,0.51,0.00,0.00,,4.9,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
191,João Félix,pt POR,"FW,MF",es Atlético Madrid,20,1999,7.8,3,26,13,50.0,3.32,1.66,0.12,0.23,15.9,1,0,0,3.4,3.4,0.13,-0.4,-0.4,Matches
192,Bruno Fernandes,pt POR,MF,eng Manchester Utd,25,1994,4.9,4,18,7,38.9,3.70,1.44,0.11,0.29,23.8,3,2,2,3.0,1.4,0.08,+1.0,+0.6,Matches
193,Matheus Fernandes,br BRA,MF,es Barcelona,22,1998,0.2,0,1,0,0.0,5.00,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
194,Carlos Fernández,es ESP,FW,es Sevilla,24,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
195,Fernandinho,br BRA,MF,eng Manchester City,35,1985,3.8,0,1,0,0.0,0.26,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
196,Fernando,br BRA,"MF,DF",es Sevilla,33,1987,5.5,0,4,0,0.0,0.73,0.00,0.00,,33.0,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
197,Fernando,br BRA,FW,ua Shakhtar,21,1999,0.4,0,2,0,0.0,4.74,0.00,0.00,,18.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
198,Roberto Firmino,br BRA,"FW,MF",eng Liverpool,28,1991,3.7,0,12,3,25.0,3.27,0.82,0.00,0.00,12.7,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
199,Junior Firpo,do DOM,DF,es Barcelona,23,1996,2.9,0,1,0,0.0,0.35,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
