Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
574,Nacho,es ESP,DF,es Real Madrid,33,1990,12,980,82,81.7,10.9,11,89,9,1,4,1,2.50,20,10,+10,+0.92,-0.31,19.2,15.1,+4.1,+0.39,-0.88,Matches
575,Luca Napolitano,it ITA,MF,it Lazio,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
576,Natan,br BRA,DF,it Napoli,22,2001,6,451,75,62.6,5.0,5,90,5,1,1,2,1.67,8,8,0,0.00,+0.33,6.7,7.0,-0.3,-0.06,+0.19,Matches
577,Lapo Nava,it ITA,GK,it Milan,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
578,Fran Navarro,es ESP,FW,pt Porto,25,1998,1,8,8,1.1,0.1,0,,0,1,8,5,3.00,1,0,+1,+11.25,+10.52,0.3,0.2,+0.1,+1.58,+1.14,Matches
579,Jesús Navas,es ESP,DF,es Sevilla,37,1985,4,218,55,40.4,2.4,3,69,0,1,11,1,0.50,4,2,+2,+0.83,+2.78,3.4,4.1,-0.8,-0.31,+0.84,Matches
580,Keylor Navas,cr CRC,GK,fr Paris S-G,36,1986,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
581,Yehor Nazaryna,ua UKR,MF,ua Shakhtar,26,1997,4,204,51,37.8,2.3,2,90,2,2,12,1,1.50,5,5,0,0.00,+0.54,2.9,4.0,-1.1,-0.47,+0.18,Matches
582,Cherif Ndiaye,sn SEN,FW,rs Red Star,27,1996,6,356,59,65.9,4.0,5,62,0,1,45,0,0.17,3,10,-7,-1.77,-1.28,5.6,10.0,-4.4,-1.11,-0.27,Matches
583,Michael Ndiweni,eng ENG,MF,eng Newcastle Utd,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
584,Tanguy Ndombele,fr FRA,MF,tr Galatasaray,26,1996,4,92,23,17.0,1.0,1,59,0,3,11,2,1.25,3,3,0,0.00,+0.60,1.4,1.4,0.0,-0.05,+0.03,Matches
585,Kosta Nedeljković,rs SRB,DF,rs Red Star,17,2005,4,238,60,44.1,2.6,2,84,1,2,36,0,0.00,3,6,-3,-1.13,+0.36,4.8,4.7,0.0,+0.01,+1.85,Matches
586,Reiss Nelson,eng ENG,FW,eng Arsenal,23,1999,5,177,35,19.0,2.0,1,88,0,4,22,5,2.00,3,1,+2,+1.02,-0.06,2.8,1.5,+1.3,+0.68,+0.25,Matches
587,Victor Nelsson,dk DEN,DF,tr Galatasaray,24,1998,4,103,26,19.1,1.1,1,75,0,3,9,2,2.00,1,4,-3,-2.62,-2.62,1.5,1.9,-0.4,-0.34,-0.33,Matches
588,David Neres,br BRA,FW,pt Benfica,26,1997,3,177,59,32.8,2.0,2,79,1,1,19,0,0.00,0,2,-2,-1.02,-0.52,0.7,4.9,-4.2,-2.12,-1.16,Matches
589,Manuel Neuer,de GER,GK,de Bayern Munich,37,1986,9,810,90,75.0,9.0,9,90,9,0,,0,1.67,12,8,+4,+0.44,-0.89,14.1,9.8,+4.3,+0.48,+0.57,Matches
