Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7,7,630,7.0,0,2,2,0,0,0,0,0,0.2,0.2,0.8,0.9,23,36,39,0.00,0.29,0.29,0.00,0.29,0.03,0.11,0.14,0.03,0.14,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11,11,990,11.0,1,5,6,1,0,0,2,0,0.9,0.9,3.6,4.5,30,66,118,0.09,0.45,0.55,0.09,0.55,0.09,0.32,0.41,0.09,0.41,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,6,6,495,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,20,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,5,4,356,4.0,1,1,2,1,0,1,1,0,1.6,0.8,1.6,2.4,1,10,15,0.25,0.25,0.51,0.25,0.51,0.40,0.39,0.79,0.20,0.59,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,5,4,389,4.3,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,9,36,0,0.00,0.23,0.23,0.00,0.23,0.03,0.08,0.11,0.03,0.11,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.2,10,46,1,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.10,0.07,0.10,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,4,2,201,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,11,11,919,10.2,0,2,2,0,0,0,0,0,0.8,0.8,4.2,5.0,24,53,52,0.00,0.20,0.20,0.00,0.20,0.08,0.41,0.49,0.08,0.49,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,6,6,510,5.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,6,38,8,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,8,8,707,7.9,0,3,3,0,0,0,0,0,2.4,2.4,2.0,4.4,19,39,51,0.00,0.38,0.38,0.00,0.38,0.30,0.26,0.56,0.30,0.56,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,11,25,19,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
25,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,3,2,205,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,14,18,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,4,4,347,3.9,0,0,0,0,0,0,3,1,0.7,0.7,0.0,0.7,1,6,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.13,0.20,0.33,0.13,0.33,Matches
28,Sofyan Amrabat,ma MAR,"DF,MF",be Club Brugge,21,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,11,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
29,Angeliño,es ESP,DF,nl PSV Eindhoven,21,1997,6,6,540,6.0,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,9,14,15,0.00,0.17,0.17,0.00,0.17,0.02,0.10,0.12,0.02,0.12,Matches
30,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,20,1998,7,7,630,7.0,0,2,2,0,0,0,1,0,0.8,0.8,2.1,2.9,22,36,27,0.00,0.29,0.29,0.00,0.29,0.12,0.30,0.42,0.12,0.42,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Santiago Arias,co COL,"DF,FW",es Atlético Madrid,26,1992,4,4,346,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,8,17,29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,6,6,518,5.8,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,11,21,24,0.00,0.17,0.17,0.00,0.17,0.03,0.06,0.09,0.03,0.09,Matches
34,Marco Asensio,es ESP,"FW,MF",es Real Madrid,22,1996,7,2,306,3.4,2,0,2,2,0,0,0,0,2.4,2.4,1.2,3.6,20,26,59,0.59,0.00,0.59,0.59,0.59,0.71,0.34,1.05,0.71,1.05,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,5,4,381,4.2,1,0,1,1,0,0,1,0,0.9,0.9,0.6,1.5,13,15,33,0.24,0.00,0.24,0.24,0.24,0.22,0.14,0.35,0.22,0.35,Matches
36,Serge Aurier,ci CIV,DF,eng Tottenham,25,1992,5,5,434,4.8,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.5,12,19,43,0.00,0.21,0.21,0.00,0.21,0.01,0.10,0.11,0.01,0.11,Matches
37,Chidozie Awaziem,ng NGA,MF,pt Porto,21,1997,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4,4,360,4.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,3,2,225,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,5,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,4,4,305,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
43,Michalis Bakakis,gr GRE,"DF,FW",gr AEK Athens,27,1991,6,6,519,5.8,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,14,14,23,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
44,Anastasios Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.6,2,11,8,0.00,0.00,0.00,0.00,0.00,0.08,0.24,0.32,0.08,0.32,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,4,0,76,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,8,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,7,5,486,5.4,3,2,5,3,0,0,0,0,3.2,3.2,1.3,4.5,22,20,70,0.56,0.37,0.93,0.56,0.93,0.59,0.25,0.84,0.59,0.84,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,4,3,284,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,5,8,7,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.07,0.23,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,3,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,5,4,345,3.8,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,5,11,29,0.26,0.00,0.26,0.26,0.26,0.40,0.02,0.42,0.40,0.42,Matches
53,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
54,Ömer Bayram,tr TUR,DF,tr Galatasaray,27,1991,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Riechedly Bazoer,nl NED,MF,pt Porto,21,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.51,0.00,1.51,1.51,1.51,Matches
56,Rodrigo Becão,br BRA,DF,ru CSKA Moscow,22,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
57,Donny van de Beek,nl NED,MF,nl Ajax,21,1997,12,11,981,10.9,3,2,5,3,0,0,2,0,4.3,4.3,2.3,6.6,18,38,55,0.28,0.18,0.46,0.28,0.46,0.39,0.21,0.61,0.39,0.61,Matches
58,Ishak Belfodil,dz ALG,"FW,MF",de Hoffenheim,26,1992,5,4,346,3.8,1,1,2,1,0,0,0,0,1.8,1.8,0.8,2.6,10,13,41,0.26,0.26,0.52,0.26,0.52,0.46,0.22,0.68,0.46,0.68,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,28,1990,4,4,325,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,12,15,13,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.23,0.04,0.23,Matches
60,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,5,5,404,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Medhi Benatia,ma MAR,DF,it Juventus,31,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Loris Benito,ch SUI,DF,ch Young Boys,26,1992,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,12,16,22,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
63,Nabil Bentaleb,dz ALG,MF,de Schalke 04,23,1994,6,4,424,4.7,3,0,3,0,3,3,0,0,2.4,0.1,0.1,0.1,5,17,5,0.64,0.00,0.64,0.00,0.00,0.51,0.01,0.53,0.01,0.02,Matches
64,Rodrigo Bentancur,uy URU,MF,it Juventus,21,1997,7,6,551,6.1,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,15,33,20,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
65,Karim Benzema,fr FRA,FW,es Real Madrid,30,1987,8,8,582,6.5,4,2,6,4,0,0,0,0,3.1,3.1,1.9,5.0,28,26,66,0.62,0.31,0.93,0.62,0.93,0.48,0.29,0.77,0.48,0.77,Matches
66,Steve von Bergen,ch SUI,DF,ch Young Boys,35,1983,5,5,405,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Steven Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,5,5,400,4.4,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,15,13,17,0.00,0.23,0.23,0.00,0.23,0.09,0.25,0.34,0.09,0.34,Matches
68,Federico Bernardeschi,it ITA,"MF,FW",it Juventus,24,1994,8,6,552,6.1,0,1,1,0,0,0,2,0,1.1,1.1,2.9,4.0,15,16,37,0.00,0.16,0.16,0.00,0.16,0.19,0.47,0.65,0.19,0.65,Matches
69,Juan Bernat,es ESP,DF,fr Paris S-G,25,1993,8,8,675,7.5,3,0,3,3,0,0,2,0,1.6,1.6,0.6,2.2,25,21,54,0.40,0.00,0.40,0.40,0.40,0.22,0.07,0.29,0.22,0.29,Matches
70,Leonardo Bertone,ch SUI,MF,ch Young Boys,24,1994,3,1,107,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
71,Giulian Biancone,fr FRA,DF,fr Monaco,18,2000,2,2,167,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,7,11,5,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
72,Ermin Bičakčić,ba BIH,DF,de Hoffenheim,28,1990,3,3,252,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
73,Jaka Bijol,si SVN,MF,ru CSKA Moscow,19,1999,3,3,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
74,Kristijan Bistrović,hr CRO,MF,ru CSKA Moscow,20,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,9,2,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.06,0.10,Matches
75,Leonardo Bittencourt,de GER,MF,de Hoffenheim,24,1993,3,2,141,1.6,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,6,6,8,0.00,0.64,0.64,0.00,0.64,0.23,0.40,0.62,0.23,0.62,Matches
76,Daley Blind,nl NED,"DF,MF",nl Ajax,28,1990,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.4,0.4,0.6,0.9,12,71,10,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
77,Richmond Boakye,gh GHA,FW,rs Red Star,25,1993,3,2,189,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,0,10,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
78,Jérôme Boateng,de GER,DF,de Bayern Munich,29,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
79,Serhiy Bolbat,ua UKR,FW,ua Shakhtar,25,1993,4,2,172,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,4,1,7,0.00,0.00,0.00,0.00,0.00,0.04,0.25,0.29,0.04,0.29,Matches
80,Leonardo Bonucci,it ITA,DF,it Juventus,31,1987,10,10,900,10.0,0,2,2,0,0,0,0,0,0.2,0.2,0.7,0.9,9,50,5,0.00,0.20,0.20,0.00,0.20,0.02,0.07,0.09,0.02,0.09,Matches
81,Milan Borjan,ca CAN,GK,rs Red Star,30,1987,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,Lucas Boyé,ar ARG,"FW,MF",gr AEK Athens,22,1996,4,1,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,8,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
83,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,28,1990,9,7,620,6.9,0,2,2,0,0,0,0,0,0.7,0.7,1.0,1.7,39,47,45,0.00,0.29,0.29,0.00,0.29,0.10,0.16,0.26,0.10,0.26,Matches
84,Joshua Brenet,cw CUW,"DF,FW",de Hoffenheim,24,1994,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,25,1992,6,6,534,5.9,0,0,0,0,0,0,3,0,0.1,0.1,0.7,0.8,7,46,3,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches
86,Jeffrey Bruma,nl NED,DF,de Schalke 04,26,1991,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Jacob Bruun Larsen,dk DEN,FW,de Dortmund,19,1998,5,1,152,1.7,1,1,2,1,0,0,0,0,0.7,0.7,0.5,1.2,4,1,14,0.59,0.59,1.18,0.59,1.18,0.39,0.31,0.70,0.39,0.70,Matches
88,Gianluigi Buffon,it ITA,GK,fr Paris S-G,40,1978,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Guido Burgstaller,at AUT,FW,de Schalke 04,29,1989,6,2,233,2.6,1,1,2,1,0,0,1,0,0.1,0.1,0.1,0.2,4,5,18,0.39,0.39,0.77,0.39,0.77,0.04,0.04,0.08,0.04,0.08,Matches
90,Roman Bürki,ch SUI,GK,de Dortmund,27,1990,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Sergio Busquets,es ESP,MF,es Barcelona,30,1988,12,11,1033,11.5,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,3,66,7,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.09,0.02,0.09,Matches
92,Bohdan Butko,ua UKR,DF,ua Shakhtar,27,1991,3,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
93,Daniel Caligiuri,it ITA,"DF,FW",de Schalke 04,30,1988,6,6,511,5.7,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,17,25,24,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches
94,José Callejón,es ESP,MF,it Napoli,31,1987,6,6,514,5.7,0,2,2,0,0,0,1,0,0.9,0.9,2.3,3.2,7,19,49,0.00,0.35,0.35,0.00,0.35,0.15,0.40,0.55,0.15,0.55,Matches
95,Emre Can,de GER,"MF,DF",it Juventus,24,1994,6,2,338,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,15,18,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
96,João Cancelo,pt POR,DF,it Juventus,24,1994,7,5,480,5.3,0,2,2,0,0,0,0,0,0.3,0.3,0.7,0.9,21,25,39,0.00,0.37,0.37,0.00,0.37,0.05,0.12,0.17,0.05,0.17,Matches
97,Antonio Candreva,it ITA,"FW,MF",it Inter,31,1987,5,2,138,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,3,18,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
98,Dani Carvajal,es ESP,DF,es Real Madrid,26,1992,6,5,419,4.7,0,1,1,0,0,0,1,0,0.6,0.6,1.1,1.6,20,26,23,0.00,0.21,0.21,0.00,0.21,0.13,0.23,0.35,0.13,0.35,Matches
99,Casemiro,br BRA,MF,es Real Madrid,26,1992,6,6,503,5.6,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,22,7,0.18,0.00,0.18,0.18,0.18,0.04,0.02,0.06,0.04,0.06,Matches
100,Iker Casillas,es ESP,GK,pt Porto,37,1981,10,10,930,10.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Nicolás Castillo,cl CHI,FW,pt Benfica,25,1993,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
102,Goran Čaušić,rs SRB,MF,rs Red Star,26,1992,5,3,313,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,11,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
103,Edinson Cavani,uy URU,FW,fr Paris S-G,31,1987,7,5,413,4.6,2,2,4,2,0,0,0,0,2.5,2.5,0.8,3.3,4,2,10,0.44,0.44,0.87,0.44,0.87,0.55,0.17,0.72,0.55,0.72,Matches
104,Dani Ceballos,es ESP,MF,es Real Madrid,21,1996,3,2,186,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,8,19,16,0.00,0.00,0.00,0.00,0.00,0.11,0.24,0.34,0.11,0.34,Matches
105,Muğdat Çelik,tr TUR,FW,tr Galatasaray,28,1990,3,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
106,Aleš Čermák,cz CZE,MF,cz Viktoria Plzeň,23,1994,5,4,348,3.9,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.5,4,29,25,0.00,0.26,0.26,0.00,0.26,0.04,0.09,0.12,0.04,0.12,Matches
