Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
356,Leonardo Bittencourt,de GER,"FW,MF",Köln,de Bundesliga,22,1993,16,968,61,31.6,10.8,12,,1,4,,0,1.81,20,10,+10,+0.93,+0.97,Matches
357,Albano Bizzarri,ar ARG,GK,Pescara,it Serie A,38,1977,29,2610,90,76.3,29.0,29,,29,0,,9,0.41,27,68,-41,-1.41,-1.08,Matches
358,Mirko Bizzi,it ITA,GK,Cagliari,it Serie A,16,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
359,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,21,1995,11,990,90,28.9,11.0,11,90,11,0,,5,1.64,19,15,+4,+0.36,+1.10,Matches
360,Miguel Blanco-Lopez,de GER,MF,Eint Frankfurt,de Bundesliga,17,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
361,Ludovic Blas,fr FRA,"FW,MF",Guingamp,fr Ligue 1,18,1997,24,1160,48,33.9,12.9,10,,7,14,,8,1.29,15,26,-11,-0.85,-1.01,Matches
362,Pablo de Blasis,ar ARG,"FW,MF",Mainz 05,de Bundesliga,28,1988,31,1661,54,54.3,18.5,17,,7,14,,2,1.16,32,24,+8,+0.43,+1.66,Matches
363,Alexis Blin,fr FRA,MF,Toulouse,fr Ligue 1,19,1996,26,2148,83,62.8,23.9,26,,21,0,,2,1.23,29,24,+5,+0.21,+0.85,Matches
364,Daley Blind,nl NED,"DF,MF",Manchester Utd,eng Premier League,26,1990,23,1830,80,53.5,20.3,20,,18,3,,12,1.83,27,17,+10,+0.49,-0.36,Matches
365,Danny Blum,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,25,1991,14,460,33,15.0,5.1,3,,2,11,,5,0.50,8,13,-5,-0.98,-0.91,Matches
366,Hiram Boateng,eng ENG,"FW,MF",Crystal Palace,eng Premier League,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
367,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,27,1988,13,827,64,27.0,9.2,10,,6,3,,6,2.46,26,9,+17,+1.85,-0.17,Matches
368,Kevin-Prince Boateng,gh GHA,"FW,MF",Las Palmas,es La Liga,29,1987,28,1979,71,57.9,22.0,25,77,11,3,21,1,1.25,32,39,-7,-0.32,+0.56,Matches
369,Raúl Bobadilla,py PAR,FW,Augsburg,de Bundesliga,29,1987,18,1044,58,34.1,11.6,13,,7,5,,3,1.33,16,26,-10,-0.86,-0.59,Matches
