Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
684,Alou Diarra,fr FRA,MF,Nancy,fr Ligue 1,35,1981,14.3,,,,,,,,,,,,,,,,,Matches
685,Lassana Diarra,fr FRA,MF,Marseille,fr Ligue 1,31,1985,8.1,,,,,,,,,,,,,,,,,Matches
686,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,19,1997,11.6,,,,,,,,,,,,,,,,,Matches
687,Marcelo Díaz,cl CHI,MF,Celta Vigo,es La Liga,29,1986,18.3,,,,,,,,,,,,,,,,,Matches
688,Víctor Díaz,es ESP,DF,Leganés,es La Liga,28,1988,20.1,,,,,,,,,,,,,,,,,Matches
689,Daniel Didavi,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,1990,11.0,,,,,,,,,,,,,,,,,Matches
690,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,20,1995,32.0,,,,,,,,,,,,,,,,,Matches
691,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,33,1983,23.8,,,,,,,,,,,,,,,,,Matches
692,Famara Diedhiou,sn SEN,FW,Angers,fr Ligue 1,23,1992,25.2,,,,,,,,,,,,,,,,,Matches
693,Dennis Diekmeier,de GER,"DF,MF",Hamburger SV,de Bundesliga,26,1989,19.8,,,,,,,,,,,,,,,,,Matches
694,Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,22,1994,33.8,,,,,,,,,,,,,,,,,Matches
695,Didier Digard,fr FRA,MF,Osasuna,es La Liga,30,1986,2.1,,,,,,,,,,,,,,,,,Matches
696,Lucas Digne,fr FRA,"DF,MF",Barcelona,es La Liga,23,1993,13.0,,,,,,,,,,,,,,,,,Matches
697,Kevin Diks,id IDN,DF,Fiorentina,it Serie A,19,1996,0.1,,,,,,,,,,,,,,,,,Matches
698,Federico Dimarco,it ITA,"DF,MF",Empoli,it Serie A,18,1997,7.2,,,,,,,,,,,,,,,,,Matches
699,Adama Diomande,no NOR,FW,Hull City,eng Premier League,26,1990,13.0,,,,,,,,,,,,,,,,,Matches
700,Ismaël Diomandé,ci CIV,MF,Caen,fr Ligue 1,23,1992,8.8,,,,,,,,,,,,,,,,,Matches
701,Lois Diony,fr FRA,FW,Dijon,fr Ligue 1,23,1992,31.2,,,,,,,,,,,,,,,,,Matches
702,Issa Diop,fr FRA,DF,Toulouse,fr Ligue 1,19,1997,30.0,,,,,,,,,,,,,,,,,Matches
703,Papakouli Diop,sn SEN,MF,Espanyol,es La Liga,30,1986,10.1,,,,,,,,,,,,,,,,,Matches
704,Assane Dioussé,sn SEN,MF,Empoli,it Serie A,18,1997,26.8,,,,,,,,,,,,,,,,,Matches
705,Nabil Dirar,ma MAR,"DF,MF",Monaco,fr Ligue 1,30,1986,9.7,,,,,,,,,,,,,,,,,Matches
706,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,23,1992,27.7,,,,,,,,,,,,,,,,,Matches
707,Alexander Djiku,gh GHA,"DF,MF",Bastia,fr Ligue 1,21,1994,20.6,,,,,,,,,,,,,,,,,Matches
708,Papy Djilobodji,sn SEN,DF,Sunderland,eng Premier League,27,1988,17.5,,,,,,,,,,,,,,,,,Matches
709,Johan Djourou,ch SUI,DF,Hamburger SV,de Bundesliga,29,1987,12.7,,,,,,,,,,,,,,,,,Matches
710,Dodô,br BRA,DF,Sampdoria,it Serie A,24,1992,4.5,,,,,,,,,,,,,,,,,Matches
711,Keagan Dolly,za RSA,"FW,MF",Montpellier,fr Ligue 1,23,1993,5.0,,,,,,,,,,,,,,,,,Matches
712,Jaume Doménech,es ESP,GK,Valencia,es La Liga,25,1990,3.0,,,,,,,,,,,,,,,,,Matches
713,Giulio Donati,it ITA,DF,Mainz 05,de Bundesliga,26,1990,31.1,,,,,,,,,,,,,,,,,Matches
714,Ji Dong-won,kr KOR,"FW,MF",Augsburg,de Bundesliga,25,1991,25.5,,,,,,,,,,,,,,,,,Matches
715,Anastasios Donis,gr GRE,"FW,MF",Nice,fr Ligue 1,19,1996,5.1,,,,,,,,,,,,,,,,,Matches
716,Ryan Donk,sr SUR,"DF,MF",Betis,es La Liga,30,1986,9.5,,,,,,,,,,,,,,,,,Matches
717,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,17,1999,38.0,,,,,,,,,,,,,,,,,Matches
718,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,20,1996,9.8,,,,,,,,,,,,,,,,,Matches
719,Férébory Doré,cg CGO,FW,Angers,fr Ligue 1,27,1989,2.0,,,,,,,,,,,,,,,,,Matches
720,Dória,br BRA,DF,Marseille,fr Ligue 1,21,1994,15.2,,,,,,,,,,,,,,,,,Matches
721,Jonathan dos Santos,mx MEX,MF,Villarreal,es La Liga,26,1990,24.6,,,,,,,,,,,,,,,,,Matches
722,Mauro dos Santos,ar ARG,DF,Eibar,es La Liga,27,1989,8.5,,,,,,,,,,,,,,,,,Matches
723,Bas Dost,nl NED,FW,Wolfsburg,de Bundesliga,27,1989,0.9,,,,,,,,,,,,,,,,,Matches
724,Abdoulaye Doucouré,ml MLI,"FW,MF",Watford,eng Premier League,23,1993,15.1,,,,,,,,,,,,,,,,,Matches
725,Douglas,br BRA,DF,Sporting Gijón,es La Liga,25,1990,19.1,,,,,,,,,,,,,,,,,Matches
726,Cheick Doukouré,ci CIV,MF,Metz,fr Ligue 1,23,1992,25.1,,,,,,,,,,,,,,,,,Matches
727,Tongo Doumbia,ml MLI,MF,Toulouse,fr Ligue 1,26,1989,5.3,,,,,,,,,,,,,,,,,Matches
728,Stewart Downing,eng ENG,"FW,MF",Middlesbrough,eng Premier League,32,1984,24.6,,,,,,,,,,,,,,,,,Matches
729,Aleksandar Dragović,at AUT,"DF,MF",Leverkusen,de Bundesliga,25,1991,14.0,,,,,,,,,,,,,,,,,Matches
730,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,18,1997,1.0,,,,,,,,,,,,,,,,,Matches
731,Boukary Dramé,sn SEN,"DF,MF",Atalanta,it Serie A,31,1985,7.1,,,,,,,,,,,,,,,,,Matches
732,Julian Draxler,de GER,"FW,MF",Paris S-G,fr Ligue 1,22,1993,11.2,,,,,,,,,,,,,,,,,Matches
733,Julian Draxler,de GER,"FW,MF",Wolfsburg,de Bundesliga,22,1993,11.7,,,,,,,,,,,,,,,,,Matches
734,Matthieu Dreyer,fr FRA,GK,Caen,fr Ligue 1,27,1989,2.0,,,,,,,,,,,,,,,,,Matches
735,Danny Drinkwater,eng ENG,MF,Leicester City,eng Premier League,26,1990,27.4,,,,,,,,,,,,,,,,,Matches
736,Josip Drmić,ch SUI,FW,Gladbach,de Bundesliga,23,1992,3.1,,,,,,,,,,,,,,,,,Matches
737,Jaroslav Drobný,cz CZE,GK,Werder Bremen,de Bundesliga,36,1979,9.4,,,,,,,,,,,,,,,,,Matches
738,Óscar Duarte,cr CRC,DF,Espanyol,es La Liga,27,1989,12.5,,,,,,,,,,,,,,,,,Matches
739,Rubén Duarte,es ESP,DF,Espanyol,es La Liga,20,1995,1.1,,,,,,,,,,,,,,,,,Matches
740,Leo Dubois,fr FRA,"DF,MF",Nantes,fr Ligue 1,21,1994,34.8,,,,,,,,,,,,,,,,,Matches
741,Duda,pt POR,"DF,FW",Málaga,es La Liga,36,1980,4.3,,,,,,,,,,,,,,,,,Matches
742,Ondrej Duda,sk SVK,"FW,MF",Hertha BSC,de Bundesliga,21,1994,0.8,,,,,,,,,,,,,,,,,Matches
743,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,23,1993,14.8,,,,,,,,,,,,,,,,,Matches
744,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,23,1993,16.0,,,,,,,,,,,,,,,,,Matches
745,Erik Durm,de GER,"DF,FW",Dortmund,de Bundesliga,24,1992,10.8,,,,,,,,,,,,,,,,,Matches
746,Jimmy Durmaz,se SWE,MF,Toulouse,fr Ligue 1,27,1989,16.9,,,,,,,,,,,,,,,,,Matches
747,Riza Durmisi,dk DEN,DF,Betis,es La Liga,22,1994,26.5,,,,,,,,,,,,,,,,,Matches
748,Noë Dussenne,be BEL,DF,Crotone,it Serie A,24,1992,5.2,,,,,,,,,,,,,,,,,Matches
749,Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,22,1993,23.8,,,,,,,,,,,,,,,,,Matches
750,Nathan Dyer,eng ENG,"FW,MF",Swansea City,eng Premier League,28,1987,2.4,,,,,,,,,,,,,,,,,Matches
751,Edin Džeko,ba BIH,FW,Roma,it Serie A,30,1986,33.9,,,,,,,,,,,,,,,,,Matches
752,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,30,1986,28.7,,,,,,,,,,,,,,,,,Matches
753,Elderson Echiéjilé,ng NGA,DF,Sporting Gijón,es La Liga,28,1988,2.2,,,,,,,,,,,,,,,,,Matches
754,Edenílson,br BRA,"FW,MF",Genoa,it Serie A,26,1989,10.0,,,,,,,,,,,,,,,,,Matches
755,Éder,it ITA,FW,Inter,it Serie A,29,1986,16.5,,,,,,,,,,,,,,,,,Matches
756,Éder,pt POR,FW,Lille,fr Ligue 1,28,1987,27.4,,,,,,,,,,,,,,,,,Matches
757,Odsonne Édouard,fr FRA,FW,Toulouse,fr Ligue 1,18,1998,6.4,,,,,,,,,,,,,,,,,Matches
758,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,19,1996,9.9,,,,,,,,,,,,,,,,,Matches
759,Ovie Ejaria,eng ENG,"FW,MF",Liverpool,eng Premier League,18,1997,0.1,,,,,,,,,,,,,,,,,Matches
760,Albin Ekdal,se SWE,MF,Hamburger SV,de Bundesliga,27,1989,13.9,,,,,,,,,,,,,,,,,Matches
761,Omar Elabdellaoui,no NOR,"DF,MF",Hull City,eng Premier League,24,1991,6.8,,,,,,,,,,,,,,,,,Matches
762,Andrew Eleftheriou,eng ENG,DF,Watford,eng Premier League,18,1997,0.6,,,,,,,,,,,,,,,,,Matches
763,Ahmed Elmohamady,eg EGY,"DF,MF",Hull City,eng Premier League,28,1987,28.0,,,,,,,,,,,,,,,,,Matches
764,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,24,1992,7.7,,,,,,,,,,,,,,,,,Matches
765,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,22,1994,5.1,,,,,,,,,,,,,,,,,Matches
766,Gorka Elustondo,es ESP,"DF,MF",Athletic Club,es La Liga,29,1987,1.2,,,,,,,,,,,,,,,,,Matches
767,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,19,1996,23.4,,,,,,,,,,,,,,,,,Matches
768,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,22,1993,8.8,,,,,,,,,,,,,,,,,Matches
769,Breel Embolo,ch SUI,"FW,MF",Schalke 04,de Bundesliga,19,1997,3.8,,,,,,,,,,,,,,,,,Matches
770,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,19,1997,3.7,,,,,,,,,,,,,,,,,Matches
771,Sergi Enrich,es ESP,"FW,MF",Eibar,es La Liga,26,1990,31.4,,,,,,,,,,,,,,,,,Matches
772,Juanan Entrena,es ESP,MF,Granada,es La Liga,20,1996,1.1,,,,,,,,,,,,,,,,,Matches
773,Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,33,1982,31.7,,,,,,,,,,,,,,,,,Matches
774,Mirko Eramo,it ITA,MF,Sampdoria,it Serie A,27,1989,0.1,,,,,,,,,,,,,,,,,Matches
775,Kermit Erasmus,za RSA,"FW,MF",Rennes,fr Ligue 1,26,1990,1.9,,,,,,,,,,,,,,,,,Matches
776,Javier Eraso,es ESP,MF,Athletic Club,es La Liga,26,1990,4.2,,,,,,,,,,,,,,,,,Matches
777,Mevlüt Erdinç,tr TUR,FW,Metz,fr Ligue 1,29,1987,15.6,,,,,,,,,,,,,,,,,Matches
778,Christian Eriksen,dk DEN,"FW,MF",Tottenham,eng Premier League,24,1992,35.1,,,,,,,,,,,,,,,,,Matches
779,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,23,1993,22.4,,,,,,,,,,,,,,,,,Matches
780,Sergio Escudero,es ESP,"DF,MF",Sevilla,es La Liga,26,1989,25.4,,,,,,,,,,,,,,,,,Matches
781,Bernardo Espinosa,co COL,DF,Middlesbrough,eng Premier League,27,1989,10.8,,,,,,,,,,,,,,,,,Matches
782,Cristian Espinoza,ar ARG,"FW,MF",Alavés,es La Liga,21,1995,1.8,,,,,,,,,,,,,,,,,Matches
783,Michael Esser,de GER,GK,Darmstadt 98,de Bundesliga,28,1987,27.6,,,,,,,,,,,,,,,,,Matches
784,Alexander Esswein,de GER,"FW,MF",Hertha BSC,de Bundesliga,26,1990,14.7,,,,,,,,,,,,,,,,,Matches
785,Pervis Estupiñán,ec ECU,"DF,MF",Granada,es La Liga,18,1998,2.0,,,,,,,,,,,,,,,,,Matches
786,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,29,1987,26.7,,,,,,,,,,,,,,,,,Matches
787,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,28,1987,7.9,,,,,,,,,,,,,,,,,Matches
788,Lucas Evangelista,br BRA,MF,Udinese,it Serie A,21,1995,2.3,,,,,,,,,,,,,,,,,Matches
789,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,28,1988,29.3,,,,,,,,,,,,,,,,,Matches
790,Patrice Evra,fr FRA,DF,Juventus,it Serie A,35,1981,2.8,,,,,,,,,,,,,,,,,Matches
791,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,35,1981,9.6,,,,,,,,,,,,,,,,,Matches
792,Ewandro,br BRA,"FW,MF",Udinese,it Serie A,20,1996,0.7,,,,,,,,,,,,,,,,,Matches
793,Edu Expósito,es ESP,MF,La Coruña,es La Liga,19,1996,0.5,,,,,,,,,,,,,,,,,Matches
794,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,20,1996,1.8,,,,,,,,,,,,,,,,,Matches
795,Valentin Eysseric,fr FRA,"FW,MF",Nice,fr Ligue 1,24,1992,23.1,,,,,,,,,,,,,,,,,Matches
796,Marco Fabián,mx MEX,"FW,MF",Eint Frankfurt,de Bundesliga,27,1989,22.8,,,,,,,,,,,,,,,,,Matches
797,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,31,1985,37.0,,,,,,,,,,,,,,,,,Matches
798,Fabinho,br BRA,"DF,MF",Monaco,fr Ligue 1,22,1993,34.1,,,,,,,,,,,,,,,,,Matches
799,Fábio,br BRA,DF,Middlesbrough,eng Premier League,26,1990,20.5,,,,,,,,,,,,,,,,,Matches
800,Cesc Fàbregas,es ESP,"FW,MF",Chelsea,eng Premier League,29,1987,14.9,,,,,,,,,,,,,,,,,Matches
801,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,27,1988,34.0,,,,,,,,,,,,,,,,,Matches
802,Fayçal Fajr,ma MAR,MF,La Coruña,es La Liga,27,1988,13.4,,,,,,,,,,,,,,,,,Matches
803,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,30,1986,21.4,,,,,,,,,,,,,,,,,Matches
804,Diego Falcinelli,it ITA,"FW,MF",Crotone,it Serie A,25,1991,34.7,,,,,,,,,,,,,,,,,Matches
805,Diego Falcinelli,it ITA,"FW,MF",Sassuolo,it Serie A,25,1991,0.2,,,,,,,,,,,,,,,,,Matches
806,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,24,1992,34.3,,,,,,,,,,,,,,,,,Matches
807,Iago Falque,es ESP,"FW,MF",Torino,it Serie A,26,1990,28.0,,,,,,,,,,,,,,,,,Matches
808,Rod Fanni,fr FRA,DF,Marseille,fr Ligue 1,34,1981,26.6,,,,,,,,,,,,,,,,,Matches
809,Paolo Faragò,it ITA,"DF,MF",Cagliari,it Serie A,23,1993,3.9,,,,,,,,,,,,,,,,,Matches
810,Davide Faraoni,it ITA,"DF,MF",Udinese,it Serie A,24,1991,3.7,,,,,,,,,,,,,,,,,Matches
811,Diego Farias,br BRA,FW,Cagliari,it Serie A,26,1990,13.0,,,,,,,,,,,,,,,,,Matches
812,Federico Fazio,ar ARG,DF,Roma,it Serie A,29,1987,34.6,,,,,,,,,,,,,,,,,Matches
813,Nicolò Fazzi,it ITA,"DF,MF",Crotone,it Serie A,21,1995,0.1,,,,,,,,,,,,,,,,,Matches
814,Zouhair Feddal,ma MAR,"DF,MF",Alavés,es La Liga,27,1989,24.9,,,,,,,,,,,,,,,,,Matches
815,Adam Federici,au AUS,GK,Bournemouth,eng Premier League,31,1985,2.0,,,,,,,,,,,,,,,,,Matches
816,Artem Fedetskyi,ua UKR,DF,Darmstadt 98,de Bundesliga,31,1985,12.3,,,,,,,,,,,,,,,,,Matches
817,Sofiane Feghouli,dz ALG,"FW,MF",West Ham,eng Premier League,26,1989,11.6,,,,,,,,,,,,,,,,,Matches
818,Nabil Fekir,fr FRA,"FW,MF",Lyon,fr Ligue 1,23,1993,24.5,,,,,,,,,,,,,,,,,Matches
819,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,28,1987,17.8,,,,,,,,,,,,,,,,,Matches
820,Kiko Femenía,es ESP,"DF,FW",Alavés,es La Liga,25,1991,27.8,,,,,,,,,,,,,,,,,Matches
821,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,26,1990,26.7,,,,,,,,,,,,,,,,,Matches
822,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,34,1982,34.6,,,,,,,,,,,,,,,,,Matches
823,Bruno Fernandes,pt POR,"FW,MF",Sampdoria,it Serie A,21,1994,19.0,,,,,,,,,,,,,,,,,Matches
824,Edimilson Fernandes,ch SUI,"DF,MF",West Ham,eng Premier League,20,1996,11.1,,,,,,,,,,,,,,,,,Matches
825,Gelson Fernandes,ch SUI,MF,Rennes,fr Ligue 1,29,1986,20.4,,,,,,,,,,,,,,,,,Matches
826,Álvaro Fernández,es ESP,GK,Osasuna,es La Liga,18,1998,0.5,,,,,,,,,,,,,,,,,Matches
827,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,29,1986,14.6,,,,,,,,,,,,,,,,,Matches
828,Augusto Fernández,ar ARG,MF,Atlético Madrid,es La Liga,30,1986,1.6,,,,,,,,,,,,,,,,,Matches
829,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,20,1996,1.0,,,,,,,,,,,,,,,,,Matches
830,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,27,1989,27.0,,,,,,,,,,,,,,,,,Matches
831,Mario Fernández,es ESP,GK,Osasuna,es La Liga,28,1988,6.5,,,,,,,,,,,,,,,,,Matches
832,Matías Fernández,cl CHI,MF,Milan,it Serie A,30,1986,7.2,,,,,,,,,,,,,,,,,Matches
833,Pablo Fernández,es ESP,MF,Sporting Gijón,es La Liga,19,1996,0.2,,,,,,,,,,,,,,,,,Matches
834,Fernandinho,br BRA,"DF,MF",Manchester City,eng Premier League,31,1985,30.6,,,,,,,,,,,,,,,,,Matches
835,Fernando,br BRA,"DF,MF",Manchester City,eng Premier League,29,1987,6.3,,,,,,,,,,,,,,,,,Matches
836,Alex Ferrari,it ITA,DF,Bologna,it Serie A,22,1994,1.0,,,,,,,,,,,,,,,,,Matches
837,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,24,1992,11.7,,,,,,,,,,,,,,,,,Matches
838,Marco Festa,it ITA,GK,Crotone,it Serie A,24,1992,2.0,,,,,,,,,,,,,,,,,Matches
839,Markus Feulner,de GER,MF,Augsburg,de Bundesliga,34,1982,0.2,,,,,,,,,,,,,,,,,Matches
840,Riccardo Fiamozzi,it ITA,"DF,MF",Genoa,it Serie A,23,1993,1.2,,,,,,,,,,,,,,,,,Matches
841,Sam Field,eng ENG,MF,West Brom,eng Premier League,18,1998,3.1,,,,,,,,,,,,,,,,,Matches
842,Afonso Figueiredo,pt POR,DF,Rennes,fr Ligue 1,23,1993,2.9,,,,,,,,,,,,,,,,,Matches
843,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,27,1989,12.5,,,,,,,,,,,,,,,,,Matches
844,Vincenzo Fiorillo,it ITA,GK,Pescara,it Serie A,26,1990,9.0,,,,,,,,,,,,,,,,,Matches
845,Roberto Firmino,br BRA,"FW,MF",Liverpool,eng Premier League,24,1991,34.0,,,,,,,,,,,,,,,,,Matches
846,Viktor Fischer,dk DEN,"FW,MF",Middlesbrough,eng Premier League,22,1994,4.9,,,,,,,,,,,,,,,,,Matches
847,Mathieu Flamini,fr FRA,MF,Crystal Palace,eng Premier League,32,1984,3.0,,,,,,,,,,,,,,,,,Matches
848,Jon Flanagan,eng ENG,DF,Burnley,eng Premier League,23,1993,4.0,,,,,,,,,,,,,,,,,Matches
849,Javier Flaño,es ESP,DF,Osasuna,es La Liga,31,1984,1.5,,,,,,,,,,,,,,,,,Matches
850,Miguel Flaño,es ESP,DF,Osasuna,es La Liga,31,1984,11.5,,,,,,,,,,,,,,,,,Matches
851,Ashley Fletcher,eng ENG,FW,West Ham,eng Premier League,20,1995,4.1,,,,,,,,,,,,,,,,,Matches
852,Darren Fletcher,sct SCO,MF,West Brom,eng Premier League,32,1984,35.9,,,,,,,,,,,,,,,,,Matches
853,Sergio Floccari,it ITA,FW,Bologna,it Serie A,34,1981,2.7,,,,,,,,,,,,,,,,,Matches
854,Alessandro Florenzi,it ITA,"DF,FW",Roma,it Serie A,25,1991,8.3,,,,,,,,,,,,,,,,,Matches
855,Antonio Floro Flores,it ITA,FW,Chievo,it Serie A,33,1983,6.1,,,,,,,,,,,,,,,,,Matches
856,Moryké Fofana,ci CIV,"FW,MF",Lorient,fr Ligue 1,24,1991,3.9,,,,,,,,,,,,,,,,,Matches
857,Seko Fofana,ci CIV,MF,Udinese,it Serie A,21,1995,20.2,,,,,,,,,,,,,,,,,Matches
858,Jonas Föhrenbach,de GER,DF,Freiburg,de Bundesliga,20,1996,1.1,,,,,,,,,,,,,,,,,Matches
859,Michael Folivi,eng ENG,FW,Watford,eng Premier League,18,1998,0.1,,,,,,,,,,,,,,,,,Matches
860,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,26,1989,16.2,,,,,,,,,,,,,,,,,Matches
861,José Fonte,pt POR,DF,Southampton,eng Premier League,32,1983,17.0,,,,,,,,,,,,,,,,,Matches
862,José Fonte,pt POR,DF,West Ham,eng Premier League,32,1983,15.6,,,,,,,,,,,,,,,,,Matches
863,Pablo Fornals,es ESP,"FW,MF",Málaga,es La Liga,20,1996,29.6,,,,,,,,,,,,,,,,,Matches
864,Michele Fornasier,it ITA,DF,Pescara,it Serie A,22,1993,18.0,,,,,,,,,,,,,,,,,Matches
865,Emil Forsberg,se SWE,"FW,MF",RB Leipzig,de Bundesliga,24,1991,26.0,,,,,,,,,,,,,,,,,Matches
866,Adam Forshaw,eng ENG,MF,Middlesbrough,eng Premier League,24,1991,29.9,,,,,,,,,,,,,,,,,Matches
867,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,28,1988,38.0,,,,,,,,,,,,,,,,,Matches
868,Ben Foster,eng ENG,GK,West Brom,eng Premier League,33,1983,38.0,,,,,,,,,,,,,,,,,Matches
869,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,18,1998,1.1,,,,,,,,,,,,,,,,,Matches
870,Dimitri Foulquier,fr FRA,"DF,MF",Granada,es La Liga,23,1993,20.8,,,,,,,,,,,,,,,,,Matches
871,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,20,1995,1.6,,,,,,,,,,,,,,,,,Matches
872,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,31,1985,32.7,,,,,,,,,,,,,,,,,Matches
873,Mike Frantz,de GER,"FW,MF",Freiburg,de Bundesliga,29,1986,27.7,,,,,,,,,,,,,,,,,Matches
874,Ryan Fraser,sct SCO,"FW,MF",Bournemouth,eng Premier League,22,1994,19.6,,,,,,,,,,,,,,,,,Matches
875,Fabian Frei,ch SUI,"DF,MF",Mainz 05,de Bundesliga,27,1989,18.5,,,,,,,,,,,,,,,,,Matches
876,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,24,1992,29.0,,,,,,,,,,,,,,,,,Matches
877,Nicolas Frey,fr FRA,DF,Chievo,it Serie A,32,1984,13.1,,,,,,,,,,,,,,,,,Matches
878,George Friend,eng ENG,"DF,MF",Middlesbrough,eng Premier League,28,1987,21.8,,,,,,,,,,,,,,,,,Matches
879,Clemens Fritz,de GER,"DF,MF",Werder Bremen,de Bundesliga,35,1980,14.3,,,,,,,,,,,,,,,,,Matches
880,Lukas Fröde,de GER,"DF,MF",Werder Bremen,de Bundesliga,21,1995,0.2,,,,,,,,,,,,,,,,,Matches
881,Zeki Fryers,eng ENG,DF,Crystal Palace,eng Premier League,23,1992,2.1,,,,,,,,,,,,,,,,,Matches
882,Christian Fuchs,at AUT,"DF,MF",Leicester City,eng Premier League,30,1986,34.5,,,,,,,,,,,,,,,,,Matches
883,Javi Fuego,es ESP,MF,Espanyol,es La Liga,32,1984,28.5,,,,,,,,,,,,,,,,,Matches
884,Andrea Fulignati,it ITA,"FW,GK",Palermo,it Serie A,21,1994,9.0,,,,,,,,,,,,,,,,,Matches
885,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,22,1994,7.7,,,,,,,,,,,,,,,,,Matches
886,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,25,1991,17.1,,,,,,,,,,,,,,,,,Matches
887,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,24,1991,8.0,,,,,,,,,,,,,,,,,Matches
888,Manolo Gabbiadini,it ITA,FW,Napoli,it Serie A,24,1991,5.7,,,,,,,,,,,,,,,,,Matches
889,Gabi,es ESP,MF,Atlético Madrid,es La Liga,33,1983,32.1,,,,,,,,,,,,,,,,,Matches
890,Gabriel,br BRA,GK,Cagliari,it Serie A,23,1992,3.0,,,,,,,,,,,,,,,,,Matches
891,Gabriel,br BRA,MF,Leganés,es La Liga,22,1993,30.5,,,,,,,,,,,,,,,,,Matches
892,Mijat Gaćinović,rs SRB,MF,Eint Frankfurt,de Bundesliga,21,1995,24.8,,,,,,,,,,,,,,,,,Matches
893,Roberto Gagliardini,it ITA,MF,Atalanta,it Serie A,22,1994,8.6,,,,,,,,,,,,,,,,,Matches
894,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,22,1994,17.5,,,,,,,,,,,,,,,,,Matches
895,Nicolás Gaitán,ar ARG,"FW,MF",Atlético Madrid,es La Liga,28,1988,11.4,,,,,,,,,,,,,,,,,Matches
896,Milan Gajić,rs SRB,"DF,MF",Bordeaux,fr Ligue 1,20,1996,12.6,,,,,,,,,,,,,,,,,Matches
897,Serge Gakpé,tg TOG,"FW,MF",Genoa,it Serie A,29,1987,3.5,,,,,,,,,,,,,,,,,Matches
898,Serge Gakpé,tg TOG,"FW,MF",Chievo,it Serie A,29,1987,2.8,,,,,,,,,,,,,,,,,Matches
899,Brendan Galloway,zw ZIM,DF,West Brom,eng Premier League,20,1996,2.7,,,,,,,,,,,,,,,,,Matches
900,Álex Gálvez,es ESP,"DF,MF",Eibar,es La Liga,27,1989,14.8,,,,,,,,,,,,,,,,,Matches
901,Bruno Gama,pt POR,"FW,MF",La Coruña,es La Liga,28,1987,16.0,,,,,,,,,,,,,,,,,Matches
902,Alessandro Gamberini,it ITA,DF,Chievo,it Serie A,34,1981,18.5,,,,,,,,,,,,,,,,,Matches
