Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
920,Craig Gardner,eng ENG,MF,West Brom,eng Premier League,29,1986,2.4,,,,,,,,,,,,,,,,,Matches
921,Jordy Gaspar,ao ANG,"DF,MF",Lyon,fr Ligue 1,19,1997,1.9,,,,,,,,,,,,,,,,,Matches
922,Mario Gaspar,es ESP,"DF,MF",Villarreal,es La Liga,25,1990,36.0,,,,,,,,,,,,,,,,,Matches
923,Daniele Gastaldello,it ITA,DF,Bologna,it Serie A,33,1983,21.3,,,,,,,,,,,,,,,,,Matches
924,Johan Gastien,fr FRA,MF,Dijon,fr Ligue 1,28,1988,9.9,,,,,,,,,,,,,,,,,Matches
925,Jon Gaztañaga,es ESP,"DF,MF",Real Sociedad,es La Liga,25,1991,0.3,,,,,,,,,,,,,,,,,Matches
926,Alessandro Gazzi,it ITA,MF,Palermo,it Serie A,33,1983,21.6,,,,,,,,,,,,,,,,,Matches
927,Marcello Gazzola,it ITA,DF,Sassuolo,it Serie A,31,1985,15.2,,,,,,,,,,,,,,,,,Matches
928,Jean-Philippe Gbamin,ci CIV,"DF,MF",Mainz 05,de Bundesliga,20,1995,20.3,,,,,,,,,,,,,,,,,Matches
929,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,25,1990,35.0,,,,,,,,,,,,,,,,,Matches
930,Theodor Gebre Selassie,cz CZE,"DF,MF",Werder Bremen,de Bundesliga,29,1986,26.0,,,,,,,,,,,,,,,,,Matches
931,Johannes Geis,de GER,"DF,MF",Schalke 04,de Bundesliga,22,1993,14.7,,,,,,,,,,,,,,,,,Matches
932,Romain Genevois,ht HAI,DF,Caen,fr Ligue 1,28,1987,9.6,,,,,,,,,,,,,,,,,Matches
933,Santiago Gentiletti,ar ARG,DF,Genoa,it Serie A,31,1985,13.5,,,,,,,,,,,,,,,,,Matches
934,Yannick Gerhardt,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,1994,24.6,,,,,,,,,,,,,,,,,Matches
935,Valère Germain,fr FRA,FW,Monaco,fr Ligue 1,26,1990,24.7,,,,,,,,,,,,,,,,,Matches
936,Gerson,br BRA,"FW,MF",Roma,it Serie A,19,1997,1.5,,,,,,,,,,,,,,,,,Matches
937,Rudy Gestede,bj BEN,FW,Middlesbrough,eng Premier League,27,1988,5.9,,,,,,,,,,,,,,,,,Matches
938,Anwar El Ghazi,nl NED,"FW,MF",Lille,fr Ligue 1,21,1995,7.8,,,,,,,,,,,,,,,,,Matches
939,Lamine Ghezali,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,1999,0.0,,,,,,,,,,,,,,,,,Matches
940,Rachid Ghezzal,dz ALG,"FW,MF",Lyon,fr Ligue 1,24,1992,15.3,,,,,,,,,,,,,,,,,Matches
941,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,25,1991,26.5,,,,,,,,,,,,,,,,,Matches
942,Emanuele Giaccherini,it ITA,"FW,MF",Napoli,it Serie A,31,1985,3.3,,,,,,,,,,,,,,,,,Matches
943,Niccolò Giannetti,it ITA,FW,Cagliari,it Serie A,25,1991,2.8,,,,,,,,,,,,,,,,,Matches
944,Kieran Gibbs,eng ENG,"DF,MF",Arsenal,eng Premier League,26,1989,7.8,,,,,,,,,,,,,,,,,Matches
945,Ben Gibson,eng ENG,DF,Middlesbrough,eng Premier League,23,1993,38.0,,,,,,,,,,,,,,,,,Matches
946,Darron Gibson,ie IRL,MF,Sunderland,eng Premier League,28,1987,7.1,,,,,,,,,,,,,,,,,Matches
947,Carles Gil,es ESP,"FW,MF",La Coruña,es La Liga,23,1992,15.6,,,,,,,,,,,,,,,,,Matches
948,Nacho Gil,es ESP,MF,Valencia,es La Liga,20,1995,0.0,,,,,,,,,,,,,,,,,Matches
949,Alberto Gilardino,it ITA,FW,Empoli,it Serie A,34,1982,6.7,,,,,,,,,,,,,,,,,Matches
950,Alberto Gilardino,it ITA,FW,Pescara,it Serie A,34,1982,1.2,,,,,,,,,,,,,,,,,Matches
951,Guillaume Gillet,be BEL,"DF,MF",Nantes,fr Ligue 1,32,1984,37.4,,,,,,,,,,,,,,,,,Matches
952,Dani Giménez,es ESP,GK,Betis,es La Liga,33,1983,1.0,,,,,,,,,,,,,,,,,Matches
953,Matthias Ginter,de GER,"DF,MF",Dortmund,de Bundesliga,22,1994,27.5,,,,,,,,,,,,,,,,,Matches
954,Thibault Giresse,fr FRA,MF,Guingamp,fr Ligue 1,35,1981,4.8,,,,,,,,,,,,,,,,,Matches
955,Olivier Giroud,fr FRA,FW,Arsenal,eng Premier League,29,1986,13.4,,,,,,,,,,,,,,,,,Matches
956,Shay Given,ie IRL,GK,Stoke City,eng Premier League,40,1976,5.0,,,,,,,,,,,,,,,,,Matches
957,Kamil Glik,pl POL,"DF,MF",Monaco,fr Ligue 1,28,1988,36.0,,,,,,,,,,,,,,,,,Matches
958,Serge Gnabry,de GER,"FW,MF",Werder Bremen,de Bundesliga,21,1995,21.8,,,,,,,,,,,,,,,,,Matches
959,Joris Gnagnon,fr FRA,DF,Rennes,fr Ligue 1,19,1997,25.9,,,,,,,,,,,,,,,,,Matches
960,Eddy Gnahoré,fr FRA,MF,Crotone,it Serie A,22,1993,0.3,,,,,,,,,,,,,,,,,Matches
961,Assane Gnoukouri,ci CIV,MF,Inter,it Serie A,19,1996,1.6,,,,,,,,,,,,,,,,,Matches
962,Massimo Gobbi,it ITA,"DF,MF",Chievo,it Serie A,35,1980,28.9,,,,,,,,,,,,,,,,,Matches
963,Diego Godín,uy URU,DF,Atlético Madrid,es La Liga,30,1986,30.1,,,,,,,,,,,,,,,,,Matches
964,Evandro Goebel,br BRA,MF,Hull City,eng Premier League,29,1986,6.4,,,,,,,,,,,,,,,,,Matches
965,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,28,1988,2.0,,,,,,,,,,,,,,,,,Matches
966,Edoardo Goldaniga,it ITA,DF,Palermo,it Serie A,22,1993,25.8,,,,,,,,,,,,,,,,,Matches
967,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,21,1995,4.0,,,,,,,,,,,,,,,,,Matches
968,André Gomes,pt POR,MF,Barcelona,es La Liga,23,1993,17.7,,,,,,,,,,,,,,,,,Matches
969,Angel Gomes,eng ENG,"FW,MF",Manchester Utd,eng Premier League,15,2000,0.0,,,,,,,,,,,,,,,,,Matches
970,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,35,1981,37.1,,,,,,,,,,,,,,,,,Matches
971,Gustavo Gómez,py PAR,DF,Milan,it Serie A,23,1993,12.1,,,,,,,,,,,,,,,,,Matches
972,Ibai Gómez,es ESP,"FW,MF",Alavés,es La Liga,26,1989,20.2,,,,,,,,,,,,,,,,,Matches
973,Mario Gómez,de GER,FW,Wolfsburg,de Bundesliga,31,1985,31.7,,,,,,,,,,,,,,,,,Matches
974,Moi Gómez,es ESP,"FW,MF",Sporting Gijón,es La Liga,22,1994,20.7,,,,,,,,,,,,,,,,,Matches
975,Papu Gómez,ar ARG,"FW,MF",Atalanta,it Serie A,28,1988,34.7,,,,,,,,,,,,,,,,,Matches
976,Sergi Gómez,es ESP,DF,Celta Vigo,es La Liga,24,1992,21.2,,,,,,,,,,,,,,,,,Matches
977,Vicente Gómez,es ESP,MF,Las Palmas,es La Liga,27,1988,25.7,,,,,,,,,,,,,,,,,Matches
978,Bafétimbi Gomis,fr FRA,FW,Marseille,fr Ligue 1,30,1985,28.9,,,,,,,,,,,,,,,,,Matches
979,Maxime Gonalons,fr FRA,MF,Lyon,fr Ligue 1,27,1989,28.0,,,,,,,,,,,,,,,,,Matches
980,Jérôme Gondorf,de GER,MF,Darmstadt 98,de Bundesliga,28,1988,28.3,,,,,,,,,,,,,,,,,Matches
981,Adrián González,es ESP,MF,Eibar,es La Liga,28,1988,17.0,,,,,,,,,,,,,,,,,Matches
982,Álvaro González,es ESP,DF,Villarreal,es La Liga,26,1990,21.0,,,,,,,,,,,,,,,,,Matches
983,Álvaro González,es ESP,DF,Espanyol,es La Liga,26,1990,2.0,,,,,,,,,,,,,,,,,Matches
984,Bruno González,es ESP,DF,Betis,es La Liga,26,1990,14.8,,,,,,,,,,,,,,,,,Matches
985,Diego González,es ESP,DF,Sevilla,es La Liga,21,1995,0.4,,,,,,,,,,,,,,,,,Matches
986,Giancarlo González,cr CRC,DF,Palermo,it Serie A,28,1988,18.5,,,,,,,,,,,,,,,,,Matches
987,Mario González,es ESP,FW,Villarreal,es La Liga,20,1996,0.3,,,,,,,,,,,,,,,,,Matches
988,Mikel González,es ESP,DF,Real Sociedad,es La Liga,30,1985,7.4,,,,,,,,,,,,,,,,,Matches
989,Lynden Gooch,us USA,"DF,FW",Sunderland,eng Premier League,20,1995,4.1,,,,,,,,,,,,,,,,,Matches
990,Leon Goretzka,de GER,MF,Schalke 04,de Bundesliga,21,1995,28.5,,,,,,,,,,,,,,,,,Matches
991,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,25,1990,1.0,,,,,,,,,,,,,,,,,Matches
992,Benjamin Gorka,de GER,DF,Darmstadt 98,de Bundesliga,32,1984,0.1,,,,,,,,,,,,,,,,,Matches
993,Dan Gosling,eng ENG,"DF,MF",Bournemouth,eng Premier League,26,1990,15.2,,,,,,,,,,,,,,,,,Matches
994,Ashton Götz,de GER,"DF,MF",Hamburger SV,de Bundesliga,23,1993,0.7,,,,,,,,,,,,,,,,,Matches
995,Mario Götze,de GER,"FW,MF",Dortmund,de Bundesliga,24,1992,8.4,,,,,,,,,,,,,,,,,Matches
996,Yoann Gourcuff,fr FRA,MF,Rennes,fr Ligue 1,30,1986,25.4,,,,,,,,,,,,,,,,,Matches
997,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,25,1991,17.2,,,,,,,,,,,,,,,,,Matches
998,Lewis Grabban,eng ENG,"FW,MF",Bournemouth,eng Premier League,28,1988,0.7,,,,,,,,,,,,,,,,,Matches
999,Max Gradel,ci CIV,"FW,MF",Bournemouth,eng Premier League,28,1987,1.5,,,,,,,,,,,,,,,,,Matches
1000,Esteban Granero,es ESP,MF,Real Sociedad,es La Liga,29,1987,7.7,,,,,,,,,,,,,,,,,Matches
1001,Lee Grant,eng ENG,GK,Stoke City,eng Premier League,33,1983,28.0,,,,,,,,,,,,,,,,,Matches
1002,Alberto Grassi,it ITA,MF,Atalanta,it Serie A,21,1995,7.8,,,,,,,,,,,,,,,,,Matches
1003,Andre Gray,jm JAM,FW,Burnley,eng Premier League,25,1991,25.1,,,,,,,,,,,,,,,,,Matches
1004,Demarai Gray,jm JAM,"FW,MF",Leicester City,eng Premier League,20,1996,11.7,,,,,,,,,,,,,,,,,Matches
