Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
233,Barri,es ESP,"MF,FW",Getafe,es La Liga,21,1995,2,113,57,3.3,1.3,1,90,1,1,23,2,3.00,1,0,+1,+0.80,+0.58,1.5,1.8,-0.3,-0.26,-0.50,Matches
234,Musa Barrow,gm GAM,FW,Atalanta,it Serie A,18,1998,12,443,37,13.0,4.9,5,,0,7,,5,1.67,11,4,+7,+1.42,+1.09,12.6,4.1,+8.5,+1.73,+1.15,Matches
235,Gareth Barry,eng ENG,MF,West Brom,eng Premier League,36,1981,25,1923,77,56.2,21.4,22,,16,3,,0,0.64,20,35,-15,-0.70,-0.10,21.9,26.4,-4.5,-0.21,+0.21,Matches
236,Fin Bartels,de GER,FW,Werder Bremen,de Bundesliga,30,1987,14,1121,80,36.6,12.5,14,,6,0,,1,1.00,10,12,-2,-0.16,-0.11,13.5,13.6,-0.1,-0.01,+0.27,Matches
237,Kyle Bartley,eng ENG,DF,Swansea City,eng Premier League,26,1991,5,235,47,6.9,2.6,2,,1,3,,10,0.60,2,4,-2,-0.77,-0.03,2.3,5.6,-3.4,-1.29,-0.62,Matches
238,Marc Bartra,es ESP,DF,Betis,es La Liga,26,1991,16,1420,89,41.5,15.8,16,89,15,0,,0,1.88,23,15,+8,+0.51,+0.91,17.9,15.9,+2.0,+0.13,+0.35,Matches
239,Marc Bartra,es ESP,DF,Dortmund,de Bundesliga,26,1991,12,807,67,26.4,9.0,9,,8,3,,3,1.25,15,16,-1,-0.11,-0.83,15.6,11.2,+4.4,+0.49,-0.29,Matches
240,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,36,1981,25,1447,58,42.3,16.1,14,,14,11,,12,2.64,34,9,+25,+1.55,-0.13,22.1,10.9,+11.2,+0.70,-0.07,Matches
241,Daniele Baselli,it ITA,MF,Torino,it Serie A,25,1992,32,2521,79,73.7,28.0,30,,18,2,,0,1.50,43,32,+11,+0.39,+0.69,36.7,32.1,+4.6,+0.16,+0.73,Matches
242,Nicolas Basin,fr FRA,DF,Metz,fr Ligue 1,19,1998,5,313,63,9.2,3.5,3,89,2,2,24,6,0.60,1,11,-10,-2.88,-1.95,3.4,6.1,-2.7,-0.78,+0.04,Matches
243,Dušan Basta,rs SRB,DF,Lazio,it Serie A,32,1984,11,775,70,22.7,8.6,9,,5,2,,20,1.73,19,15,+4,+0.46,-0.76,12.1,10.9,+1.2,+0.15,-0.48,Matches
244,Gil Bastião Dias,pt POR,"FW,MF",Fiorentina,it Serie A,20,1996,27,1190,44,34.8,13.2,9,,2,18,,9,1.07,17,22,-5,-0.38,-0.90,15.9,18.5,-2.6,-0.20,-0.86,Matches
245,Gil Bastião Dias,pt POR,MF,Monaco,fr Ligue 1,20,1996,1,8,8,0.2,0.1,0,,0,1,8,0,3.00,0,0,0,0.00,-1.06,0.1,0.3,-0.2,-2.69,-3.06,Matches
246,Samuel Bastien,cd COD,MF,Chievo,it Serie A,20,1996,21,1355,65,39.6,15.1,15,,9,6,,13,1.05,9,24,-15,-1.00,-0.65,11.8,25.5,-13.6,-0.91,-0.58,Matches
247,Borja Bastón,es ESP,FW,Málaga,es La Liga,24,1992,20,985,49,28.8,10.9,8,85,5,12,25,5,0.50,7,18,-11,-1.01,-0.04,13.2,19.9,-6.7,-0.61,-0.08,Matches
248,Alessandro Bastoni,it ITA,DF,Atalanta,it Serie A,18,1999,4,91,23,2.7,1.0,0,,0,4,,18,2.25,0,1,-1,-0.99,-1.50,1.2,0.5,+0.7,+0.68,-0.04,Matches
249,Bastos,ao ANG,DF,Lazio,it Serie A,26,1991,21,1407,67,41.1,15.6,16,,11,5,,15,1.71,32,21,+11,+0.70,-0.59,25.3,19.3,+6.0,+0.38,-0.24,Matches
250,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,23,1993,12,360,30,10.5,4.0,3,,1,9,,9,2.08,11,7,+4,+1.00,+0.41,4.8,3.6,+1.2,+0.30,-0.27,Matches
251,Michy Batshuayi,be BEL,FW,Dortmund,de Bundesliga,23,1993,10,839,84,27.4,9.3,9,,9,1,,0,2.00,14,14,0,0.00,-0.69,15.2,14.6,+0.6,+0.07,-0.87,Matches
252,Moritz Bauer,at AUT,"DF,MF",Stoke City,eng Premier League,25,1992,15,1306,87,38.2,14.5,15,,12,0,,1,0.87,10,18,-8,-0.55,+0.51,11.9,21.8,-10.0,-0.69,0.00,Matches
253,Robert Bauer,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1995,16,956,60,31.2,10.6,12,,9,4,,18,1.00,6,16,-10,-0.94,-1.24,9.8,13.2,-3.4,-0.32,-0.20,Matches
254,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,3060,90,100.0,34.0,34,,34,0,,0,1.62,66,48,+18,+0.53,,50.5,47.2,+3.3,+0.10,,Matches
255,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,21,1996,29,2610,90,85.3,29.0,29,,29,0,,0,1.59,33,29,+4,+0.14,+0.94,35.2,39.3,-4.1,-0.14,-0.33,Matches
256,Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,de Bundesliga,29,1988,22,1393,63,45.5,15.5,17,,9,5,,9,2.14,32,12,+20,+1.29,+1.62,29.8,14.2,+15.6,+1.01,+0.84,Matches
257,Jon Bautista,es ESP,"FW,MF",Real Sociedad,es La Liga,22,1995,11,181,16,5.3,2.0,1,45,0,10,14,12,0.73,6,5,+1,+0.50,+0.33,3.3,3.9,-0.6,-0.30,-0.41,Matches
258,Paul Baysse,fr FRA,DF,Málaga,es La Liga,29,1988,15,1239,83,36.2,13.8,13,89,12,2,38,3,0.73,11,21,-10,-0.73,+0.39,14.0,22.8,-8.8,-0.64,-0.13,Matches
