Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
12,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,18,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
13,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,6,3,326,3.6,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.4,2,16,2,0.28,0.00,0.28,0.28,0.28,0.10,0.02,0.12,0.10,0.12,Matches
14,David Alaba,at AUT,DF,es Real Madrid,29,1992,12,12,1039,11.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,15,28,8,0.09,0.00,0.09,0.09,0.09,0.02,0.02,0.05,0.02,0.05,Matches
15,Jordi Alba,es ESP,"DF,FW",es Barcelona,32,1989,5,5,373,4.1,0,1,1,0,0,0,0,0,0.4,0.4,1.4,1.8,10,29,52,0.00,0.24,0.24,0.00,0.24,0.10,0.34,0.44,0.10,0.44,Matches
16,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,12,12,1042,11.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
17,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,3,1,74,0.8,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,2,1,0,1.22,0.00,1.22,1.22,1.22,1.25,0.00,1.25,1.25,1.25,Matches
18,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,10,7,601,6.7,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.4,7,76,14,0.15,0.00,0.15,0.15,0.15,0.04,0.03,0.07,0.04,0.07,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,9,9,791,8.8,0,3,3,0,0,0,2,0,0.5,0.5,3.5,4.0,20,76,59,0.00,0.34,0.34,0.00,0.34,0.06,0.40,0.46,0.06,0.46,Matches
20,Alisson,br BRA,GK,eng Liverpool,28,1992,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,5,3,236,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
22,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,30,1990,8,6,548,6.1,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,7,16,57,0.00,0.00,0.00,0.00,0.00,0.18,0.12,0.30,0.18,0.30,Matches
23,Éder Álvarez Balanta,co COL,MF,be Club Brugge,28,1993,5,5,405,4.5,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,5,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
24,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,7,7,556,6.2,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,3,26,9,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
