Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
363,Seydou Keita,ml MLI,MF,it Roma,34,1980,5,450,90,83.3,5.0,5,,5,0,,0,1.00,7,7,0,0.00,+6.00,Matches
364,Kelvin,br BRA,"FW,MF",pt Porto,21,1993,1,37,37,4.1,0.4,0,,0,1,,0,1.00,1,0,+1,+2.43,+0.87,Matches
365,Aleksandr Kerzhakov,ru RUS,FW,ru Zenit,31,1982,3,102,34,18.9,1.1,1,,0,2,,1,0.80,0,2,-2,-1.76,-3.00,Matches
366,Anri Khagush,ru RUS,DF,by BATE Borisov,27,1986,5,405,81,75.0,4.5,5,,4,0,,0,1.09,2,17,-15,-3.33,-1.33,Matches
367,Sami Khedira,de GER,MF,es Real Madrid,27,1987,2,73,37,6.8,0.8,1,,0,1,,2,1.50,3,3,0,0.00,-1.34,Matches
368,Isaac Kiese Thelin,se SWE,FW,se Malmö,22,1992,6,493,82,91.3,5.5,6,,3,0,,0,1.08,3,11,-8,-1.46,-1.46,Matches
369,Stefan Kießling,de GER,"FW,MF",de Leverkusen,30,1984,8,504,63,67.2,5.6,5,,3,3,,0,1.90,7,4,+3,+0.54,-1.29,Matches
370,Presnel Kimpembe,fr FRA,DF,fr Paris S-G,18,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
371,Oliver Kirch,de GER,"DF,MF",de Dortmund,31,1982,3,112,37,15.6,1.2,0,,0,3,,0,0.33,0,3,-3,-2.41,-3.74,Matches
372,Jan Kirchhoff,de GER,"DF,MF",de Schalke 04,23,1990,4,181,45,25.1,2.0,2,,1,2,,1,0.75,2,5,-3,-1.49,-0.99,Matches
373,Ricardo Kishna,nl NED,"FW,MF",nl Ajax,19,1995,4,242,61,44.8,2.7,3,,2,1,,1,1.00,5,5,0,0.00,+0.60,Matches
374,Davy Klaassen,nl NED,MF,nl Ajax,21,1993,6,540,90,100.0,6.0,6,,6,0,,0,0.83,8,10,-2,-0.33,,Matches
375,Vladislav Klimovich,by BLR,"FW,MF",by BATE Borisov,18,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
376,Sacha Kljestan,us USA,MF,be Anderlecht,28,1985,4,189,47,35.0,2.1,2,,1,2,,2,1.50,4,5,-1,-0.48,-0.22,Matches
377,Enoch Kofi Adu,gh GHA,MF,se Malmö,23,1990,6,540,90,100.0,6.0,6,,5,0,,0,0.90,4,15,-11,-1.83,,Matches
